"TP1_1" "TP1_2" "TP1_3" "TP2_1" "TP2_2" "TP2_3" "TP3_1" "TP3_2" "TP3_3" "TP4_1" "TP4_2" "TP4_3"
"gene_102" 4582 3583 3483 3888 3217 4604 5512 6683 5541 3801 3735 4234
"gene_103" 458 385 449 365 448 305 468 517 486 463 429 559
"gene_104" 1905 1875 1740 1431 2239 1243 2209 1769 2239 1922 1751 1635
"gene_105" 129 103 94 46 35 58 134 84 132 165 96 258
"gene_106" 824 987 756 469 546 522 714 641 550 936 728 729
"gene_107" 1730 2109 1989 2383 2255 2444 1781 1601 1864 1562 2015 1793
"gene_108" 39 37 52 133 86 78 116 49 105 51 31 55
"gene_109" 19 10 21 82 69 92 34 36 44 29 41 18
"gene_110" 85 93 100 152 94 146 322 225 300 104 109 59
"gene_111" 1 1 5 4 6 2 6 5 8 0 2 1
"gene_112" 122 112 140 198 154 129 192 156 146 167 149 183
"gene_113" 195 230 209 177 161 145 101 129 240 257 282 233
"gene_114" 525 618 451 766 774 725 418 546 566 466 623 308
"gene_115" 0 0 0 0 2 1 0 0 0 0 0 0
"gene_116" 149 125 136 104 166 197 189 145 193 217 219 229
"gene_117" 1324 1527 1318 2106 1740 2284 1223 1398 1514 1010 1187 1258
"gene_118" 2523 3211 2539 2725 2520 2611 3968 3548 4400 3097 3349 2601
"gene_119" 741 772 685 436 544 319 911 815 742 518 594 693
"gene_120" 849 986 956 1087 942 797 1180 878 1043 1512 1288 1403
"gene_121" 2158 2198 1931 2436 2297 1709 1446 1951 1928 1958 2383 2365
"gene_122" 758 752 801 510 407 378 912 942 881 690 530 628
"gene_123" 133 123 148 149 57 171 153 229 178 164 151 133
"gene_124" 0 0 0 0 0 0 4 8 14 7 7 29
"gene_125" 47 73 59 50 52 83 72 65 28 44 38 25
"gene_126" 96 109 93 158 116 101 117 126 135 133 84 96
"gene_127" 7 10 2 4 4 7 4 2 5 13 9 12
"gene_128" 2237 2318 1899 1821 1569 1756 1583 2801 1740 2237 2052 2485
"gene_129" 1469 1712 1428 1755 1468 1766 2605 2336 2672 2186 2135 2369
"gene_130" 349 237 268 477 489 318 679 364 499 295 280 289
"gene_131" 86 41 62 172 161 103 81 79 68 94 92 105
"gene_132" 0 0 0 5 10 6 30 35 28 1 0 0
"gene_133" 2393 2187 1519 1948 1867 1175 1690 1655 1454 1182 1342 1578
"gene_134" 27 18 32 44 26 45 38 36 40 15 25 17
"gene_135" 385 362 432 362 410 402 218 127 281 252 258 184
"gene_136" 5 4 1 14 25 28 32 20 9 24 8 8
"gene_137" 103 49 31 17 41 19 122 119 182 4 5 7
"gene_138" 302 410 375 383 548 619 401 506 603 491 680 523
"gene_139" 13 16 6 25 14 40 18 8 4 5 11 17
"gene_140" 420 373 511 422 580 417 576 455 497 421 479 588
"gene_141" 3660 4437 4528 5376 5828 5482 5809 5211 4937 4332 4011 5782
"gene_142" 151 202 184 159 162 220 190 168 141 168 210 184
"gene_143" 473 587 773 534 532 558 733 803 825 839 906 856
"gene_144" 725 824 879 1296 1524 1470 896 852 628 883 887 957
"gene_145" 328 382 232 161 225 187 250 143 226 306 296 263
"gene_146" 148 141 121 185 213 109 131 135 136 112 117 102
"gene_147" 382 407 412 556 440 428 553 342 424 403 361 482
"gene_148" 285 222 339 319 488 446 330 341 352 347 254 365
"gene_149" 128 72 119 121 168 85 95 99 116 50 80 78
"gene_150" 258 263 278 198 115 136 111 107 158 123 81 144
"gene_151" 70 61 90 58 55 89 77 91 87 169 166 152
"gene_152" 2262 1853 2457 2519 2292 2228 2462 2475 2521 2570 1900 1812
"gene_153" 88 128 99 225 349 262 185 145 208 209 130 143
"gene_154" 177 131 132 272 313 227 357 506 362 198 347 286
"gene_155" 4 3 2 3 4 0 5 2 3 5 7 5
"gene_156" 1026 967 901 538 834 839 1480 1147 1438 675 875 720
"gene_157" 295 255 221 195 286 209 173 164 119 496 532 358
"gene_158" 250 322 285 235 246 287 330 260 238 225 388 282
"gene_159" 3132 2724 2684 2680 2524 1672 2415 2069 2697 4063 3534 3949
"gene_160" 32 27 37 47 25 44 58 76 70 42 48 46
"gene_161" 120 124 58 156 164 116 91 90 98 49 65 41
"gene_162" 77 63 46 17 33 54 46 58 55 38 44 28
"gene_163" 611 732 650 769 940 780 625 709 471 738 806 888
"gene_164" 317 358 414 673 644 500 575 507 452 728 499 742
"gene_165" 1907 1837 1400 2310 2077 2068 2413 2047 2378 1735 1614 2958
"gene_166" 448 556 614 628 725 652 262 295 329 373 360 342
"gene_167" 0 3 0 0 0 0 0 0 0 5 5 4
"gene_168" 16 8 15 1 4 0 22 22 17 1 1 1
"gene_169" 202 250 199 71 201 144 202 89 284 132 154 153
"gene_170" 5 2 4 0 3 2 5 28 15 9 2 5
"gene_171" 1359 1530 1796 1865 1954 1593 709 982 696 1399 1338 1318
"gene_172" 606 777 683 785 918 1232 616 740 706 593 467 524
"gene_173" 6 10 10 9 6 14 19 5 11 3 5 2
"gene_174" 64 20 51 93 83 70 61 66 74 78 63 68
"gene_175" 1428 1136 1358 849 764 655 755 1293 1002 976 1007 937
"gene_176" 7 10 7 12 7 5 5 12 2 5 3 5
"gene_177" 1399 1096 1619 1717 1527 2023 1852 2009 2007 1627 1422 1596
"gene_178" 479 578 558 488 506 471 255 272 376 449 369 318
"gene_179" 920 812 898 1407 1591 1364 675 725 1026 752 669 667
"gene_180" 115 119 93 70 78 105 111 113 220 142 131 116
"gene_181" 315 320 205 72 75 61 57 72 86 95 110 93
"gene_182" 169 161 151 198 233 202 158 141 193 173 166 235
"gene_183" 47 35 49 42 62 39 91 60 57 96 90 108
"gene_184" 384 442 313 233 174 146 251 326 307 73 117 107
"gene_185" 1 0 0 0 0 0 0 0 0 2 2 1
"gene_186" 2 5 8 4 4 1 4 1 1 0 0 0
"gene_187" 1 0 4 2 2 5 2 0 1 0 1 1
"gene_188" 2 2 2 0 0 0 1 1 1 7 2 6
"gene_189" 887 918 899 918 1079 1127 739 612 758 698 717 684
"gene_190" 310 322 293 261 321 319 375 423 365 429 288 374
"gene_191" 1 2 2 2 6 1 1 1 2 4 1 3
"gene_192" 695 510 815 392 320 432 928 815 876 449 504 395
"gene_193" 10 8 3 7 8 6 6 10 6 0 0 0
"gene_194" 112 140 111 102 98 151 159 78 117 120 121 140
"gene_195" 0 0 3 4 6 2 0 0 0 7 8 12
"gene_196" 56 22 62 18 26 27 29 30 25 27 52 40
"gene_197" 970 988 1053 1160 1311 1115 1215 1096 1202 1163 1152 1145
"gene_198" 130 110 132 134 94 93 24 31 34 56 36 23
"gene_199" 415 424 428 319 367 354 262 264 365 263 248 328
"gene_200" 1578 1344 1429 1098 1059 969 1912 2166 2035 1618 1244 968
"gene_201" 281 156 214 154 220 228 238 289 321 189 262 198
"gene_202" 6 6 9 3 4 5 9 5 8 6 6 3
"gene_203" 140 139 127 194 159 172 147 176 142 97 98 123
"gene_204" 199 139 158 356 290 238 158 172 106 273 188 235
"gene_205" 342 373 275 236 259 242 284 285 242 362 468 351
"gene_206" 778 1003 925 789 648 618 597 850 753 805 569 678
"gene_207" 763 874 592 627 558 417 1103 1022 1118 525 637 726
"gene_208" 2377 2487 2788 3643 4181 3525 4065 4511 3408 2904 2958 2795
"gene_209" 1 0 1 42 72 33 31 14 26 6 7 9
"gene_210" 215 224 231 372 440 421 199 184 249 76 73 107
"gene_211" 6 9 6 25 28 20 4 12 15 11 12 22
"gene_212" 30 40 35 16 12 27 38 24 30 24 36 25
"gene_213" 0 1 0 4 6 8 0 0 0 4 5 2
"gene_214" 4 3 4 18 7 11 6 5 5 18 13 12
"gene_215" 25 9 18 38 37 25 22 17 13 22 16 23
"gene_216" 50 64 50 32 31 47 17 95 63 28 33 50
"gene_217" 187 190 182 166 120 132 135 154 163 232 173 303
"gene_218" 1132 1252 1132 1914 1501 1233 948 991 1012 1485 2164 1439
"gene_219" 1773 1919 2160 1519 1715 1513 2805 1954 1908 1990 2076 1811
"gene_220" 7 8 7 5 2 5 0 0 0 4 1 3
"gene_221" 234 173 224 104 96 42 204 167 285 288 225 203
"gene_222" 0 5 0 1 1 1 1 4 1 13 7 12
"gene_223" 2 4 3 0 0 0 0 0 0 0 0 0
"gene_224" 10 14 9 27 23 42 7 23 28 43 31 23
"gene_225" 570 535 467 551 347 420 571 496 508 574 540 571
"gene_226" 433 571 627 758 751 666 740 707 800 768 951 768
"gene_227" 3 3 3 0 0 0 2 1 6 1 3 2
"gene_228" 1356 1428 1548 4545 4928 3800 1686 1916 1748 1827 1560 1985
"gene_229" 9 23 12 1 3 0 4 2 4 5 2 8
"gene_230" 2583 3149 2114 3059 2350 1939 2628 2490 2629 2864 2495 2192
"gene_231" 699 955 1012 892 696 466 920 779 837 815 756 595
"gene_232" 46 23 34 39 43 47 47 52 49 26 47 52
"gene_233" 62 78 67 28 44 68 48 36 56 16 42 14
"gene_234" 132 158 147 105 97 87 121 168 141 258 171 238
"gene_235" 454 449 431 441 611 250 318 282 305 531 477 513
"gene_236" 972 1375 1155 878 965 1226 1226 1072 1055 973 1322 1143
"gene_237" 1223 1192 1359 1000 1078 1226 1128 1008 1018 962 1219 936
"gene_238" 50 49 40 85 75 102 57 82 68 32 61 54
"gene_239" 412 473 330 372 266 286 283 238 134 199 289 188
"gene_240" 1318 1575 2428 1892 1900 2254 1779 1295 1482 1858 1591 1935
"gene_241" 799 740 1006 693 713 500 832 823 718 688 875 698
"gene_242" 21 21 8 4 4 2 7 12 15 4 8 1
"gene_243" 429 412 345 462 389 867 187 237 189 205 243 232
"gene_244" 52 63 55 70 31 50 130 110 97 65 68 65
"gene_245" 87 112 140 90 91 57 216 165 195 119 179 201
"gene_246" 1792 1193 1192 1208 1027 1182 865 828 1085 1341 985 1033
"gene_247" 1 1 1 0 0 0 0 0 0 1 4 6
"gene_248" 2 0 2 0 2 2 1 1 3 0 0 0
"gene_249" 156 143 215 241 508 387 367 312 376 316 407 378
"gene_250" 1137 1065 1050 788 777 818 802 593 1076 716 850 782
"gene_251" 8 8 8 13 34 10 14 12 17 12 29 7
"gene_252" 1837 1494 2379 1659 1065 1320 2242 1623 1770 1726 1569 1710
"gene_253" 13 19 12 33 20 38 36 54 22 41 43 37
"gene_254" 1837 1503 1869 946 1006 908 1128 1782 1064 1918 1651 1833
"gene_255" 926 795 719 705 869 1051 513 575 551 805 781 862
"gene_256" 369 363 390 355 467 373 513 588 676 255 382 366
"gene_257" 350 352 315 398 411 423 431 397 522 131 185 156
"gene_258" 552 541 600 471 562 513 354 388 346 374 322 270
"gene_259" 385 379 414 459 382 302 240 216 208 575 423 465
"gene_260" 1845 1759 1922 1418 1489 1721 1211 1591 2144 1524 1440 1321
"gene_261" 100 82 112 154 212 222 120 197 115 167 134 224
"gene_262" 8 8 1 15 38 45 16 24 11 17 17 13
"gene_263" 564 575 570 370 358 360 434 416 457 434 467 429
"gene_264" 57 53 53 68 54 55 47 69 24 57 56 42
"gene_265" 498 581 589 402 277 357 428 518 595 295 335 252
"gene_266" 26 18 10 5 1 5 1 2 1 2 6 4
"gene_267" 2155 1648 2368 1195 1183 1231 1413 1748 1750 1915 1864 1340
"gene_268" 225 229 175 131 143 180 229 240 237 205 173 387
"gene_269" 762 997 736 992 1196 1194 865 1187 1328 877 1248 1266
"gene_270" 230 156 150 59 110 125 205 136 199 202 193 231
"gene_271" 384 493 504 321 387 417 341 352 319 555 653 579
"gene_272" 2 1 2 3 2 12 0 0 0 0 4 2
"gene_273" 2020 1966 2612 2219 2102 2075 2142 1869 2563 1615 2004 2184
"gene_274" 2752 3842 3209 3408 3795 3326 3002 2394 2240 2425 1988 1316
"gene_275" 0 0 0 15 15 13 2 9 4 1 6 2
"gene_276" 139 153 182 54 67 89 147 148 136 97 97 115
"gene_277" 34 82 80 136 101 135 30 24 21 62 75 46
"gene_278" 52 45 40 259 198 107 137 105 122 187 108 152
"gene_279" 598 459 496 485 548 461 387 451 440 681 615 709
"gene_280" 592 703 444 689 752 759 741 555 514 702 505 707
"gene_281" 10 12 9 60 57 60 35 39 22 11 16 19
"gene_282" 5 1 2 3 4 3 30 37 28 2 0 0
"gene_283" 42 26 22 77 45 70 48 32 32 64 68 79
"gene_284" 505 387 444 272 268 405 255 234 202 417 454 392
"gene_285" 454 413 447 313 357 422 498 529 516 354 383 324
"gene_286" 172 122 159 174 215 122 268 198 147 64 161 115
"gene_287" 61 97 64 55 88 41 10 16 11 90 110 103
"gene_288" 10 10 7 3 2 2 19 18 21 2 2 2
"gene_289" 57 57 64 27 18 29 43 63 89 76 48 40
"gene_290" 791 867 914 866 923 886 739 1034 883 1089 1018 939
"gene_291" 3376 2883 2644 3118 2615 3379 2421 2403 2316 1791 1768 1710
"gene_292" 303 208 218 237 224 212 145 88 163 219 278 256
"gene_293" 978 809 1143 1152 1107 1248 671 670 654 1428 1169 1354
"gene_294" 2 2 5 6 2 10 8 6 10 25 23 16
"gene_295" 2 3 1 0 0 0 5 12 7 2 5 8
"gene_296" 842 494 745 474 648 746 865 948 889 716 762 875
"gene_297" 297 388 278 140 139 180 138 151 172 302 269 265
"gene_298" 10 17 19 6 7 6 21 18 18 12 8 7
"gene_299" 242 335 245 304 425 337 440 402 362 236 349 224
"gene_300" 129 212 192 177 189 278 206 348 60 215 233 182
"gene_301" 134 195 184 317 280 428 149 143 90 140 121 116
"gene_302" 415 428 455 507 664 532 524 615 530 496 516 409
"gene_303" 2024 1981 1906 2130 2426 1836 2277 2547 2222 1750 3510 2075
"gene_304" 388 384 362 865 720 542 305 305 301 806 954 1238
"gene_305" 1 0 1 0 0 0 1 4 1 3 2 2
"gene_306" 1365 1533 1596 852 969 822 1646 1384 1263 1641 1448 1277
"gene_307" 147 120 160 88 85 78 45 37 56 96 96 84
"gene_308" 240 287 380 355 477 429 270 424 240 274 233 262
"gene_309" 22 25 17 19 22 25 13 15 22 6 8 7
"gene_310" 438 408 282 281 313 386 314 326 298 367 455 507
"gene_311" 47 37 34 82 102 98 72 72 81 25 50 36
"gene_312" 146 132 102 103 106 109 179 148 238 193 122 126
"gene_313" 316 425 392 590 477 518 376 365 428 289 444 264
"gene_314" 347 373 319 258 324 277 246 265 275 315 345 327
"gene_315" 3439 3789 3781 2657 3563 2356 2546 3198 2945 4097 3253 3131
"gene_316" 21 30 31 69 39 33 22 15 25 4 10 15
"gene_317" 701 810 672 566 684 688 1067 568 727 397 298 221
"gene_318" 151 156 201 196 97 202 79 74 47 92 110 90
"gene_319" 1976 2020 1727 1742 2048 1812 2059 1477 1184 1124 1613 2063
"gene_320" 98 147 144 95 131 92 115 141 147 97 143 155
"gene_321" 2758 3112 2914 3056 3640 2516 3352 3038 2839 3720 4415 3667
"gene_322" 909 838 993 732 931 962 964 1025 808 774 772 891
"gene_323" 146 144 70 125 194 173 131 78 148 403 374 259
"gene_324" 0 2 1 0 0 0 2 1 5 0 0 0
"gene_325" 575 562 491 1232 918 942 557 733 645 167 140 121
"gene_326" 17 14 21 8 6 5 8 11 12 7 3 10
"gene_327" 299 329 180 571 420 554 295 289 185 442 443 576
"gene_328" 169 205 177 292 203 165 103 130 127 174 313 243
"gene_329" 115 160 59 75 57 105 44 35 59 116 95 93
"gene_330" 2288 2268 2145 1325 1688 2181 1891 1911 3142 1232 1460 1728
"gene_331" 0 2 0 1 2 2 2 2 0 0 0 0
"gene_332" 31 46 36 14 11 22 21 23 31 20 43 41
"gene_333" 551 606 711 657 768 899 493 479 335 551 557 581
"gene_334" 128 142 137 319 208 212 77 109 80 258 188 146
"gene_335" 8 12 3 13 11 12 3 2 2 2 8 7
"gene_336" 40 77 52 97 64 60 44 43 65 91 70 86
"gene_337" 1 1 0 1 1 1 1 1 1 14 13 6
"gene_338" 652 525 509 381 313 283 415 407 411 731 599 460
"gene_339" 419 342 451 378 397 368 348 312 315 679 672 557
"gene_340" 0 0 0 8 5 1 2 1 1 1 4 5
"gene_341" 3407 2805 4055 3759 4553 3508 3926 4538 4808 3313 4061 3997
"gene_342" 0 0 0 0 1 0 0 0 0 1 2 8
"gene_343" 956 1129 999 1237 1046 966 918 1138 980 1407 1062 1422
"gene_344" 72 41 25 30 21 49 43 68 43 48 80 38
"gene_345" 1243 1379 1185 1552 1640 1536 1390 1152 1146 1067 991 975
"gene_346" 0 0 0 0 0 0 28 20 34 4 4 7
"gene_347" 5 14 15 3 5 1 11 4 6 14 5 4
"gene_348" 1541 1078 1523 1133 982 1200 1148 1350 1222 1159 1244 1499
"gene_349" 607 564 590 915 852 812 595 525 779 558 752 904
"gene_350" 565 604 509 619 680 588 691 745 693 523 464 508
"gene_351" 1171 857 1059 1315 856 1028 748 925 683 1316 1104 1149
"gene_352" 2648 1560 1832 1549 1835 1631 2259 2385 2329 1772 2195 1986
"gene_353" 181 160 185 130 92 86 170 138 127 149 105 88
"gene_354" 0 0 0 0 5 1 1 0 0 1 2 2
"gene_355" 1271 1799 1774 1833 1580 1970 1433 1284 1177 1427 1900 1742
"gene_356" 222 211 347 528 384 366 254 267 336 264 231 268
"gene_357" 2862 3109 2198 2900 3920 4348 2884 3874 3842 2985 2629 3123
"gene_358" 327 247 395 275 187 208 189 233 175 346 424 363
"gene_359" 108 101 126 128 130 140 105 91 88 60 46 58
"gene_360" 40 29 27 84 81 71 37 51 51 11 14 15
"gene_361" 31 22 21 17 12 16 7 6 6 10 6 13
"gene_362" 14 12 4 0 0 0 0 0 0 5 6 2
"gene_363" 1 0 1 5 1 1 0 0 0 11 15 20
"gene_364" 35 42 39 7 10 8 21 12 10 16 16 23
"gene_365" 853 774 690 832 803 784 609 679 629 453 457 448
"gene_366" 129 99 119 142 158 117 54 79 175 90 71 91
"gene_367" 188 288 143 317 278 259 179 142 203 287 254 197
"gene_368" 833 880 678 585 453 484 784 577 578 570 556 451
"gene_369" 239 218 243 258 278 298 122 142 145 314 260 276
"gene_370" 21 41 40 148 56 73 74 113 71 55 58 66
"gene_371" 1223 1421 1536 1838 1634 2182 1467 1882 1595 1422 1658 1294
"gene_372" 226 207 300 221 277 144 428 382 494 215 272 197
"gene_373" 232 249 180 221 265 221 224 242 227 294 278 362
"gene_374" 274 237 280 398 435 480 259 264 209 275 417 388
"gene_375" 448 395 394 502 476 453 403 473 363 425 466 498
"gene_376" 2184 3151 3357 2492 2623 2639 1588 2338 1302 2074 2018 2085
"gene_377" 0 0 3 0 0 0 5 2 4 0 0 0
"gene_378" 9 6 10 6 20 2 52 26 34 12 4 5
"gene_379" 446 407 296 432 587 624 400 416 427 502 624 623
"gene_380" 133 113 99 101 115 162 123 155 231 32 72 101
"gene_381" 72 85 82 106 85 175 87 78 92 141 140 192
"gene_382" 375 419 568 498 541 493 335 309 405 458 418 384
"gene_383" 454 502 533 710 680 616 562 538 429 662 721 688
"gene_384" 835 764 631 866 1090 709 1225 1010 1502 1475 890 1264
"gene_385" 0 0 0 3 4 10 6 4 3 0 0 0
"gene_386" 95 86 94 72 67 75 64 66 107 45 50 59
"gene_387" 258 290 362 345 369 322 405 385 402 368 409 370
"gene_388" 439 533 618 542 532 514 622 525 586 385 285 337
"gene_389" 318 270 404 510 443 551 379 455 368 429 342 414
"gene_390" 842 1086 983 737 965 769 728 787 745 639 717 744
"gene_391" 2018 2410 3051 1974 1987 2120 2408 1728 2178 1385 1523 1629
"gene_392" 4 1 2 1 3 2 0 0 0 2 5 5
"gene_393" 56 56 65 82 95 87 42 45 57 62 92 76
"gene_394" 66 34 42 49 51 50 32 43 23 21 17 24
"gene_395" 0 0 0 0 0 0 2 2 3 0 0 0
"gene_396" 37 59 44 55 83 48 49 72 81 56 58 56
"gene_397" 342 252 301 280 333 312 341 354 372 402 478 369
"gene_398" 120 76 90 90 120 87 73 49 92 134 193 161
"gene_399" 2842 2653 2281 1135 1549 1279 1545 2344 1955 2567 2465 2195
"gene_400" 3018 2369 3662 3134 3668 2841 2605 2357 3284 3540 2171 2852
"gene_401" 34 24 39 35 32 33 25 35 30 7 12 18
"gene_402" 142 132 178 112 154 125 245 239 266 194 123 226
"gene_403" 4 5 7 23 13 15 7 17 12 2 6 2
"gene_404" 273 238 242 382 380 286 619 305 319 142 246 204
"gene_405" 2889 2321 2948 1476 2507 2471 3129 2881 2998 2584 2442 2660
"gene_406" 229 310 259 298 392 172 240 187 269 205 195 195
"gene_407" 90 40 62 23 34 29 45 47 67 64 28 52
"gene_408" 58 55 39 38 19 14 39 22 34 74 75 81
"gene_409" 468 452 492 515 453 623 457 442 721 428 493 578
"gene_410" 358 378 374 132 216 160 193 194 197 280 158 336
"gene_411" 642 593 597 376 331 380 295 449 342 627 497 508
"gene_412" 528 783 672 558 483 651 534 591 553 885 761 568
"gene_413" 14 10 13 10 6 6 12 7 9 6 7 4
"gene_414" 490 476 509 291 250 297 304 295 277 466 797 465
"gene_415" 4 8 6 27 29 31 29 23 14 14 24 5
"gene_416" 7084 7356 6727 5980 6808 5703 5661 5153 5441 5193 4792 4325
"gene_417" 536 582 612 986 966 1043 652 632 506 465 483 441
