"V1" "V2" "V3" "V11" "V12" "V13" "V21" "V22" "V23" "V31" "V32" "V33"
"92" 1869 2155 1746 1342 1191 1256 129 296 249 663 447 598
"93" 20254 22224 18200 11469 11049 11471 3591 2579 2697 3154 3248 3087
"94" 5654 5719 4524 3098 3209 3990 988 925 869 592 617 794
"95" 297 387 292 165 198 212 37 14 30 69 100 52
"96" 15533 12867 13043 6584 7231 7732 1731 1702 1383 1743 1801 1611
"97" 11842 8982 12322 6142 5601 7253 2028 2028 2113 2182 2175 2343
"98" 2934 3321 2618 2000 1659 1570 541 242 367 673 820 421
"99" 1409 1751 1905 1048 1157 761 278 244 328 349 261 210
"100" 22040 28257 36937 13591 14199 13628 3968 5427 3772 4544 4385 4650
"101" 1313 1096 1203 2643 2157 1858 1177 1259 1295 1093 701 891
"102" 9292 13105 9441 27022 28692 30399 17306 15377 14568 13131 12093 12750
"103" 1157 1099 1194 2233 2913 2975 1311 1471 1363 942 1150 1341
"104" 7105 6690 6493 11138 8125 9427 7441 6195 7436 5654 5109 4478
"105" 442 279 267 687 398 433 285 327 393 430 363 507
"106" 2233 2805 2219 3501 3663 4712 1962 2838 1877 2151 2234 1985
"107" 6568 4813 7440 9665 11930 11560 9278 5853 6494 6081 4856 3783
"108" 107 187 195 438 414 611 344 165 321 133 201 143
"109" 71 20 42 272 130 187 117 96 110 71 97 79
"110" 251 268 235 925 659 1057 679 583 464 308 254 524
"111" 7 1 3 17 21 29 18 4 9 3 8 14
"112" 467 459 411 945 729 987 566 413 654 265 524 438
"113" 382 515 544 1549 1209 1121 629 387 584 776 597 867
"114" 1645 1565 1735 3764 2496 3542 2262 1813 1853 1051 1366 947
"115" 0 0 0 2 1 0 1 3 0 0 0 0
"116" 490 465 242 974 1044 906 573 513 504 655 660 517
"117" 3765 5373 4444 9353 8974 8659 4811 5539 4213 3274 3783 2507
"118" 6823 7981 8894 16524 17624 15480 11495 12096 10788 8205 8289 8985
"119" 1882 1738 2255 3796 4089 3686 2157 2805 2424 1601 1883 1757
"120" 3238 2722 2128 5360 6251 6192 3947 4143 2598 4517 3956 4296
"121" 6273 6598 6096 12063 11044 12256 7000 7263 6483 5416 5430 5727
"122" 1651 2062 2430 4057 4532 3892 2468 2631 2734 1239 2278 1881
"123" 638 407 555 1149 999 879 488 587 734 530 315 542
"124" 0 0 0 20 23 44 3 3 7 23 15 34
"125" 59 147 110 392 333 181 165 246 165 171 114 147
"126" 235 194 262 899 621 747 459 321 458 330 425 286
"127" 25 21 3 10 31 39 17 19 43 45 62 43
"128" 4582 5498 6510 10595 10586 11109 6482 7158 7367 7485 5877 5572
"129" 5188 4506 4553 12071 13549 15121 6075 6535 5723 5899 7054 5522
"130" 739 1053 801 2036 2404 2123 973 1439 1282 929 1005 821
"131" 186 146 225 653 532 867 324 478 346 298 249 353
"132" 0 0 0 68 45 39 15 37 47 0 2 19
"133" 5897 5485 6046 11811 11841 7813 6960 5913 5916 3036 4383 3698
"134" 76 63 45 220 215 149 96 137 91 44 15 22
"135" 1280 1061 1017 2000 1617 2056 1360 983 1086 758 399 699
"136" 30 8 18 58 91 64 21 39 23 27 56 26
"137" 180 88 39 160 201 236 164 136 193 13 8 18
"138" 1016 1212 723 2518 2146 3621 1542 1472 1617 1920 1666 1805
"139" 13 23 41 60 48 125 27 66 86 14 36 38
"140" 1376 1089 1051 2777 3248 3411 1545 1416 2172 1185 1479 1543
"141" 11147 11784 10699 26571 30399 32133 17725 19471 18142 13002 13518 15561
"142" 699 407 535 897 1347 1054 642 635 639 415 359 310
"143" 2299 1989 2079 4219 4698 4551 2515 2223 2513 2463 2787 2197
"144" 2306 2680 2109 5842 4837 5770 2638 2986 2588 2673 2524 2337
"145" 1176 574 1184 1031 1297 1071 574 967 1058 883 870 1113
"146" 489 316 317 925 590 805 230 471 304 455 231 377
"147" 1065 976 1287 2503 2436 2227 1673 1198 1403 1245 1287 1515
"148" 640 745 869 2034 1571 1615 896 1153 1286 648 525 1149
"149" 283 280 285 406 567 778 321 408 280 239 295 120
"150" 750 712 582 912 1456 722 533 670 674 315 397 283
"151" 212 287 236 1117 1269 1209 1048 816 898 345 237 341
"152" 7278 7914 6501 45847 48333 44700 28598 26632 28403 8341 5032 6789
"153" 279 358 280 3942 2928 3045 2865 1691 1842 528 420 474
"154" 477 408 267 4720 3843 3899 2732 2501 2448 903 915 815
"155" 2 6 3 38 110 52 33 36 33 28 25 10
"156" 2786 2416 2499 14268 16468 18041 14775 10337 10095 2221 2366 2209
"157" 579 625 771 4044 3375 4098 3057 2234 2536 939 968 989
"158" 926 829 807 4198 4948 6046 2823 2788 2865 744 831 603
"159" 8589 7777 8063 53626 51635 47499 19553 28005 32481 9778 12120 12450
"160" 130 47 124 767 1365 519 583 761 520 88 141 213
"161" 245 286 204 1337 1437 1218 902 741 894 150 191 111
"162" 65 171 150 789 685 673 397 334 394 131 110 160
"163" 1240 2196 1384 12475 10500 13665 6554 7457 5197 2456 2611 2164
"164" 1013 1080 795 8943 8928 8359 5408 4413 4981 1783 2271 1752
"165" 5001 4743 7058 43084 30756 31301 16235 20600 21194 4282 6573 6897
"166" 1569 1310 1681 9273 9301 9182 5292 4951 4643 1055 1101 1094
"167" 0 16 5 27 25 15 12 17 9 16 14 3
"168" 26 17 78 129 120 211 150 75 71 3 3 12
"169" 510 661 639 1910 2349 2552 1628 1354 1815 509 516 384
"170" 3 3 4 162 171 68 122 87 64 15 4 6
"171" 4373 3997 5080 21384 27575 22196 17379 15146 12983 3958 3316 3623
"172" 2090 1905 1897 9977 12461 9150 8757 7615 6526 1402 1198 1255
"173" 10 9 12 169 192 100 96 90 99 4 15 7
"174" 152 195 132 1093 1317 1172 633 675 581 171 195 206
"175" 3353 4088 3584 15770 14643 16387 8625 10493 9261 3194 2756 2473
"176" 44 24 11 98 101 99 94 78 65 7 20 39
"177" 3980 2589 4186 24074 23445 26129 19532 17643 17943 4430 3305 3845
"178" 1029 1275 1515 8643 7260 7634 3829 5195 5218 1131 1299 1547
"179" 2351 3024 2323 15654 15605 16845 12129 9642 11168 2143 2034 1430
"180" 316 323 292 1881 2275 1848 1095 1153 1028 415 392 315
"181" 788 513 729 2001 2677 1808 1041 1331 1218 313 407 231
"182" 696 550 539 3231 3314 3172 1851 1746 1738 507 592 598
"183" 159 96 100 1016 1030 1021 582 562 411 285 261 212
"184" 791 1058 1071 4812 4205 4905 2572 3090 2768 340 249 376
"185" 12 0 5 20 65 8 13 7 20 7 3 9
"186" 14 17 9 33 32 15 24 24 27 0 0 0
"187" 1 2 0 27 45 14 10 12 14 3 0 2
"188" 26 7 15 63 45 44 19 14 22 11 15 14
"189" 2664 2211 3270 12749 12866 14623 9341 8008 7169 2259 1588 1815
"190" 798 897 789 4647 5666 5439 3538 3192 3312 1030 648 684
"191" 10 5 2 33 53 33 15 23 27 6 9 3
"192" 1665 1676 1941 11051 10531 9162 6876 5571 5781 1347 1497 1189
"193" 20 31 15 66 73 98 31 53 27 0 0 0
"194" 329 413 273 2217 2063 1653 1212 1233 1098 265 264 465
"195" 5 2 9 48 28 39 44 50 21 20 23 3
"196" 138 114 46 462 989 390 289 301 233 156 105 99
"197" 2847 3151 2991 20665 14155 21328 11901 11236 10738 3213 3935 3327
"198" 255 389 278 1274 1363 875 753 808 633 134 138 181
"199" 1077 1312 1145 4107 3999 4820 3125 3449 3301 834 1149 713
"200" 3735 3248 4232 24017 22397 27625 13778 14367 15100 4215 4065 3628
"201" 499 680 556 953 451 853 1543 1377 1747 878 873 850
"202" 18 10 21 10 5 25 17 33 21 23 6 19
"203" 342 396 321 349 436 386 520 501 558 513 609 494
"204" 442 473 411 753 672 722 1057 1057 999 585 765 624
"205" 787 692 867 551 969 807 1394 1394 1666 1545 921 611
"206" 3171 2618 2409 1855 1873 2065 5017 4637 4406 2577 2226 2199
"207" 2148 2326 2021 1965 1697 1267 4647 4121 3867 2605 3225 2409
"208" 6460 8140 6825 7779 12021 11764 17205 16365 17380 11492 8905 10497
"209" 3 2 3 93 82 48 143 120 99 50 59 41
"210" 570 558 438 1127 788 732 1387 1472 1363 1047 678 788
"211" 51 14 37 39 54 49 147 61 62 47 33 31
"212" 87 78 29 36 65 34 105 158 165 134 112 92
"213" 2 1 0 6 2 17 10 3 13 12 0 5
"214" 0 5 10 26 43 33 49 40 58 38 41 36
"215" 22 53 21 102 97 71 105 139 81 60 135 89
"216" 145 107 123 124 71 126 355 341 293 203 207 205
"217" 577 577 533 283 335 394 818 628 1037 521 766 518
"218" 3606 3545 3052 4070 3924 4434 7107 5737 6276 3891 3318 5455
"219" 4752 5224 5740 3779 3927 4136 9878 9840 11577 7413 5382 4545
"220" 34 26 17 9 10 5 10 9 36 20 17 14
"221" 334 537 506 208 136 174 882 1260 1077 578 653 563
"222" 2 10 2 8 9 3 33 19 31 6 42 10
"223" 5 4 11 0 0 0 0 6 2 6 0 2
"224" 69 53 99 104 43 104 157 151 86 142 112 87
"225" 1611 1513 1388 904 1497 1284 3156 3082 2849 1734 1443 1472
"226" 1647 1719 2061 1829 2466 2182 3824 5457 4627 1597 2817 2367
"227" 9 16 15 0 0 0 3 10 4 0 3 2
"228" 4585 4536 5085 10824 16515 11469 13461 12589 14169 8517 9424 8235
"229" 45 32 95 9 9 1 31 33 45 37 24 20
"230" 7652 7952 6236 9005 6504 8157 14564 17562 12328 9006 8312 8403
"231" 1977 2503 2349 1563 2035 2109 4169 5205 4959 2715 2498 2757
"232" 87 96 91 218 105 141 291 273 230 161 69 141
"233" 139 250 154 209 154 83 299 224 276 201 107 138
"234" 381 406 396 309 296 285 921 922 1282 454 441 504
"235" 1410 1424 1317 1464 880 1286 2479 2325 2452 1211 1657 1597
"236" 3777 3802 3244 2409 3815 3048 5980 6514 6269 4318 4485 3790
"237" 2793 2522 3056 2843 2631 2316 6711 5980 6972 4301 3244 2954
"238" 135 75 153 264 160 171 183 373 297 192 197 113
"239" 959 711 1158 1171 855 753 1443 1727 1341 1083 841 1059
"240" 5406 5766 6083 9003 4426 6162 10569 10508 12309 8010 6886 8304
"241" 2076 1928 2715 1880 1606 1734 3764 4065 4683 2704 2519 2613
"242" 34 29 41 3 3 9 24 55 48 72 21 58
"243" 1092 1172 1181 1447 1774 1579 1581 1862 2037 1197 1093 941
"244" 97 247 243 192 193 118 328 345 520 114 264 269
"245" 363 317 398 248 305 243 655 660 657 513 496 459
"246" 3738 4087 3778 2544 3303 3549 7030 6649 7413 3855 3991 3765
"247" 3 10 3 0 0 0 14 8 7 9 3 4
"248" 1 0 1 0 3 0 9 5 2 9 2 2
"249" 414 477 619 1145 1013 1359 1393 1649 1566 1209 977 1263
"250" 3119 2841 3406 2567 2064 2018 5379 4303 5553 3476 3487 2831
"251" 33 30 19 61 28 82 244 204 177 213 157 159
"252" 4857 6196 4909 5150 3537 3932 26171 29556 25727 19429 15277 13767
"253" 27 47 34 33 81 71 591 379 512 363 301 245
"254" 4299 5603 4293 3138 2409 3050 23729 29336 18553 13360 14115 15825
"255" 2157 2541 2691 2405 1809 1905 15271 14336 10340 6616 7054 7515
"256" 945 1193 1006 1290 873 873 6992 8263 6877 4999 4178 4399
"257" 841 904 905 983 1220 703 6663 6133 6440 3733 4157 3761
"258" 1724 1865 1552 1197 1131 989 8246 10725 6591 3875 3778 4365
"259" 1376 1242 1187 804 1163 1136 5958 5123 4599 4245 3800 4005
"260" 4459 4643 4601 3535 4233 4675 28650 22568 31581 17193 13900 13017
"261" 358 413 279 515 339 370 2847 3081 2570 1497 1150 1322
"262" 13 29 12 57 79 90 266 485 259 166 141 214
"263" 1201 1644 1365 1382 1335 1109 7190 8538 9081 3663 4042 5086
"264" 194 141 152 176 167 184 1143 874 852 578 542 582
"265" 1815 1701 1764 885 1038 847 7442 10822 8523 4678 4199 4293
"266" 51 69 48 17 12 4 129 110 181 63 54 80
"267" 6591 4581 5367 4533 3871 3983 31395 40573 31910 17264 15001 14693
"268" 534 561 573 520 351 527 3614 2990 3572 2537 1862 2538
"269" 2711 1967 2468 3420 3342 3309 15750 19535 16502 10153 10983 13702
"270" 409 417 535 227 261 333 2577 2121 2829 1426 1847 1477
"271" 1272 1455 924 1690 737 1182 6801 6363 8644 4203 4107 3777
"272" 12 3 9 6 3 24 20 28 7 14 7 29
"273" 6818 7055 4715 5958 4599 6098 27874 17301 25719 17115 20872 20970
"274" 10176 11076 9682 10374 8796 9232 46504 45791 47757 43791 33749 30271
"275" 0 0 0 58 31 6 114 72 140 60 37 43
"276" 546 573 416 212 204 195 1766 2037 2159 918 1203 1323
"277" 283 151 179 187 267 182 1059 1166 967 349 603 501
"278" 117 225 174 577 447 549 2514 2289 2311 1394 1086 1551
"279" 1483 1441 1399 1552 1612 1887 9319 9112 9029 4549 5565 5505
"280" 1404 1683 1685 1522 1864 2683 12614 10054 11764 5760 6904 7230
"281" 22 46 38 205 146 131 478 489 428 243 321 253
"282" 5 7 10 9 4 4 178 224 219 110 89 148
"283" 131 97 140 190 177 153 901 525 646 544 361 378
"284" 1312 1132 1489 897 790 1099 5545 4890 5967 3373 3191 2952
"285" 1365 1281 1098 895 999 807 7605 6069 5487 3763 4292 3982
"286" 366 445 567 300 423 287 1614 3081 2108 1191 1320 1292
"287" 188 156 192 183 182 127 1275 1298 1389 645 740 616
"288" 32 36 25 19 9 3 135 153 55 79 105 70
"289" 161 145 139 106 113 56 649 847 771 340 349 377
"290" 2429 2965 3278 3038 2721 2801 16197 14254 18406 9456 10935 8673
"291" 9486 9083 8975 8629 12031 12391 48337 50972 48079 26137 28670 28736
"292" 383 633 604 589 918 489 4035 3038 3056 1628 1730 1610
"293" 3106 1887 3288 2776 3746 3213 16178 26202 14688 11609 10647 12583
"294" 2 11 3 15 11 21 111 119 117 143 26 67
"295" 7 9 12 0 0 0 65 39 97 28 39 19
"296" 2213 1821 1757 1545 1778 1746 10860 12267 14313 8461 8792 8461
"297" 768 1024 844 348 397 351 3274 4816 3921 2186 2590 2513
"298" 46 34 47 14 9 20 135 192 215 77 110 249
"299" 579 689 831 1173 995 941 4470 6634 6783 2154 3265 3186
"300" 417 461 380 795 879 737 3099 3760 3106 1485 1637 1735
"301" 247 206 256 397 363 326 273 612 408 415 393 249
"302" 601 558 656 1227 1342 1057 1470 1675 1502 1571 1395 1465
"303" 3057 3348 3332 5756 5339 6717 7178 6871 6678 6829 7834 6922
"304" 981 959 798 1600 1347 1361 699 746 800 2719 2856 2487
"305" 3 1 3 4 2 2 7 9 7 2 24 1
"306" 2098 1630 2391 3375 3134 3300 3651 4667 3728 4275 4891 4813
"307" 160 181 93 327 343 299 142 179 154 225 165 254
"308" 398 313 351 830 788 1055 799 1023 787 952 990 731
"309" 23 8 15 86 19 11 55 65 52 33 12 45
"310" 366 580 642 851 906 719 915 945 855 1412 1286 1206
"311" 133 90 73 120 216 285 309 298 244 111 111 163
"312" 189 225 212 339 254 288 510 340 567 615 369 435
"313" 497 766 436 911 986 983 840 1167 1073 604 1083 1209
"314" 567 313 429 947 705 842 652 676 789 965 1065 1050
"315" 5667 3313 3980 6750 7637 9138 8074 7713 8373 13886 9680 9974
"316" 62 39 33 39 69 47 57 51 64 55 13 20
"317" 1013 873 750 1160 1191 1137 1916 2148 1779 1109 1075 1318
"318" 174 195 197 285 250 279 128 135 163 237 272 271
"319" 2367 2305 2577 4541 4349 4187 4370 4011 5109 4842 5388 3974
"320" 171 138 181 200 204 281 443 369 365 471 552 483
"321" 6604 3906 3843 8177 7266 7070 7586 7959 6089 9103 8445 8982
"322" 1562 1425 1575 1808 2480 2247 2717 2469 2763 2161 3674 2099
"323" 242 233 279 302 342 285 190 307 504 747 493 963
"324" 2 0 0 0 0 4 17 12 19 0 0 0
"325" 645 1011 879 1199 1128 1203 1819 1403 1691 717 552 381
"326" 7 14 27 41 34 15 53 21 41 24 40 32
"327" 423 585 713 795 758 997 695 498 684 1060 1017 931
"328" 269 74 271 481 480 533 339 388 387 723 632 1005
"329" 81 94 78 215 213 183 220 128 106 260 184 335
"330" 2230 2498 3558 4461 4611 3813 5961 6104 5499 4202 3404 3026
"331" 4 0 1 3 2 4 0 9 0 0 0 0
"332" 27 40 45 38 68 86 88 68 89 81 57 52
"333" 711 911 957 1373 1460 1580 1408 1223 1275 1533 1741 1740
"334" 193 344 289 373 372 537 287 211 223 494 769 471
"335" 17 9 14 38 15 18 12 14 7 24 18 15
"336" 32 92 69 195 171 137 165 50 241 181 261 171
"337" 2 3 2 4 5 14 2 13 15 23 22 15
"338" 599 788 635 1149 919 861 1243 1370 1395 1407 2094 1590
"339" 681 597 513 919 966 780 1122 658 593 1438 1930 1222
"340" 1 3 3 0 3 3 0 2 0 3 12 2
"341" 4313 6102 5326 8198 9071 9834 10668 10581 11427 9706 8553 10177
"342" 1 3 3 2 2 3 0 0 0 16 10 8
"343" 1464 1380 1383 2389 3640 2722 2884 2542 2585 4588 3311 3679
"344" 49 75 34 118 182 98 159 57 143 85 159 180
"345" 1965 1665 1630 3071 2786 2551 2997 3162 2694 3057 3287 3199
"346" 10 12 3 13 3 36 88 40 66 5 10 12
"347" 25 6 4 11 9 15 21 39 6 15 19 17
"348" 1491 1606 1899 2547 2933 3122 3696 3756 3675 3723 3340 2919
"349" 1147 1161 769 1470 1929 1158 1915 2103 1855 1626 1808 1376
"350" 983 1034 999 1518 1395 1095 1730 1778 1781 1463 1528 1427
"351" 393 390 382 770 987 770 1908 3015 2264 3483 3642 3677
"352" 1094 973 915 1912 1682 1636 4728 5392 7247 6003 7485 6834
"353" 71 86 65 69 183 109 399 496 373 298 357 328
"354" 0 2 0 0 3 0 1 8 3 9 7 5
"355" 997 692 909 1200 1392 1157 3492 3795 4622 3897 3939 5921
"356" 156 135 139 143 143 119 786 659 969 1012 782 637
"357" 1509 1446 1628 2253 2949 2653 6883 8561 8843 8312 8060 8110
"358" 89 135 134 232 337 186 471 488 555 1246 1232 933
"359" 26 55 26 80 90 75 344 253 229 186 164 179
"360" 9 23 15 36 35 23 189 196 291 17 46 30
"361" 4 2 3 4 5 10 15 10 24 20 19 26
"362" 4 2 2 4 1 2 0 0 0 10 19 2
"363" 2 3 0 2 2 1 0 0 0 17 30 53
"364" 17 6 3 12 9 21 31 58 51 69 50 30
"365" 167 381 332 650 736 582 1545 1371 1810 1067 1181 1110
"366" 33 56 93 117 100 74 159 273 290 351 176 279
"367" 122 223 57 138 225 243 618 518 378 769 548 932
"368" 322 232 363 585 531 519 1986 2139 2441 1801 1522 2091
"369" 92 118 93 129 130 195 368 281 389 692 1016 756
"370" 23 28 52 135 52 56 243 256 233 136 267 147
"371" 692 782 795 1296 1215 1311 3098 3564 5396 3461 3754 4293
"372" 69 75 111 51 261 195 1455 1559 1117 500 927 804
"373" 125 147 118 218 189 238 692 769 587 822 975 574
"374" 142 145 161 269 371 231 709 497 648 1259 1135 1075
"375" 99 167 96 327 315 471 1337 1482 909 1588 1387 1269
"376" 1137 1038 1004 1275 1748 1870 4933 5298 4191 6207 5503 5901
"377" 0 0 2 1 0 3 27 7 7 0 0 0
"378" 7 7 4 9 22 10 89 20 147 7 11 21
"379" 187 255 176 380 328 289 1191 1194 1376 1617 1593 1468
"380" 61 29 124 77 73 97 693 392 639 153 195 178
"381" 69 36 69 123 40 123 335 250 304 351 493 463
"382" 214 194 259 363 393 358 1143 922 975 1255 1132 1705
"383" 259 284 212 346 419 465 994 1576 1059 1887 1916 2390
"384" 526 398 541 851 628 772 2874 3385 3577 2898 2222 3125
"385" 0 0 0 0 3 2 9 10 9 0 0 0
"386" 39 26 12 79 34 53 111 167 239 219 141 223
"387" 201 202 169 312 349 303 1221 903 1035 1053 1422 951
"388" 219 201 199 531 290 396 1921 1785 2211 1155 1342 1145
"389" 305 295 154 293 341 301 942 969 820 1161 1391 915
"390" 658 568 468 544 763 1013 1962 2456 2367 2490 2471 2386
"391" 1021 1015 866 1651 1437 1447 5759 5438 4927 5679 3593 4016
"392" 2 0 0 1 0 0 0 0 0 5 0 10
"393" 47 47 25 30 66 44 87 144 121 216 210 238
"394" 32 10 22 43 25 26 99 76 167 64 90 78
"395" 0 0 0 0 2 2 3 5 5 0 0 0
"396" 17 15 7 33 28 32 99 157 217 164 133 138
"397" 118 90 214 356 218 174 915 826 917 1394 1041 1102
"398" 81 50 50 59 90 114 202 222 180 426 395 310
"399" 1174 1235 1027 1168 1784 1347 5177 5715 6021 6064 6856 5301
"400" 1389 1147 1279 2519 1456 2837 6351 6303 8787 10109 8882 7821
"401" 45 125 48 19 46 30 65 75 68 16 20 20
"402" 613 426 693 277 258 271 379 283 372 453 621 351
"403" 28 27 26 20 13 15 35 14 8 3 9 15
"404" 699 765 701 201 643 257 713 595 667 717 254 476
"405" 7923 6860 6882 4227 4005 3830 5705 6328 6096 8000 8332 8431
"406" 603 908 601 359 333 229 543 417 542 660 518 574
"407" 222 171 176 87 70 84 110 100 105 201 227 83
"408" 134 151 211 88 87 83 94 106 168 193 249 190
"409" 1502 1322 1332 987 681 739 1139 939 1382 1531 1435 1570
"410" 926 1159 1027 317 333 432 735 727 667 501 954 537
"411" 1626 1668 1770 837 833 832 1185 813 1145 1580 1760 1773
"412" 2375 2014 1862 897 907 891 1371 1574 1452 1938 1726 1934
"413" 38 32 14 9 15 14 26 32 6 17 48 34
"414" 1328 1410 1334 467 681 513 694 1137 786 1089 1863 1036
"415" 14 9 9 24 11 28 16 41 43 38 53 53
"416" 18705 19518 17056 9474 7927 7492 10449 13777 13819 15476 16965 16203
"417" 2085 1727 1817 669 1113 747 1267 1778 1673 1095 1251 1150
