"TP1_1" "TP1_2" "TP1_3" "TP2_1" "TP2_2" "TP2_3" "TP3_1" "TP3_2" "TP3_3" "TP4_1" "TP4_2" "TP4_3"
"gene_38" 7707 8055 9037 5108 5498 5505 9042 6255 7951 5938 5730 4667
"gene_39" 615 383 424 373 264 373 240 321 153 287 441 337
"gene_40" 3253 3542 3054 3396 3876 4835 3255 2768 2661 3958 4936 4015
"gene_41" 316 315 394 579 272 276 185 226 220 335 181 355
"gene_42" 453 292 478 604 579 510 576 509 627 770 561 755
"gene_43" 276 285 236 367 225 356 215 169 255 293 164 199
"gene_44" 29 73 27 32 15 38 27 25 22 19 8 21
"gene_45" 4055 4011 2948 4124 4050 2992 3841 3424 2867 3983 2956 4170
"gene_46" 9 5 4 59 66 36 24 29 18 42 31 33
"gene_47" 655 1151 1007 1465 1618 1486 1044 1279 933 1334 924 1217
"gene_48" 21 44 39 21 26 46 15 33 19 21 36 27
"gene_49" 410 272 455 362 369 230 277 315 310 219 203 194
"gene_50" 607 374 448 464 381 556 531 401 521 803 579 690
"gene_51" 610 602 462 568 781 514 865 624 664 956 845 816
"gene_52" 105 98 122 81 76 65 55 93 79 98 57 49
"gene_53" 22 15 18 4 5 5 13 4 9 9 4 4
"gene_54" 268 215 258 227 212 224 260 245 194 219 159 218
"gene_55" 962 995 1091 1440 1241 1097 854 818 1009 850 916 1096
"gene_56" 1176 1309 1373 1619 1195 1262 1307 1541 1132 1476 1088 1216
"gene_57" 21 10 40 24 36 28 39 40 56 22 33 33
"gene_58" 307 210 239 235 278 387 513 453 541 282 359 613
"gene_59" 0 0 0 0 0 0 4 8 2 1 2 6
"gene_60" 213 185 211 64 134 139 121 138 154 212 219 147
"gene_61" 112 110 60 208 291 179 178 213 109 33 26 59
"gene_62" 311 479 535 392 373 390 272 339 302 519 541 438
"gene_63" 977 823 920 1208 1050 1212 887 881 978 1044 1056 982
"gene_64" 2798 1693 2134 3550 3096 2904 1265 1378 1112 2313 1985 2207
"gene_65" 2023 2053 2145 1399 1410 1307 1632 1592 1763 1607 1856 1784
"gene_66" 6035 5692 6389 6301 5385 5549 6130 7830 6108 5916 5326 5123
"gene_67" 299 252 255 313 439 308 350 490 405 458 455 359
"gene_68" 3522 2264 2283 5045 5030 4734 3096 2604 2811 4228 4092 2325
"gene_69" 839 928 1268 1405 1298 1293 721 912 1188 870 855 819
"gene_70" 1629 1390 1510 1363 1425 1355 1678 1742 1548 2124 3029 1341
"gene_71" 96 109 139 193 148 232 87 107 135 196 175 279
"gene_72" 157 99 109 77 70 179 136 128 64 113 134 125
"gene_73" 202 250 218 205 268 245 261 265 390 281 273 247
"gene_74" 19 28 25 64 58 65 14 9 8 38 52 8
"gene_75" 1192 1112 987 916 999 759 982 953 998 1376 1250 1518
"gene_76" 1224 1294 1235 1283 1233 1300 1131 1336 1095 1218 1147 1192
"gene_77" 130 94 147 50 61 130 21 20 24 126 51 59
"gene_78" 297 298 379 224 157 184 299 253 281 207 248 202
"gene_79" 13 12 11 10 10 16 55 57 40 15 16 15
"gene_80" 111 42 84 84 30 52 116 92 86 45 31 90
"gene_81" 25 45 39 39 29 38 92 55 71 5 3 5
"gene_82" 622 582 634 550 615 493 349 414 455 481 867 522
"gene_83" 956 967 845 822 745 723 615 625 621 641 576 558
"gene_84" 203 212 317 292 219 259 201 208 192 314 282 385
"gene_85" 560 750 684 1055 947 830 547 563 988 776 757 1114
"gene_86" 140 104 123 38 60 64 38 81 62 101 82 64
"gene_87" 1522 1073 866 936 1191 957 986 1219 701 943 1157 1120
"gene_88" 2975 3555 3229 3827 2692 3707 2988 2608 2221 2453 2746 2547
"gene_89" 436 393 238 235 175 212 113 133 124 104 76 84
"gene_90" 1601 1624 2282 2667 2231 3130 2176 2461 2501 2824 2504 2920
"gene_91" 698 568 730 658 688 508 903 805 791 633 645 625
"gene_92" 192 190 248 264 216 337 115 155 175 344 395 275
"gene_93" 2397 3175 1963 1818 2038 1981 2030 2100 2763 2212 2421 2227
"gene_94" 652 418 464 1200 1038 961 624 708 669 520 468 676
"gene_95" 11 7 16 46 37 42 59 36 36 61 62 34
"gene_96" 1770 2119 1750 1419 1333 1707 1320 1112 993 1101 1598 1222
"gene_97" 1072 1038 1146 1193 1107 748 1487 1399 1491 1544 1603 1816
"gene_98" 347 593 451 205 272 206 308 201 322 656 450 355
"gene_99" 142 146 206 118 153 99 141 97 189 155 205 216
"gene_100" 3032 2285 2244 2255 2737 2495 3016 2553 3159 2753 2698 3080
"gene_101" 836 880 1136 635 640 632 815 904 833 787 773 721
"gene_102" 9164 7165 6967 7776 6435 9207 11024 13366 11082 7601 7471 8468
"gene_103" 915 770 899 730 897 609 935 1035 972 925 858 1119
"gene_104" 3810 3750 3480 2862 4478 2487 4419 3538 4479 3843 3501 3270
"gene_105" 258 206 188 92 70 116 268 167 263 330 192 515
"gene_106" 1648 1974 1513 938 1093 1044 1428 1282 1100 1873 1457 1459
"gene_107" 3460 4218 3978 4765 4511 4888 3561 3201 3727 3123 4030 3585
"gene_108" 78 74 104 266 172 155 232 98 210 102 62 110
"gene_109" 38 20 42 164 138 184 68 72 88 59 82 35
"gene_110" 171 187 201 304 188 292 644 449 601 208 219 118
"gene_111" 2 1 9 8 12 5 13 10 16 1 3 1
"gene_112" 244 224 280 395 307 258 384 312 292 334 299 367
"gene_113" 389 461 418 355 322 289 201 258 480 514 564 466
"gene_114" 1050 1237 901 1533 1548 1450 835 1093 1132 932 1247 616
"gene_115" 0 0 0 0 4 1 0 0 0 0 0 0
"gene_116" 298 251 272 208 333 393 379 290 386 434 438 458
"gene_117" 2648 3053 2637 4212 3479 4567 2446 2795 3028 2021 2375 2516
"gene_118" 5046 6421 5078 5449 5040 5221 7936 7097 8801 6194 6698 5201
"gene_119" 1481 1545 1370 872 1088 638 1822 1631 1485 1035 1188 1386
"gene_120" 1699 1973 1912 2174 1883 1594 2360 1756 2087 3025 2575 2806
"gene_121" 4315 4396 3862 4873 4594 3419 2892 3902 3856 3915 4767 4730
"gene_122" 1517 1503 1602 1019 815 756 1823 1884 1761 1380 1060 1256
"gene_123" 265 247 296 298 115 342 306 459 356 328 302 266
"gene_124" 0 0 0 0 0 0 8 16 28 14 15 58
"gene_125" 94 146 119 101 104 165 144 131 56 88 76 50
"gene_126" 192 219 187 315 232 202 233 253 270 265 168 193
"gene_127" 15 21 4 7 8 13 7 3 10 25 18 24
"gene_128" 4475 4637 3799 3642 3139 3512 3166 5601 3479 4475 4105 4971
"gene_129" 2938 3423 2856 3510 2936 3532 5210 4672 5345 4372 4269 4738
"gene_130" 698 474 537 953 978 636 1358 728 998 591 561 579
"gene_131" 172 82 124 345 321 205 161 159 135 188 183 211
"gene_132" 0 0 0 11 20 13 60 69 57 1 1 0
"gene_133" 4787 4375 3039 3896 3735 2351 3380 3311 2907 2363 2685 3155
"gene_134" 54 36 63 88 52 90 75 72 79 31 49 34
"gene_135" 770 724 864 724 821 805 437 253 562 504 516 367
"gene_136" 11 7 2 28 49 56 64 40 19 47 16 15
"gene_137" 205 98 61 34 82 38 244 238 365 8 11 13
"gene_138" 605 819 751 767 1096 1239 802 1012 1207 981 1359 1047
"gene_139" 27 33 13 50 28 80 37 17 8 10 22 35
"gene_140" 839 745 1021 843 1161 835 1153 909 994 842 958 1176
"gene_141" 7321 8873 9057 10753 11657 10963 11618 10422 9873 8665 8021 11563
"gene_142" 301 404 368 318 325 439 379 336 281 335 419 368
"gene_143" 946 1173 1546 1068 1064 1117 1465 1607 1649 1678 1813 1712
"gene_144" 1450 1648 1758 2592 3048 2939 1792 1704 1255 1765 1773 1914
"gene_145" 655 764 464 321 451 374 501 285 452 613 592 525
"gene_146" 296 282 242 371 425 219 261 271 272 224 234 204
"gene_147" 763 815 824 1112 880 856 1106 684 848 805 721 964
"gene_148" 571 445 678 638 976 892 659 681 703 694 507 730
"gene_149" 256 143 239 242 336 170 189 198 232 100 159 155
"gene_150" 515 527 556 396 230 272 222 214 316 245 162 287
"gene_151" 140 122 180 116 111 179 153 182 173 338 333 304
"gene_152" 4525 3706 4914 5038 4584 4456 4924 4950 5041 5141 3799 3624
"gene_153" 176 257 198 449 698 525 370 289 417 418 259 286
"gene_154" 355 262 264 544 626 454 714 1012 723 396 694 572
"gene_155" 8 7 3 6 8 1 10 4 6 9 15 9
"gene_156" 2052 1935 1802 1075 1668 1678 2960 2295 2875 1350 1751 1439
"gene_157" 591 510 441 389 572 419 346 328 238 992 1064 715
"gene_158" 500 645 570 470 493 573 659 521 476 450 776 564
"gene_159" 6263 5448 5367 5359 5048 3344 4830 4138 5395 8126 7067 7898
"gene_160" 64 55 75 93 51 88 116 153 141 84 95 92
"gene_161" 240 247 115 313 327 233 182 179 196 98 129 82
"gene_162" 154 127 92 33 67 108 93 115 110 75 88 56
"gene_163" 1222 1464 1299 1538 1879 1560 1250 1418 941 1476 1613 1777
"gene_164" 634 715 828 1346 1287 999 1151 1013 905 1455 999 1483
"gene_165" 3814 3674 2800 4621 4153 4137 4826 4095 4757 3470 3228 5916
"gene_166" 896 1112 1227 1256 1450 1304 524 590 659 745 720 684
"gene_167" 0 6 0 0 0 0 0 0 0 10 10 7
"gene_168" 32 17 30 1 8 1 45 45 33 2 2 1
"gene_169" 403 500 399 141 402 287 404 179 568 265 307 306
"gene_170" 9 3 8 1 6 5 10 56 31 18 3 11
"gene_171" 2718 3059 3592 3729 3908 3185 1418 1964 1393 2798 2676 2636
"gene_172" 1213 1554 1365 1569 1836 2465 1232 1479 1412 1185 933 1048
"gene_173" 12 20 19 19 12 27 39 11 22 6 11 5
"gene_174" 128 41 102 187 166 140 122 132 148 156 127 135
"gene_175" 2855 2273 2716 1698 1528 1310 1511 2587 2003 1952 2013 1875
"gene_176" 13 19 15 24 15 10 11 24 4 11 6 9
"gene_177" 2799 2192 3239 3433 3055 4047 3705 4018 4013 3253 2845 3193
"gene_178" 958 1156 1117 977 1013 941 510 545 752 898 738 635
"gene_179" 1839 1624 1796 2813 3181 2728 1351 1450 2052 1505 1338 1333
"gene_180" 231 239 186 141 157 210 221 226 441 283 261 232
"gene_181" 630 641 410 145 150 122 115 144 172 190 221 185
"gene_182" 339 322 302 395 465 405 315 282 385 347 332 470
"gene_183" 94 70 98 83 124 79 182 120 114 192 180 215
"gene_184" 768 884 627 467 348 293 501 653 615 146 233 215
"gene_185" 2 0 1 0 0 0 0 0 0 4 4 1
"gene_186" 4 10 17 8 7 2 7 2 1 0 0 0
"gene_187" 1 1 7 5 4 10 5 1 2 0 1 1
"gene_188" 4 5 4 0 0 0 1 1 2 13 5 12
"gene_189" 1773 1836 1798 1836 2159 2254 1478 1223 1515 1396 1435 1368
"gene_190" 620 644 586 522 641 638 749 847 730 859 576 748
"gene_191" 1 4 4 3 12 2 2 2 3 8 1 6
"gene_192" 1390 1021 1630 785 641 863 1856 1631 1752 898 1008 789
"gene_193" 20 16 6 13 16 12 13 20 12 0 0 0
"gene_194" 223 279 222 205 195 302 318 156 234 239 242 280
"gene_195" 1 0 5 7 13 4 0 0 0 14 15 24
"gene_196" 112 43 123 35 53 54 59 61 49 53 103 81
"gene_197" 1939 1975 2107 2319 2622 2230 2430 2192 2404 2325 2304 2290
"gene_198" 261 221 264 268 188 187 47 62 68 112 72 47
"gene_199" 830 848 856 638 733 708 523 528 729 525 496 657
"gene_200" 3156 2688 2858 2195 2119 1938 3824 4332 4069 3237 2488 1937
"gene_201" 561 313 427 307 441 456 477 578 641 379 524 396
"gene_202" 12 12 19 6 7 10 18 11 17 13 13 5
"gene_203" 281 278 253 388 318 343 293 352 283 193 196 245
"gene_204" 399 279 317 712 581 476 317 344 212 545 376 470
"gene_205" 684 745 550 472 519 484 568 569 484 725 937 702
"gene_206" 1556 2005 1850 1578 1297 1236 1195 1700 1506 1610 1138 1356
"gene_207" 1526 1747 1185 1253 1116 835 2205 2044 2235 1050 1273 1452
"gene_208" 4753 4975 5576 7287 8361 7050 8131 9022 6817 5808 5916 5590
"gene_209" 1 1 1 83 143 65 62 28 52 12 15 18
"gene_210" 430 447 461 744 879 841 399 368 498 153 146 215
"gene_211" 13 18 13 50 57 40 8 23 30 22 24 44
"gene_212" 61 80 70 32 24 55 77 47 61 47 72 50
"gene_213" 0 2 1 7 13 17 0 0 0 8 9 5
"gene_214" 7 6 8 37 14 21 12 11 10 35 25 24
"gene_215" 51 18 35 76 73 50 43 33 26 45 33 46
"gene_216" 101 128 99 63 61 93 33 190 125 57 65 101
"gene_217" 373 380 364 332 240 263 269 308 325 464 347 607
"gene_218" 2264 2504 2263 3828 3001 2467 1895 1981 2023 2970 4328 2879
"gene_219" 3547 3839 4321 3038 3429 3026 5610 3908 3815 3981 4152 3622
"gene_220" 13 16 13 11 3 10 1 1 0 8 2 7
"gene_221" 468 346 447 208 193 84 408 334 569 577 450 406
"gene_222" 0 11 1 2 2 1 2 8 2 25 13 23
"gene_223" 4 7 7 0 0 0 0 0 0 0 0 0
"gene_224" 19 28 19 54 47 84 13 45 56 86 62 47
"gene_225" 1140 1069 935 1102 694 841 1142 992 1016 1148 1081 1142
"gene_226" 867 1142 1253 1516 1501 1332 1481 1415 1599 1536 1902 1537
"gene_227" 6 5 5 0 0 0 4 2 12 1 5 3
"gene_228" 2713 2856 3097 9091 9856 7600 3373 3832 3496 3653 3120 3969
"gene_229" 19 45 25 2 6 1 8 5 8 10 5 17
"gene_230" 5165 6298 4228 6119 4701 3878 5256 4980 5258 5728 4991 4384
"gene_231" 1398 1911 2023 1785 1392 932 1840 1559 1674 1629 1513 1191
"gene_232" 92 46 68 78 86 93 93 105 99 53 93 104
"gene_233" 124 155 134 56 88 136 97 72 113 32 83 28
"gene_234" 265 315 293 210 195 173 242 336 281 515 341 476
"gene_235" 907 898 862 882 1222 499 635 564 611 1062 954 1026
"gene_236" 1944 2750 2310 1755 1930 2452 2452 2144 2110 1946 2645 2286
"gene_237" 2447 2383 2719 1999 2156 2453 2256 2016 2036 1925 2439 1873
"gene_238" 99 98 80 170 149 204 115 163 136 64 122 107
"gene_239" 823 947 659 745 532 572 566 476 268 398 578 376
"gene_240" 2635 3150 4856 3784 3800 4508 3558 2589 2964 3715 3182 3870
"gene_241" 1598 1480 2012 1387 1425 999 1664 1647 1436 1376 1749 1396
"gene_242" 41 41 17 8 8 4 14 24 30 7 15 2
"gene_243" 858 824 691 924 778 1735 375 474 378 410 487 463
"gene_244" 104 126 109 139 62 99 260 221 195 131 137 130
"gene_245" 174 224 281 181 182 114 432 330 391 238 358 402
"gene_246" 3584 2386 2384 2416 2053 2364 1731 1655 2169 2682 1970 2066
"gene_247" 2 2 2 0 0 0 0 0 0 2 8 12
"gene_248" 3 1 4 0 4 3 2 2 6 0 0 0
"gene_249" 312 286 430 482 1016 773 733 624 752 633 814 757
"gene_250" 2273 2130 2101 1575 1555 1636 1604 1187 2152 1432 1700 1564
"gene_251" 15 16 15 27 67 21 28 23 35 25 59 13
"gene_252" 3675 2988 4759 3318 2131 2639 4484 3247 3540 3452 3139 3420
"gene_253" 25 39 24 65 39 75 72 107 45 81 85 75
"gene_254" 3674 3005 3738 1892 2013 1816 2257 3564 2128 3836 3302 3667
"gene_255" 1852 1590 1438 1410 1739 2101 1027 1151 1102 1610 1561 1724
"gene_256" 739 725 780 710 935 745 1025 1175 1352 510 764 733
"gene_257" 699 705 630 796 822 847 862 795 1044 262 370 313
"gene_258" 1105 1082 1201 942 1124 1026 707 776 693 748 643 541
"gene_259" 769 758 828 918 765 605 480 432 416 1150 847 929
"gene_260" 3690 3518 3844 2836 2979 3442 2422 3182 4287 3047 2879 2642
"gene_261" 200 164 224 307 424 443 241 393 230 335 267 448
"gene_262" 15 16 1 30 75 89 32 47 22 34 35 25
"gene_263" 1128 1150 1139 740 715 719 868 833 915 867 933 858
"gene_264" 114 107 106 136 107 111 95 138 48 114 113 84
"gene_265" 996 1161 1179 805 554 715 856 1036 1191 591 669 504
"gene_266" 52 35 19 9 2 10 1 5 1 4 13 8
"gene_267" 4309 3296 4735 2389 2365 2461 2825 3495 3499 3830 3728 2680
"gene_268" 449 458 350 262 286 361 458 481 473 409 345 774
"gene_269" 1523 1994 1472 1983 2392 2388 1730 2373 2656 1755 2495 2532
"gene_270" 461 312 299 118 220 250 410 272 399 403 386 461
"gene_271" 768 985 1008 641 774 834 681 705 638 1111 1305 1158
"gene_272" 4 2 4 6 4 24 0 0 0 0 8 4
"gene_273" 4040 3932 5223 4438 4203 4150 4283 3738 5127 3229 4007 4368
"gene_274" 5503 7684 6418 6817 7590 6653 6004 4788 4480 4849 3976 2632
"gene_275" 0 0 0 29 30 27 3 18 8 2 13 3
"gene_276" 278 307 363 108 133 178 295 296 272 194 194 229
"gene_277" 68 164 160 272 202 269 60 48 42 125 150 92
"gene_278" 104 89 79 519 395 215 273 211 244 373 216 304
"gene_279" 1197 918 993 969 1096 922 775 902 881 1362 1230 1419
"gene_280" 1183 1407 888 1379 1505 1519 1481 1111 1028 1403 1010 1413
"gene_281" 21 24 18 121 115 121 70 79 45 22 32 39
"gene_282" 10 2 4 5 8 5 61 74 55 4 1 0
"gene_283" 85 52 44 154 89 140 96 64 65 128 135 158
"gene_284" 1011 773 888 543 536 811 510 468 404 835 907 784
"gene_285" 908 825 895 625 713 845 997 1058 1032 708 765 648
"gene_286" 343 243 319 348 430 245 536 396 295 128 322 231
"gene_287" 121 195 128 109 177 82 21 32 22 179 219 206
"gene_288" 19 19 15 6 4 4 38 36 41 5 4 5
"gene_289" 115 114 127 53 36 59 86 125 179 152 96 80
"gene_290" 1582 1733 1828 1733 1846 1772 1478 2067 1766 2179 2037 1879
"gene_291" 6752 5767 5288 6236 5231 6759 4842 4807 4633 3582 3535 3419
"gene_292" 606 415 436 473 448 423 290 175 325 438 557 513
"gene_293" 1955 1619 2286 2304 2215 2496 1342 1341 1308 2855 2339 2708
"gene_294" 3 4 10 12 4 20 16 13 19 50 46 33
"gene_295" 3 6 2 0 0 0 9 25 13 4 10 16
"gene_296" 1683 988 1490 948 1296 1493 1731 1896 1778 1432 1524 1751
"gene_297" 593 776 556 279 278 361 276 301 343 605 538 530
"gene_298" 21 34 38 13 15 12 41 36 36 24 16 15
"gene_299" 484 670 491 608 850 673 879 804 724 473 698 448
"gene_300" 258 423 385 353 379 555 413 695 120 431 465 363
"gene_301" 268 390 367 635 561 856 298 286 181 280 242 232
"gene_302" 830 855 911 1014 1328 1065 1047 1229 1061 993 1032 818
"gene_303" 4048 3962 3813 4260 4852 3673 4555 5094 4443 3501 7021 4151
"gene_304" 775 767 725 1730 1440 1084 610 611 602 1612 1908 2475
"gene_305" 1 1 1 0 0 0 1 8 1 6 5 3
"gene_306" 2729 3065 3192 1704 1938 1644 3292 2768 2526 3282 2896 2554
"gene_307" 295 240 321 176 170 156 91 74 113 193 192 167
"gene_308" 480 574 760 711 955 858 541 847 481 548 467 524
"gene_309" 43 50 34 38 45 49 27 30 43 12 16 15
"gene_310" 877 815 563 562 626 773 628 653 596 735 911 1015
"gene_311" 95 74 68 163 204 196 145 144 162 49 101 72
"gene_312" 292 264 203 206 212 218 358 295 475 386 245 253
"gene_313" 633 851 784 1180 954 1035 752 730 856 579 888 527
"gene_314" 694 746 638 516 648 555 493 531 551 630 690 654
"gene_315" 6878 7578 7561 5313 7127 4713 5092 6396 5891 8193 6506 6262
"gene_316" 42 61 62 139 79 65 43 31 51 7 20 30
"gene_317" 1402 1619 1345 1133 1367 1375 2133 1136 1455 795 596 442
"gene_318" 301 313 402 392 193 404 158 148 93 184 221 179
"gene_319" 3952 4041 3454 3485 4096 3624 4118 2954 2368 2248 3227 4126
"gene_320" 197 294 287 191 261 184 230 282 294 193 285 309
"gene_321" 5516 6224 5828 6112 7281 5032 6703 6077 5678 7440 8830 7333
"gene_322" 1818 1676 1986 1465 1861 1923 1928 2051 1616 1548 1544 1781
"gene_323" 292 287 140 251 387 347 262 156 297 805 748 518
"gene_324" 0 4 1 0 0 0 4 1 9 0 0 0
"gene_325" 1150 1124 982 2464 1836 1884 1115 1466 1289 335 279 242
"gene_326" 34 28 41 16 12 11 17 21 25 13 6 19
"gene_327" 599 658 361 1142 839 1107 589 579 370 884 886 1153
"gene_328" 339 411 354 585 405 330 206 260 255 348 626 486
"gene_329" 229 319 118 149 115 211 88 70 118 233 191 185
"gene_330" 4575 4536 4289 2650 3376 4361 3782 3821 6285 2465 2921 3456
"gene_331" 0 4 1 1 5 4 4 5 1 0 0 0
"gene_332" 62 92 73 28 21 43 42 46 62 40 87 82
"gene_333" 1102 1212 1421 1314 1535 1798 987 959 670 1102 1114 1162
"gene_334" 256 284 273 638 416 423 155 218 160 515 376 292
"gene_335" 15 25 7 27 22 24 5 5 4 5 17 14
"gene_336" 79 154 104 195 128 121 87 85 131 182 139 173
"gene_337" 1 2 0 2 1 1 2 2 1 28 26 12
"gene_338" 1303 1050 1018 762 627 565 831 813 822 1462 1199 921
"gene_339" 838 684 902 755 795 737 696 624 630 1359 1343 1114
"gene_340" 0 0 0 16 9 1 4 2 2 2 7 10
"gene_341" 6813 5611 8111 7518 9106 7016 7853 9076 9616 6627 8121 7993
"gene_342" 0 0 0 1 1 1 0 0 0 2 4 16
"gene_343" 1912 2259 1999 2474 2092 1932 1836 2277 1959 2814 2124 2844
"gene_344" 144 81 49 59 41 99 86 135 86 95 159 76
"gene_345" 2487 2759 2370 3104 3281 3072 2781 2305 2292 2135 1982 1949
"gene_346" 0 0 0 0 0 0 55 39 67 8 8 13
"gene_347" 10 28 31 7 9 2 21 8 13 28 10 8
"gene_348" 3082 2156 3045 2265 1964 2400 2297 2699 2445 2318 2488 2998
"gene_349" 1214 1127 1179 1830 1705 1625 1189 1050 1558 1116 1504 1807
"gene_350" 1130 1208 1018 1238 1361 1176 1382 1490 1385 1046 928 1017
"gene_351" 2341 1715 2119 2630 1712 2055 1497 1849 1366 2632 2207 2298
"gene_352" 5296 3120 3665 3098 3670 3262 4518 4769 4658 3544 4389 3973
"gene_353" 361 320 371 260 184 173 339 276 255 298 210 175
"gene_354" 0 0 0 1 10 1 1 1 0 2 4 4
"gene_355" 2542 3599 3548 3667 3161 3939 2867 2568 2355 2853 3801 3484
"gene_356" 443 422 693 1056 767 732 508 534 672 528 462 536
"gene_357" 5725 6218 4396 5799 7840 8697 5768 7747 7685 5969 5259 6247
"gene_358" 655 495 790 550 374 416 378 466 349 693 848 725
"gene_359" 216 202 252 255 260 281 210 182 177 120 92 116
"gene_360" 80 58 53 168 162 141 73 102 102 22 28 31
"gene_361" 62 44 41 33 25 33 15 13 12 20 12 27
"gene_362" 27 24 8 0 0 0 0 0 0 10 13 5
"gene_363" 1 0 2 11 1 2 0 0 0 21 29 41
"gene_364" 69 84 78 13 19 17 42 24 19 32 32 46
"gene_365" 1707 1548 1381 1664 1606 1568 1218 1358 1259 905 914 896
"gene_366" 259 199 239 285 317 234 108 159 349 180 142 182
"gene_367" 377 575 285 634 556 519 359 285 405 573 507 393
"gene_368" 1667 1760 1355 1170 907 967 1567 1154 1155 1139 1112 902
"gene_369" 479 436 486 515 557 596 245 285 291 628 520 552
"gene_370" 42 82 81 296 113 145 148 227 141 110 116 132
"gene_371" 2445 2841 3073 3677 3267 4364 2935 3764 3189 2845 3315 2587
"gene_372" 452 414 600 442 554 288 856 764 988 430 543 395
"gene_373" 465 498 359 441 531 442 448 485 453 588 556 724
"gene_374" 547 475 559 796 869 960 518 528 419 551 833 777
"gene_375" 897 791 788 1004 952 906 806 945 726 851 933 996
"gene_376" 4367 6302 6714 4985 5247 5278 3176 4675 2603 4148 4035 4169
"gene_377" 1 1 7 0 0 0 10 3 7 0 0 0
"gene_378" 18 13 21 12 39 5 104 52 68 24 8 10
"gene_379" 892 813 592 864 1175 1247 800 833 854 1003 1248 1246
"gene_380" 266 227 198 202 229 323 246 310 462 63 143 202
"gene_381" 144 169 164 212 170 351 173 156 184 281 279 385
"gene_382" 750 838 1137 995 1082 985 670 618 809 916 835 767
"gene_383" 908 1003 1065 1419 1361 1233 1124 1076 859 1324 1442 1376
"gene_384" 1671 1527 1262 1732 2181 1418 2450 2021 3004 2950 1781 2527
"gene_385" 0 0 0 6 8 19 12 8 6 0 0 0
"gene_386" 190 172 188 145 135 149 127 133 214 90 100 118
"gene_387" 516 579 725 691 739 644 810 769 805 736 819 740
"gene_388" 879 1065 1235 1083 1065 1028 1244 1050 1172 769 570 674
"gene_389" 637 541 808 1020 887 1101 758 911 735 859 683 828
"gene_390" 1684 2172 1965 1474 1930 1538 1456 1575 1489 1279 1433 1487
"gene_391" 4037 4821 6101 3948 3974 4241 4816 3456 4357 2770 3046 3258
"gene_392" 8 2 4 1 6 4 0 0 0 4 10 10
"gene_393" 112 112 130 163 190 173 84 90 114 123 184 153
"gene_394" 132 68 84 98 102 101 65 87 45 42 35 48
"gene_395" 0 0 0 0 0 0 5 3 6 0 0 0
"gene_396" 75 118 87 109 165 96 98 143 162 112 115 112
