"TP1_1" "TP1_2" "TP1_3" "TP2_1" "TP2_2" "TP2_3" "TP3_1" "TP3_2" "TP3_3" "TP4_1" "TP4_2" "TP4_3"
"gene_92" 287 285 372 395 324 505 173 233 263 516 592 413
"gene_93" 3595 4762 2945 2727 3056 2971 3045 3150 4145 3318 3631 3341
"gene_94" 977 627 695 1800 1556 1441 936 1062 1004 780 702 1015
"gene_95" 16 10 25 69 55 64 89 55 55 91 94 51
"gene_96" 2655 3179 2625 2129 1999 2560 1980 1667 1489 1652 2396 1834
"gene_97" 1608 1557 1719 1790 1661 1122 2231 2099 2236 2315 2405 2724
"gene_98" 520 890 676 308 407 309 462 302 483 985 675 533
"gene_99" 214 219 309 176 230 148 212 145 284 233 308 325
"gene_100" 4548 3427 3366 3382 4105 3742 4525 3829 4739 4129 4047 4620
"gene_101" 1254 1320 1705 953 960 947 1223 1356 1249 1180 1160 1082
"gene_102" 13746 10748 10450 11664 9652 13811 16536 20049 16623 11402 11206 12703
"gene_103" 1373 1155 1348 1095 1345 914 1403 1552 1457 1388 1286 1678
"gene_104" 5715 5625 5220 4294 6716 3730 6628 5306 6718 5765 5252 4905
"gene_105" 387 309 283 138 105 174 403 251 395 495 288 773
"gene_106" 2472 2961 2269 1406 1639 1566 2143 1923 1650 2809 2185 2188
"gene_107" 5190 6327 5967 7148 6766 7332 5342 4802 5591 4685 6045 5378
"gene_108" 116 111 156 399 258 233 347 146 315 153 93 165
"gene_109" 57 30 64 246 206 275 102 107 132 88 124 53
"gene_110" 256 280 301 455 283 437 966 674 901 313 328 177
"gene_111" 4 2 14 13 18 7 19 15 25 1 5 2
"gene_112" 366 336 420 593 461 387 575 467 438 501 448 550
"gene_113" 584 691 626 532 483 434 302 386 720 771 846 699
"gene_114" 1575 1855 1352 2299 2323 2175 1253 1639 1697 1398 1870 925
"gene_115" 0 0 0 0 5 2 0 0 0 0 0 0
"gene_116" 447 376 408 312 499 590 568 435 579 651 657 687
"gene_117" 3972 4580 3955 6317 5219 6851 3669 4193 4542 3031 3562 3775
"gene_118" 7569 9632 7616 8174 7560 7832 11905 10645 13201 9291 10046 7802
"gene_119" 2222 2317 2055 1308 1632 956 2733 2446 2227 1553 1783 2079
"gene_120" 2548 2959 2867 3261 2825 2391 3540 2635 3130 4537 3863 4209
"gene_121" 6473 6595 5794 7309 6891 5128 4337 5853 5784 5873 7150 7095
"gene_122" 2275 2255 2404 1529 1222 1134 2735 2825 2642 2070 1590 1884
"gene_123" 398 370 445 447 172 514 459 688 534 492 454 399
"gene_124" 0 0 0 0 0 0 12 24 43 21 22 87
"gene_125" 141 219 178 151 155 248 216 196 84 132 114 75
"gene_126" 287 328 280 473 347 303 350 379 405 398 253 289
"gene_127" 22 31 5 11 13 20 11 5 15 38 26 36
"gene_128" 6712 6955 5698 5464 4708 5267 4749 8402 5219 6712 6157 7456
"gene_129" 4406 5135 4284 5265 4405 5298 7815 7007 8017 6558 6404 7106
"gene_130" 1046 711 805 1430 1466 954 2036 1092 1496 886 841 868
"gene_131" 257 123 185 517 482 308 242 238 203 283 275 316
"gene_132" 0 0 0 16 30 19 90 104 85 2 1 0
"gene_133" 7180 6562 4558 5844 5602 3526 5070 4966 4361 3545 4027 4733
"gene_134" 81 55 95 133 78 135 113 107 119 46 74 51
"gene_135" 1155 1086 1295 1085 1231 1207 655 380 843 755 774 551
"gene_136" 16 11 4 43 74 84 96 60 28 71 24 23
"gene_137" 308 147 92 51 124 56 365 357 547 13 16 20
"gene_138" 907 1229 1126 1150 1644 1858 1204 1518 1810 1472 2039 1570
"gene_139" 40 49 19 75 43 120 55 25 13 15 34 52
"gene_140" 1259 1118 1532 1265 1741 1252 1729 1364 1491 1263 1436 1765
"gene_141" 10981 13310 13585 16129 17485 16445 17426 15634 14810 12997 12032 17345
"gene_142" 452 605 552 477 487 659 569 504 422 503 629 553
"gene_143" 1419 1760 2319 1602 1595 1675 2198 2410 2474 2516 2719 2567
"gene_144" 2175 2473 2637 3887 4572 4409 2687 2556 1883 2648 2660 2871
"gene_145" 983 1146 696 482 676 561 751 428 678 919 887 788
"gene_146" 444 423 364 556 638 328 392 406 408 336 351 305
"gene_147" 1145 1222 1235 1667 1320 1285 1659 1026 1272 1208 1082 1446
"gene_148" 856 667 1017 956 1465 1338 989 1022 1055 1041 761 1095
"gene_149" 384 215 358 363 504 255 284 297 348 150 239 233
"gene_150" 773 790 834 594 345 408 333 321 475 368 243 431
"gene_151" 210 183 270 174 166 268 230 274 260 506 499 456
"gene_152" 6787 5559 7371 7557 6875 6684 7386 7425 7562 7711 5699 5436
"gene_153" 265 385 297 674 1046 787 555 434 625 627 389 429
"gene_154" 532 393 395 816 939 681 1071 1517 1085 595 1041 858
"gene_155" 13 10 5 9 13 1 15 5 9 14 22 14
"gene_156" 3077 2902 2704 1613 2503 2516 4440 3442 4313 2025 2626 2159
"gene_157" 886 765 662 584 858 628 519 492 356 1488 1596 1073
"gene_158" 750 967 855 705 739 860 989 781 714 675 1165 846
"gene_159" 9395 8172 8051 8039 7573 5016 7245 6206 8092 12189 10601 11846
"gene_160" 96 82 112 140 76 132 174 229 211 126 143 138
"gene_161" 360 371 173 469 491 349 273 269 294 147 194 124
"gene_162" 231 190 137 50 100 162 139 173 165 113 133 85
"gene_163" 1833 2195 1949 2307 2819 2340 1875 2126 1412 2215 2419 2665
"gene_164" 951 1073 1243 2019 1931 1499 1726 1520 1357 2183 1498 2225
"gene_165" 5721 5511 4200 6931 6230 6205 7239 6142 7135 5205 4842 8874
"gene_166" 1345 1668 1841 1884 2175 1956 785 885 988 1118 1080 1025
"gene_167" 0 9 0 0 0 0 0 0 0 15 15 11
"gene_168" 47 25 45 2 12 1 67 67 50 4 4 2
"gene_169" 605 750 598 212 604 431 605 268 853 397 461 459
"gene_170" 14 5 13 1 9 7 15 84 46 26 5 16
"gene_171" 4076 4589 5387 5594 5863 4778 2127 2946 2089 4196 4015 3954
"gene_172" 1819 2331 2048 2354 2755 3697 1847 2219 2117 1778 1400 1572
"gene_173" 18 30 29 28 18 41 58 16 34 9 16 7
"gene_174" 192 61 154 280 249 210 183 198 223 234 190 203
"gene_175" 4283 3409 4075 2547 2292 1965 2266 3880 3005 2927 3020 2812
"gene_176" 20 29 22 35 22 15 16 35 5 16 9 14
"gene_177" 4198 3288 4858 5150 4582 6070 5557 6027 6020 4880 4267 4789
"gene_178" 1436 1735 1675 1465 1519 1412 765 817 1127 1347 1107 953
"gene_179" 2759 2435 2694 4220 4772 4093 2026 2175 3078 2257 2006 2000
"gene_180" 346 358 279 211 235 315 332 339 661 425 392 348
"gene_181" 945 961 615 217 225 183 172 216 257 285 331 278
"gene_182" 508 484 453 593 698 607 473 423 578 520 497 705
"gene_183" 141 105 147 125 185 118 273 180 171 288 270 323
"gene_184" 1153 1325 940 700 522 439 752 979 922 219 350 322
"gene_185" 4 0 1 0 0 0 0 0 0 5 5 2
"gene_186" 5 15 25 12 11 3 11 3 2 0 0 0
"gene_187" 2 1 11 7 5 15 7 1 3 0 2 2
"gene_188" 6 7 5 0 0 0 2 2 3 20 7 18
"gene_189" 2660 2755 2697 2754 3238 3381 2217 1835 2273 2095 2152 2052
"gene_190" 930 965 879 783 962 957 1124 1270 1095 1288 864 1123
"gene_191" 2 5 5 5 17 4 3 3 5 13 2 9
"gene_192" 2085 1531 2445 1177 961 1295 2784 2446 2628 1347 1512 1184
"gene_193" 30 25 9 20 24 17 19 30 17 0 0 0
"gene_194" 335 419 334 307 293 453 476 234 351 359 364 420
"gene_195" 1 0 8 11 19 6 0 0 0 21 23 36
"gene_196" 168 65 185 53 79 81 88 91 74 80 155 121
"gene_197" 2909 2963 3160 3479 3934 3345 3645 3287 3606 3488 3455 3435
"gene_198" 391 331 395 403 282 280 71 94 102 167 108 70
"gene_199" 1245 1272 1285 957 1100 1063 785 793 1094 788 744 985
"gene_200" 4734 4033 4286 3293 3178 2906 5736 6497 6104 4855 3733 2905
"gene_201" 842 469 641 461 661 685 715 866 962 568 786 594
"gene_202" 18 17 28 9 11 15 27 16 25 19 19 8
"gene_203" 421 417 380 583 476 515 440 528 425 290 294 368
"gene_204" 598 418 475 1068 871 715 475 516 317 818 564 705
"gene_205" 1026 1118 825 707 778 725 853 854 726 1087 1405 1053
"gene_206" 2334 3008 2775 2367 1945 1854 1792 2550 2259 2415 1706 2035
"gene_207" 2289 2621 1777 1880 1675 1252 3308 3065 3353 1575 1910 2177
"gene_208" 7130 7462 8364 10930 12542 10575 12196 13533 10225 8713 8874 8385
"gene_209" 2 1 2 125 215 98 93 43 78 17 22 27
"gene_210" 645 671 692 1116 1319 1262 598 553 747 229 219 322
"gene_211" 19 26 19 75 85 60 13 35 45 33 36 65
"gene_212" 91 120 105 48 36 82 115 71 91 71 107 75
"gene_213" 0 4 1 11 19 25 0 0 0 13 14 7
"gene_214" 11 9 13 55 21 32 17 16 15 53 38 36
"gene_215" 76 26 53 115 110 75 65 50 39 67 49 69
"gene_216" 151 192 149 95 92 140 50 285 188 85 98 151
"gene_217" 560 570 546 498 360 395 404 463 488 695 520 910
"gene_218" 3396 3756 3395 5742 4502 3700 2843 2972 3035 4455 6493 4318
"gene_219" 5320 5758 6481 4556 5144 4539 8415 5863 5723 5971 6227 5434
"gene_220" 20 24 20 16 5 15 1 1 0 12 4 10
"gene_221" 702 519 671 312 289 125 612 501 854 865 675 609
"gene_222" 0 16 1 4 4 2 4 12 4 38 20 35
"gene_223" 6 11 10 0 0 0 0 0 0 0 0 0
"gene_224" 29 43 28 81 70 125 20 68 85 129 94 70
"gene_225" 1710 1604 1402 1653 1041 1261 1714 1487 1525 1722 1621 1714
"gene_226" 1300 1713 1880 2274 2252 1998 2221 2122 2399 2305 2853 2305
"gene_227" 9 8 8 0 0 0 5 4 17 2 8 5
"gene_228" 4069 4284 4645 13636 14784 11400 5059 5747 5244 5480 4680 5954
"gene_229" 28 68 37 3 9 1 12 7 13 15 7 25
"gene_230" 7748 9447 6343 9178 7051 5816 7885 7470 7887 8593 7486 6576
"gene_231" 2097 2866 3035 2677 2087 1397 2760 2338 2511 2444 2269 1786
"gene_232" 137 69 103 116 129 140 140 157 148 79 140 156
"gene_233" 186 233 201 84 132 205 145 108 169 47 125 42
"gene_234" 397 473 440 315 292 260 364 504 422 773 512 714
"gene_235" 1361 1347 1294 1324 1833 749 953 846 916 1593 1431 1539
"gene_236" 2916 4125 3465 2633 2895 3678 3677 3215 3165 2919 3967 3429
"gene_237" 3670 3575 4078 2999 3234 3679 3385 3025 3055 2887 3658 2809
"gene_238" 149 146 120 255 224 305 172 245 204 95 183 161
"gene_239" 1235 1420 989 1117 797 858 849 715 403 597 867 564
"gene_240" 3953 4725 7285 5676 5700 6762 5336 3884 4446 5573 4774 5805
"gene_241" 2396 2220 3017 2080 2138 1499 2495 2470 2155 2064 2624 2095
"gene_242" 62 62 25 13 12 6 21 35 45 11 23 4
"gene_243" 1287 1235 1036 1385 1166 2602 562 711 566 615 730 695
"gene_244" 156 189 164 209 93 149 390 331 292 196 205 195
"gene_245" 261 336 421 271 274 171 648 495 586 357 537 604
"gene_246" 5375 3579 3575 3624 3080 3545 2596 2483 3254 4023 2955 3099
"gene_247" 4 3 4 0 0 0 0 0 0 4 12 17
"gene_248" 5 1 6 0 6 5 4 4 9 0 0 0
"gene_249" 467 429 645 723 1524 1160 1100 936 1128 949 1221 1135
"gene_250" 3410 3195 3151 2363 2332 2454 2406 1780 3228 2147 2550 2346
"gene_251" 23 24 23 40 101 31 43 35 52 37 88 20
"gene_252" 5512 4482 7138 4977 3196 3959 6726 4870 5310 5177 4708 5130
"gene_253" 38 58 36 98 59 113 108 161 67 122 128 112
"gene_254" 5511 4508 5606 2837 3019 2724 3385 5345 3193 5754 4954 5500
"gene_255" 2778 2385 2156 2115 2608 3152 1540 1726 1654 2415 2342 2586
"gene_256" 1108 1088 1170 1065 1402 1118 1538 1763 2028 765 1145 1099
"gene_257" 1049 1057 945 1194 1234 1270 1293 1192 1565 393 555 469
"gene_258" 1657 1624 1801 1414 1686 1539 1061 1164 1039 1122 965 811
"gene_259" 1154 1137 1243 1377 1147 907 720 648 624 1725 1270 1394
"gene_260" 5535 5276 5765 4254 4468 5164 3633 4774 6431 4571 4319 3963
"gene_261" 300 245 335 461 635 665 361 590 345 502 401 672
"gene_262" 23 24 2 45 113 134 47 71 33 51 52 38
"gene_263" 1692 1725 1709 1110 1073 1079 1303 1249 1372 1301 1400 1286
"gene_264" 171 160 159 205 161 166 142 206 72 171 169 126
"gene_265" 1495 1742 1768 1207 831 1072 1285 1554 1786 886 1004 755
"gene_266" 78 53 29 14 4 15 2 7 2 5 19 13
"gene_267" 6464 4945 7103 3584 3548 3692 4238 5243 5249 5745 5593 4020
"gene_268" 674 687 525 393 429 541 686 721 710 614 518 1161
"gene_269" 2285 2991 2207 2975 3588 3583 2595 3560 3985 2632 3743 3797
"gene_270" 691 467 449 177 330 375 615 408 598 605 579 692
"gene_271" 1152 1478 1513 962 1161 1251 1022 1057 957 1666 1958 1736
"gene_272" 6 3 6 9 6 36 0 0 0 0 13 5
"gene_273" 6060 5898 7835 6657 6305 6225 6425 5607 7690 4844 6011 6552
"gene_274" 8255 11525 9626 10225 11385 9979 9006 7182 6720 7274 5964 3948
"gene_275" 0 0 0 44 45 40 5 26 12 4 19 5
"gene_276" 416 460 545 163 200 267 442 445 407 291 291 344
"gene_277" 103 245 240 408 304 404 90 72 63 187 225 138
"gene_278" 156 134 119 778 593 322 410 316 365 560 324 456
"gene_279" 1795 1376 1489 1454 1645 1384 1162 1354 1321 2044 1845 2128
"gene_280" 1775 2110 1332 2068 2257 2278 2222 1666 1542 2105 1515 2120
"gene_281" 31 35 27 181 172 181 105 118 67 33 47 58
"gene_282" 15 4 6 8 12 8 91 111 83 5 1 0
"gene_283" 127 78 66 231 134 210 145 96 97 192 203 236
"gene_284" 1516 1160 1333 815 804 1216 765 703 605 1252 1361 1176
"gene_285" 1362 1238 1342 938 1070 1267 1495 1586 1547 1062 1148 972
"gene_286" 515 365 478 523 645 367 805 595 442 192 483 346
"gene_287" 182 292 193 164 265 124 31 47 33 269 329 309
"gene_288" 29 29 22 9 5 5 56 55 62 7 6 7
"gene_289" 172 171 191 80 54 88 129 188 268 227 145 120
"gene_290" 2374 2600 2743 2599 2769 2658 2216 3101 2649 3268 3055 2818
"gene_291" 10128 8650 7932 9355 7846 10138 7264 7210 6949 5373 5303 5129
"gene_292" 909 623 655 710 673 635 435 263 488 657 835 769
"gene_293" 2933 2428 3429 3456 3322 3745 2013 2011 1962 4283 3508 4062
"gene_294" 5 5 15 17 6 30 24 19 29 75 69 49
"gene_295" 5 9 4 0 0 0 14 37 20 6 15 24
"gene_296" 2525 1483 2235 1422 1944 2239 2596 2844 2667 2148 2285 2626
"gene_297" 890 1165 835 419 417 541 415 452 515 907 807 795
"gene_298" 31 51 57 19 22 17 62 55 54 35 25 22
"gene_299" 725 1005 736 912 1275 1010 1319 1205 1085 709 1046 673
"gene_300" 386 635 577 530 568 833 619 1043 180 646 698 545
"gene_301" 402 585 551 952 841 1285 447 429 271 420 363 347
"gene_302" 1245 1283 1366 1521 1993 1597 1571 1844 1591 1489 1548 1227
"gene_303" 6072 5943 5719 6390 7277 5509 6832 7641 6665 5251 10531 6226
"gene_304" 1163 1151 1087 2595 2160 1626 915 916 904 2417 2863 3713
"gene_305" 2 1 2 0 0 0 2 13 2 9 7 5
"gene_306" 4094 4598 4787 2556 2906 2465 4937 4152 3789 4923 4345 3831
"gene_307" 442 360 481 264 255 235 136 111 169 289 287 251
"gene_308" 720 861 1140 1066 1432 1287 811 1271 721 822 700 785
"gene_309" 65 75 51 57 67 74 40 45 65 17 25 22
"gene_310" 1315 1223 845 844 939 1159 942 979 895 1102 1366 1522
"gene_311" 142 111 103 245 306 294 217 215 243 74 151 108
"gene_312" 438 396 305 309 318 326 536 443 713 579 367 379
"gene_313" 949 1276 1175 1770 1431 1553 1127 1095 1285 868 1333 791
"gene_314" 1041 1119 957 775 972 832 739 796 826 945 1035 981
"gene_315" 10316 11367 11342 7970 10690 7069 7637 9594 8836 12290 9759 9393
"gene_316" 64 91 94 208 118 98 65 46 76 11 30 45
"gene_317" 2104 2429 2017 1699 2051 2063 3200 1705 2182 1192 895 664
"gene_318" 452 469 604 587 290 606 236 222 140 276 331 269
"gene_319" 5927 6061 5181 5227 6144 5435 6176 4431 3553 3372 4840 6189
"gene_320" 295 441 431 286 392 275 345 424 441 290 428 464
"gene_321" 8275 9336 8742 9167 10921 7548 10055 9115 8517 11160 13245 11000
"gene_322" 2726 2515 2979 2197 2792 2885 2892 3076 2425 2322 2315 2672
"gene_323" 437 431 210 376 581 520 393 234 445 1208 1122 776
"gene_324" 0 6 2 0 0 0 5 2 14 0 0 0
"gene_325" 1725 1685 1473 3696 2754 2826 1672 2199 1934 502 419 363
"gene_326" 51 42 62 25 17 16 25 32 37 20 9 29
"gene_327" 898 986 541 1713 1259 1661 884 868 555 1326 1329 1729
"gene_328" 508 616 531 877 608 495 309 390 382 522 939 729
"gene_329" 344 479 177 224 172 316 133 105 176 349 286 278
"gene_330" 6863 6805 6434 3975 5064 6542 5673 5732 9427 3697 4381 5184
"gene_331" 0 5 1 2 7 5 6 7 1 0 0 0
"gene_332" 93 137 109 42 32 65 64 69 94 60 130 123
"gene_333" 1654 1817 2132 1971 2303 2696 1480 1438 1005 1653 1671 1743
"gene_334" 385 425 410 956 624 635 232 327 240 773 565 437
"gene_335" 23 37 10 40 34 36 8 7 5 7 25 21
"gene_336" 119 231 155 292 193 181 131 128 196 274 209 259
"gene_337" 2 4 0 3 2 2 4 4 2 42 39 17
"gene_338" 1955 1575 1526 1143 940 848 1246 1220 1233 2194 1798 1381
"gene_339" 1257 1025 1354 1133 1192 1105 1044 935 945 2038 2015 1671
"gene_340" 0 0 0 25 14 2 6 3 3 4 11 15
"gene_341" 10220 8416 12166 11276 13659 10525 11779 13615 14425 9940 12182 11990
"gene_342" 0 0 0 1 2 1 0 0 0 3 5 25
"gene_343" 2867 3388 2998 3711 3138 2897 2755 3415 2939 4221 3185 4266
"gene_344" 216 122 74 89 62 148 129 203 129 143 239 114
"gene_345" 3730 4138 3555 4655 4921 4608 4171 3457 3437 3202 2974 2924
"gene_346" 0 0 0 0 0 0 83 59 101 12 13 20
"gene_347" 15 43 46 10 14 4 32 12 19 43 15 13
"gene_348" 4624 3235 4568 3398 2945 3600 3445 4049 3667 3476 3732 4496
"gene_349" 1821 1691 1769 2745 2557 2437 1784 1575 2336 1675 2255 2711
"gene_350" 1695 1812 1526 1856 2041 1764 2073 2235 2078 1569 1392 1525
"gene_351" 3512 2572 3178 3945 2568 3083 2245 2774 2049 3947 3311 3447
"gene_352" 7945 4680 5497 4647 5505 4894 6777 7154 6986 5315 6584 5959
"gene_353" 542 480 556 390 276 259 509 414 382 447 315 263
"gene_354" 0 0 0 1 15 2 2 1 0 4 5 5
"gene_355" 3813 5398 5322 5500 4741 5909 4300 3852 3532 4280 5701 5225
"gene_356" 665 634 1040 1584 1151 1098 762 801 1007 793 694 805
"gene_357" 8587 9327 6594 8699 11760 13045 8652 11621 11527 8954 7888 9370
"gene_358" 982 742 1185 825 561 625 566 699 524 1039 1273 1088
"gene_359" 324 304 378 383 390 421 315 274 265 180 137 174
"gene_360" 120 87 80 253 244 212 110 153 154 33 42 46
"gene_361" 94 65 62 50 37 49 22 19 17 30 17 40
"gene_362" 41 36 12 0 0 0 0 0 0 15 19 7
"gene_363" 2 0 4 16 2 4 0 0 0 32 44 61
"gene_364" 104 126 116 20 29 25 63 35 29 48 47 69
"gene_365" 2560 2322 2071 2495 2409 2352 1827 2036 1888 1358 1371 1344
"gene_366" 388 298 358 427 475 351 163 238 524 270 214 273
"gene_367" 565 863 428 951 835 778 538 427 608 860 761 590
"gene_368" 2500 2640 2033 1755 1360 1451 2351 1731 1733 1709 1667 1353
"gene_369" 718 654 729 773 835 894 367 427 436 943 780 827
"gene_370" 63 123 121 445 169 218 222 340 212 165 175 197
"gene_371" 3668 4262 4609 5515 4901 6546 4402 5645 4784 4267 4973 3881
"gene_372" 678 621 900 664 831 432 1285 1145 1483 645 815 592
"gene_373" 697 746 539 662 796 663 673 727 680 882 834 1085
"gene_374" 821 712 839 1195 1304 1440 776 793 628 826 1250 1165
"gene_375" 1345 1186 1182 1505 1428 1359 1209 1418 1089 1276 1399 1494
"gene_376" 6551 9453 10071 7477 7870 7916 4765 7013 3905 6222 6053 6254
"gene_377" 1 1 10 0 0 0 15 5 11 0 0 0
"gene_378" 27 19 31 17 59 7 155 77 102 36 13 15
"gene_379" 1337 1220 888 1295 1762 1871 1200 1249 1281 1505 1873 1869
"gene_380" 399 340 297 303 344 485 369 465 693 95 215 303
"gene_381" 216 254 245 317 255 526 260 235 276 422 419 577
"gene_382" 1125 1257 1705 1493 1623 1478 1005 926 1214 1374 1253 1151
"gene_383" 1362 1505 1598 2129 2041 1849 1686 1614 1288 1986 2164 2064
"gene_384" 2506 2291 1894 2598 3271 2126 3675 3031 4506 4425 2671 3791
