"V1" "V2" "V3" "V4" "V5" "V11" "V12" "V13" "V14" "V15" "V21" "V22" "V23" "V24" "V25" "V31" "V32" "V33" "V34" "V35"
"30" 5076 4377 4819 4602 4562 2263 3232 2345 2829 2727 2015 1795 2025 1752 1699 1694 1769 2057 1752 1823
"31" 3981 3149 3545 3776 2911 2297 1886 2578 2575 2330 1473 1623 2053 1085 1464 2172 1869 1783 1801 1868
"32" 2000 3362 2384 2253 2987 1773 1952 1250 1338 1584 1118 1323 1003 664 1640 1296 1100 1260 1824 1884
"33" 9068 6586 8591 9232 6335 5554 5727 3310 5835 4585 3287 4592 2937 4168 2540 2865 2900 2976 2992 2857
"34" 14 19 25 3 3 3 2 2 0 2 7 12 24 7 14 0 0 0 0 0
"35" 1430 1337 1162 1412 1185 751 746 686 1080 520 326 630 402 430 847 963 1305 909 816 1096
"36" 9609 10270 8628 10123 9749 6706 6528 5971 5536 5462 3878 3729 3294 3138 3277 4766 5928 4994 5134 5709
"37" 8301 11461 13351 8290 10783 6777 6871 5694 4511 5260 4403 4864 5708 5364 5421 5854 6270 5820 4111 4196
"38" 15640 23759 21952 24184 19851 13983 15099 11192 10260 12898 10573 7704 11738 8942 12461 9007 8867 9022 8700 7840
"39" 1356 1258 898 834 834 626 711 824 603 731 343 468 331 320 287 766 836 387 442 475
"40" 9927 11702 9297 15820 10699 7031 6934 7072 6633 6840 5274 4841 5445 5318 4749 6788 7753 7371 5585 5389
"41" 711 1121 997 1418 1058 706 465 660 804 776 293 342 348 294 269 412 296 641 684 569
"42" 1492 1812 1460 1967 1540 1097 1268 955 932 1099 580 534 572 414 387 1180 1211 1522 1398 776
"43" 770 720 841 835 628 406 468 432 387 381 346 354 318 326 432 346 338 413 462 236
"44" 47 117 116 106 96 78 103 62 40 53 46 45 57 97 74 24 12 32 13 13
"45" 9501 14146 15725 14416 10109 6445 6339 5879 7913 7844 5530 6488 5978 5736 5096 5551 7509 6747 6344 6131
"46" 67 102 64 102 124 17 46 38 32 44 56 51 40 31 34 13 17 40 77 34
"47" 3700 3731 4296 4101 3991 2391 2394 2329 2454 2535 1813 1992 1597 2205 2129 1620 1624 1565 1145 2031
"48" 141 100 98 165 166 28 77 128 83 90 39 27 61 45 22 70 56 99 33 83
"49" 792 893 1092 1396 1171 539 550 868 709 690 680 545 635 447 705 333 366 398 380 393
"50" 2027 1342 2029 1352 1877 1002 926 882 882 851 668 848 928 802 671 693 1145 1029 806 757
"51" 7143 7531 5828 6264 5513 3788 4857 5607 4424 3374 981 1262 755 1069 773 1749 1488 1773 920 1259
"52" 945 793 1088 905 526 693 629 335 666 580 145 81 191 184 103 179 136 69 134 71
"53" 100 65 157 98 65 133 105 52 26 27 29 10 19 7 15 16 15 7 16 13
"54" 1587 2368 1670 2249 2337 1130 987 1690 1477 1329 383 351 304 363 383 255 386 282 532 404
"55" 11981 15672 9283 8959 8767 5313 7045 5732 5567 7191 1186 1958 1087 1791 1359 1635 1592 1436 1588 1410
"56" 14276 11848 12329 13851 12166 7964 7162 7785 7228 8226 2172 2536 1672 2274 2189 2330 1816 2438 2160 2220
"57" 279 369 227 261 328 122 234 181 316 164 82 63 57 78 82 42 52 21 39 35
"58" 3982 3979 3617 3433 4376 1967 1973 2167 2407 2038 726 857 684 992 823 678 537 489 618 688
"59" 42 30 8 21 19 2 33 12 6 2 5 6 9 0 5 5 8 11 6 7
"60" 1647 1398 1811 1915 1835 852 1103 1088 1239 986 184 208 227 235 221 271 239 339 264 301
"61" 1048 1134 1010 1701 1958 932 825 792 574 644 320 446 378 192 414 92 93 58 42 70
"62" 5344 3542 4619 5054 3887 2795 2001 2870 2714 2033 563 512 464 498 546 826 967 752 654 743
"63" 9216 9596 11747 9262 8464 5652 5359 5424 6703 5507 1152 1239 1409 1393 1206 1259 1055 1261 902 1572
"64" 19264 24145 15121 23317 18114 12552 12309 12386 11707 12416 1664 2371 2316 2286 1857 4115 3716 4071 4069 3553
"65" 19283 16719 19461 17845 17204 11516 9307 9284 9918 10409 2677 3034 2872 3079 3361 3364 2225 2732 2738 3089
"66" 52251 52715 45976 49438 55578 28976 36980 25965 36475 29389 10783 8152 8112 9197 11193 7983 8580 9450 9417 12098
"67" 3567 2890 3801 3816 4846 1916 2139 2696 2935 1950 588 585 537 593 1308 829 715 716 633 892
"68" 29581 41387 31979 31762 38853 19667 18956 19533 18335 21743 4101 4364 4133 4246 4238 7231 5365 5173 5925 5939
"69" 9006 11208 10380 11538 9341 5298 5500 5427 4868 6247 1379 1318 1862 1316 920 1774 1366 1315 1707 1219
"70" 14765 15840 14097 17374 16444 10108 9034 10662 10918 10166 2203 2631 3539 2894 2391 3272 2943 3442 3334 3649
"71" 1276 1223 1191 1378 1703 1066 792 969 931 1041 113 114 299 341 191 359 313 352 298 330
"72" 1008 997 1073 1512 960 553 896 519 594 875 222 211 136 230 258 272 187 247 103 157
"73" 2565 2199 2563 1993 2828 1758 1698 1490 1272 1400 460 449 335 460 514 489 356 651 388 507
"74" 236 213 273 324 352 126 193 82 199 193 17 25 31 11 29 32 90 51 38 79
"75" 12102 11199 12420 12170 9367 5756 8705 6192 5933 5023 1586 1509 1390 1509 1410 1471 2463 2963 1944 2672
"76" 12276 12342 14488 9514 16526 8217 7178 7506 6379 6761 2001 1804 1849 1605 2043 1507 1847 2107 2278 2382
"77" 880 726 658 905 783 431 286 342 433 580 38 48 45 61 47 140 136 117 205 159
"78" 2074 2402 2176 2536 2886 1452 2652 1225 1836 2220 651 390 483 576 468 415 474 322 491 422
"79" 220 193 249 292 209 144 57 97 148 173 121 85 65 85 88 32 13 10 24 20
"80" 704 775 697 628 545 352 346 203 316 474 129 155 142 119 98 124 83 47 62 103
"81" 231 456 302 330 340 183 263 173 245 222 66 49 130 77 138 9 10 4 6 8
"82" 6199 4823 7127 6887 6167 3616 3119 2871 3648 3104 710 1274 781 412 577 1019 990 914 1008 1102
"83" 7094 6423 7947 5726 6989 4373 2719 4085 2787 5250 910 1016 720 718 915 1482 1089 1134 1050 1593
"84" 2200 3093 2251 2129 2562 1288 1552 1320 1341 1329 343 418 393 390 478 365 510 516 455 484
"85" 8252 10858 6975 6485 7068 4812 4640 4734 3869 3979 1652 1255 1115 1186 1081 1651 1659 1761 2385 1861
"86" 865 489 937 1103 968 497 476 527 470 348 65 51 58 79 54 216 214 141 122 161
"87" 9584 8687 9549 9533 9975 5794 7625 5327 4958 5245 2135 1730 1747 1804 1274 1080 1164 1469 1736 1753
"88" 22721 32246 32927 32427 26976 14355 18459 18511 17047 14401 4099 4315 5304 4732 4571 4965 4268 5673 4908 3466
"89" 2058 1474 1865 1727 1522 1011 1093 1050 1211 876 78 259 280 88 230 79 78 170 197 240
"90" 27305 27510 25329 28610 23414 16629 14283 13001 14115 12231 4107 4531 3649 4832 3702 4053 4113 3363 3965 3927
"91" 6327 8235 8014 6051 5822 3388 3544 4069 4611 3913 1481 1680 1335 1198 1438 1145 1275 1334 1492 761
"92" 2181 2514 2037 2459 2014 1566 1390 1465 1134 1596 151 345 291 391 435 773 521 698 383 586
"93" 23630 25928 21233 29013 23919 13381 12891 13383 11535 13474 4189 3009 3146 3459 4162 3680 3789 3602 3439 2554
"94" 6596 6672 5278 6712 8109 3614 3744 4655 4873 3597 1153 1079 1014 1115 1064 691 720 926 837 1077
"95" 346 451 341 321 394 193 231 247 146 154 43 16 35 22 25 80 117 61 122 98
"96" 18122 15012 15217 16320 16169 7681 8436 9021 8777 8484 2019 1986 1614 1488 1709 2034 2101 1879 1763 2089
"97" 13816 10479 14376 14868 16057 7166 6534 8462 5861 6037 2366 2366 2465 2505 2945 2546 2537 2734 2518 2686
"98" 3423 3874 3054 3528 3773 2333 1935 1832 2218 1946 631 282 428 552 517 785 957 491 884 647
"99" 1644 2043 2222 1627 1793 1223 1350 888 938 834 324 285 383 249 259 407 305 245 252 370
"100" 25713 32967 43093 31370 37761 15856 16565 15899 18380 17575 4629 6331 4401 5801 5049 5301 5116 5425 4674 5566
"101" 1532 1279 1404 1472 1164 3084 2517 2168 2564 1551 1373 1469 1511 1540 1739 1275 818 1039 909 868
"102" 10841 15289 11015 7449 15951 31526 33474 35465 24868 31056 20190 17940 16996 14921 17295 15319 14109 14875 14169 14469
"103" 1350 1282 1393 1284 1533 2605 3399 3471 2613 2619 1530 1716 1590 1457 1560 1099 1342 1564 2049 1886
"104" 8289 7805 7575 5132 7202 12994 9479 10998 12624 12474 8681 7228 8675 7579 7399 6596 5960 5224 7112 6199
"105" 516 325 312 325 312 801 464 505 506 973 333 381 459 296 699 502 423 592 325 426
"106" 2605 3273 2589 3276 3142 4085 4273 5497 5895 4581 2289 3311 2190 2320 2761 2509 2606 2316 2319 2191
"107" 7663 5615 8680 6684 8617 11276 13918 13487 12960 14171 10824 6828 7576 9293 9512 7095 5665 4414 6128 5210
"108" 125 218 227 211 158 511 483 713 478 502 401 192 374 366 446 155 235 167 175 239
"109" 83 23 49 20 85 317 152 218 363 202 136 112 128 150 158 83 113 92 108 106
"110" 293 313 274 274 302 1079 769 1233 1077 980 792 680 541 519 359 359 296 611 348 369
"111" 8 1 3 9 2 20 25 34 22 19 21 5 10 8 6 3 9 16 4 5
"112" 545 536 480 552 702 1102 850 1152 797 1177 660 482 763 352 528 309 611 511 515 656
"113" 446 601 635 511 829 1807 1410 1308 1467 1224 734 451 681 575 551 905 696 1011 855 843
"114" 1919 1826 2024 1899 1486 4391 2912 4132 3886 3821 2639 2115 2162 1692 1991 1226 1594 1105 1007 1369
"115" 0 0 0 0 0 2 1 0 0 0 1 3 0 0 0 0 0 0 0 0
"116" 572 542 282 594 573 1136 1218 1057 902 781 668 599 588 761 656 764 770 603 592 619
"117" 4392 6268 5185 5703 5692 10912 10470 10102 10499 9579 5613 6462 4915 6867 5918 3820 4413 2925 2931 3450
"118" 7960 9311 10376 10034 8478 19278 20561 18060 24436 20493 13411 14112 12586 10174 12738 9572 9670 10483 10389 12362
"119" 2196 2028 2631 2647 2725 4429 4771 4300 3917 4967 2516 3273 2828 2151 2427 1868 2197 2050 2014 1673
"120" 3778 3176 2483 2683 2729 6253 7293 7224 6546 6575 4605 4833 3031 5268 3029 5270 4615 5012 4244 5584
"121" 7318 7698 7112 7752 6193 14073 12885 14299 12338 13151 8167 8473 7563 5513 6676 6319 6335 6681 6970 6958
"122" 1926 2406 2835 2383 2464 4733 5287 4541 5246 4870 2879 3069 3190 2366 3275 1446 2658 2194 2995 2659
"123" 744 475 648 784 636 1341 1165 1026 884 1244 569 685 856 854 634 618 368 632 527 636
"124" 0 0 0 0 0 23 27 51 29 19 3 4 8 26 6 27 18 40 44 44
"125" 69 171 128 101 159 457 389 211 384 308 193 287 192 163 196 200 133 171 90 119
"126" 274 226 306 365 280 1049 725 872 1221 979 535 374 534 466 539 385 496 334 429 403
"127" 29 25 4 7 6 12 36 46 65 48 20 22 50 22 22 53 72 50 33 20
"128" 5346 6414 7595 6705 5301 12361 12350 12960 13433 13592 7562 8351 8595 7600 7763 8732 6856 6501 7382 9191
"129" 6053 5257 5312 5093 5012 14083 15807 17641 10941 13775 7088 7624 6677 7635 8325 6882 8230 6442 7176 7497
"130" 862 1229 934 841 932 2375 2805 2477 2494 2590 1135 1679 1496 1714 1344 1084 1172 958 1190 927
"131" 217 170 263 148 122 762 621 1012 646 867 378 558 404 368 368 348 290 412 393 411
"132" 0 0 0 0 0 79 53 45 66 50 18 43 55 60 45 0 2 22 0 6
"133" 6880 6399 7054 7892 8509 13779 13814 9115 11107 9147 8120 6899 6902 7514 7423 3542 5113 4314 3191 3468
"134" 89 74 52 63 55 257 251 174 130 174 112 160 106 105 59 51 18 26 40 50
"135" 1493 1238 1186 1108 1272 2333 1886 2399 1735 1950 1587 1147 1267 1838 1677 884 465 815 732 716
"136" 35 9 21 8 20 68 106 75 80 100 24 45 27 33 73 32 65 30 65 38
"137" 210 103 45 195 79 187 235 275 211 290 191 159 225 151 219 15 9 21 18 11
"138" 1185 1414 844 1494 904 2938 2504 4224 3639 2801 1799 1717 1886 1726 2329 2240 1944 2106 1938 2126
"139" 15 27 48 13 17 70 56 146 99 84 32 77 100 61 74 16 42 44 21 34
"140" 1605 1271 1226 1402 1297 3240 3789 3979 3836 2851 1803 1652 2534 2020 1654 1382 1726 1800 1566 1900
"141" 13005 13748 12482 11995 14160 31000 35465 37488 29633 24816 20679 22716 21166 20731 20194 15169 15771 18155 15529 17243
"142" 815 475 624 342 292 1047 1572 1230 1671 1207 749 741 746 636 758 484 419 362 437 547
"143" 2682 2321 2425 1832 2941 4922 5481 5310 4842 3453 2934 2593 2932 2127 2611 2874 3251 2563 2749 3149
"144" 2690 3127 2460 2334 3016 6816 5643 6732 7686 6496 3078 3484 3019 3926 3582 3119 2945 2726 3169 2914
"145" 1372 670 1381 907 856 1203 1513 1249 1702 1905 670 1128 1234 558 846 1030 1015 1299 791 818
"146" 570 369 370 480 348 1079 688 939 1046 598 268 549 355 608 468 531 270 440 452 513
"147" 1242 1139 1502 1317 1459 2920 2842 2598 2483 3352 1952 1398 1637 1736 1495 1452 1501 1767 1285 1516
"148" 747 869 1014 750 739 2373 1833 1884 2006 1528 1045 1345 1500 1526 1133 756 612 1341 1134 1111
"149" 330 327 332 266 390 474 662 908 874 607 374 476 327 420 538 279 344 140 134 219
"150" 875 831 679 858 930 1064 1699 842 1644 962 622 782 786 601 638 368 463 330 424 406
"151" 247 335 275 215 219 1303 1481 1411 1751 1270 1223 952 1048 1135 1286 402 277 398 420 412
"152" 8491 9233 7585 8733 7772 53488 56388 52150 54633 46023 33364 31071 33137 24027 33781 9731 5871 7920 6871 7222
"153" 325 418 327 301 280 4599 3416 3553 3496 3280 3342 1973 2149 1979 2004 616 490 553 432 610
"154" 557 476 311 488 387 5507 4484 4549 5212 4069 3187 2918 2856 3813 2745 1053 1067 951 964 1373
"155" 2 7 4 3 2 44 128 61 66 119 38 42 38 27 42 33 29 12 29 37
"156" 3250 2819 2915 3676 3231 16646 19213 21048 17862 22776 17238 12060 11777 11040 15770 2591 2760 2577 2884 2798
"157" 676 729 900 863 804 4718 3938 4781 4548 5388 3567 2606 2959 2314 2596 1096 1129 1154 615 1549
"158" 1080 967 941 1124 1047 4898 5773 7054 5162 4974 3293 3253 3342 2936 3713 868 970 704 933 1094
"159" 10021 9073 9407 9966 8605 62564 60241 55415 51853 54562 22812 32672 37894 33187 30384 11408 14140 14525 12098 13014
"160" 152 55 145 122 138 895 1592 606 1182 700 680 888 607 662 642 103 165 248 203 125
"161" 286 334 238 229 412 1560 1676 1421 1706 1942 1052 865 1043 1381 918 175 223 130 121 139
"162" 76 200 175 250 157 920 799 785 1049 946 463 390 460 408 431 153 128 187 214 145
"163" 1447 2562 1615 2507 2050 14554 12250 15942 15050 12720 7646 8700 6063 8460 5880 2865 3046 2525 2510 2900
"164" 1182 1260 927 1016 825 10434 10416 9752 10739 10710 6309 5149 5811 7414 5653 2080 2650 2044 1348 1637
"165" 5834 5534 8234 6309 5633 50265 35882 36518 33419 44673 18941 24033 24726 15998 18647 4996 7669 8047 8823 4264
"166" 1831 1528 1961 1852 1864 10819 10851 10712 11786 10151 6174 5776 5417 4840 5033 1231 1285 1276 1280 1184
"167" 0 19 6 9 3 31 29 18 23 54 14 20 10 25 34 19 16 4 20 24
"168" 30 20 91 42 34 150 140 246 155 182 175 88 83 131 98 4 4 14 8 6
"169" 595 771 746 599 715 2228 2740 2977 3945 2449 1899 1580 2117 1722 2093 594 602 448 638 623
"170" 4 4 5 12 8 189 199 79 195 69 142 101 75 47 98 18 5 7 9 30
"171" 5102 4663 5927 5082 4589 24948 32171 25895 27056 22880 20275 17670 15147 14249 16438 4618 3869 4227 5723 3630
"172" 2438 2222 2213 2104 2599 11640 14538 10675 16282 12481 10216 8884 7614 7424 6832 1636 1398 1464 1618 1377
"173" 12 11 14 10 14 197 224 117 264 245 112 105 115 122 102 5 18 8 10 18
"174" 177 227 154 81 206 1275 1536 1367 1669 1559 738 787 678 652 866 200 228 240 279 174
"175" 3912 4769 4181 3925 4289 18398 17084 19118 18845 19539 10063 12242 10805 9484 10798 3726 3215 2885 2876 2757
"176" 51 28 13 22 27 114 118 115 140 136 110 91 76 80 90 8 23 45 4 15
"177" 4643 3020 4884 4734 4252 28086 27352 30484 31410 26525 22787 20583 20934 20159 17815 5168 3856 4486 3486 4156
"178" 1201 1488 1767 2210 1398 10084 8470 8906 9302 7588 4467 6061 6088 6556 5225 1320 1516 1805 1076 1183
"179" 2743 3528 2710 2553 2642 18263 18206 19652 15262 18487 14151 11249 13029 13551 12998 2500 2373 1668 2380 2208
"180" 369 377 341 354 369 2195 2654 2156 2069 1959 1277 1345 1199 1233 1929 484 457 367 374 416
"181" 919 598 850 686 568 2335 3123 2109 1846 2310 1214 1553 1421 1444 1234 365 475 270 340 298
"182" 812 642 629 767 711 3770 3866 3701 3817 3945 2160 2037 2028 2595 2279 592 691 698 708 636
"183" 185 112 117 93 139 1185 1202 1191 1683 1094 679 656 480 837 830 332 305 247 319 394
"184" 923 1234 1250 1583 1570 5614 4906 5722 4943 4669 3001 3605 3229 2528 2772 397 290 439 465 404
"185" 14 0 6 3 12 23 76 9 10 26 15 8 23 10 35 8 4 10 26 8
"186" 16 20 10 16 9 39 37 17 66 37 28 28 32 25 25 0 0 0 0 0
"187" 1 2 0 7 3 31 53 16 14 33 12 14 16 19 14 3 0 2 5 7
"188" 30 8 18 10 13 74 52 51 94 64 22 16 26 24 58 13 17 16 9 7
"189" 3108 2580 3815 3165 2971 14874 15010 17060 17823 15470 10898 9343 8364 8932 10028 2636 1853 2117 2650 2625
"190" 931 1046 921 930 1041 5421 6610 6346 5341 5089 4128 3724 3864 3619 2854 1202 756 798 821 992
"191" 12 6 2 8 4 38 62 38 32 61 17 27 31 15 20 7 10 3 6 0
"192" 1942 1955 2264 1945 2020 12893 12286 10689 12550 11432 8022 6500 6745 4742 7118 1571 1747 1387 1971 1609
"193" 23 36 18 26 8 77 85 114 76 85 36 62 31 31 21 0 0 0 0 0
"194" 384 482 318 440 437 2587 2407 1929 2119 2464 1414 1438 1281 1407 1233 309 308 543 394 196
"195" 6 2 10 0 1 56 33 46 55 42 51 58 24 60 45 23 27 3 10 18
"196" 161 133 54 100 156 539 1154 455 524 659 337 351 272 297 186 182 123 115 150 155
"197" 3322 3676 3490 3108 3547 24109 16514 24883 26985 22088 13885 13109 12528 16317 12768 3749 4591 3881 3801 3712
"198" 297 454 324 414 371 1486 1590 1021 1425 1214 879 943 739 901 859 156 161 211 228 158
"199" 1256 1531 1336 1547 1515 4791 4666 5623 6619 5346 3646 4024 3851 3875 4371 973 1341 832 1059 753
"200" 4357 3789 4937 4893 4328 28020 26130 32229 37422 30346 16074 16762 17617 17816 18488 4917 4743 4233 5754 5077
"201" 582 793 649 830 794 1112 526 995 756 719 1800 1606 2038 1198 1728 1024 1019 992 1347 1004
"202" 21 12 25 24 14 12 6 29 10 12 20 38 25 28 54 27 7 22 34 12
"203" 399 462 375 570 435 407 509 450 769 465 607 585 651 934 939 598 710 576 645 528
"204" 516 552 480 671 592 879 784 842 736 1151 1233 1233 1166 1246 1248 682 892 728 635 629
"205" 918 807 1012 628 551 643 1131 942 706 676 1626 1626 1944 2156 2390 1803 1074 713 1137 1244
"206" 3699 3054 2811 3021 2765 2164 2185 2409 2530 2388 5853 5410 5140 5277 4596 3006 2597 2566 3381 2926
"207" 2506 2714 2358 3160 2341 2293 1980 1478 2245 2138 5422 4808 4511 4982 4468 3039 3763 2811 2810 3358
"208" 7537 9497 7962 8916 8957 9075 14025 13725 13360 14337 20072 19093 20277 21694 17410 13407 10389 12246 11073 11698
"209" 3 2 3 0 7 108 96 56 90 94 167 140 115 136 111 58 69 48 77 113
"210" 665 651 511 580 596 1315 919 854 932 1091 1618 1717 1590 1536 1465 1221 791 919 910 935
"211" 59 16 43 30 14 45 63 57 44 39 171 71 72 76 54 55 39 36 36 40
"212" 101 91 34 103 41 42 76 40 49 73 122 184 192 202 174 156 131 107 129 120
"213" 2 1 0 7 0 7 2 20 16 10 12 4 15 23 4 14 0 6 16 2
"214" 0 6 12 8 6 30 50 39 24 23 57 47 68 46 35 44 48 42 20 22
"215" 26 62 25 28 31 119 113 83 122 89 122 162 94 114 101 70 158 104 144 181
"216" 169 125 143 193 181 145 83 147 198 119 414 398 342 347 346 237 242 239 174 228
"217" 673 673 622 682 854 330 391 460 376 422 954 733 1210 758 1111 608 894 604 738 578
"218" 4207 4136 3561 3810 4011 4748 4578 5173 4871 4514 8292 6693 7322 8146 7455 4539 3871 6364 4425 5043
"219" 5544 6095 6697 6940 4537 4409 4581 4825 4785 4518 11524 11480 13506 9749 12398 8649 6279 5302 7696 6725
"220" 40 30 20 28 22 10 12 6 5 13 12 11 42 10 8 23 20 16 11 0
"221" 390 626 590 839 890 243 159 203 200 301 1029 1470 1256 1147 1113 674 762 657 724 688
"222" 2 12 2 6 2 9 10 4 22 10 38 22 36 29 49 7 49 12 4 24
"223" 6 5 13 4 14 0 0 0 0 0 0 7 2 2 4 7 0 2 2 5
"224" 81 62 115 109 15 121 50 121 94 105 183 176 100 205 160 166 131 102 117 135
"225" 1880 1765 1619 1961 1702 1055 1747 1498 1277 1239 3682 3596 3324 3136 3269 2023 1683 1717 2100 1989
"226" 1921 2006 2405 1697 2113 2134 2877 2546 2757 2173 4461 6367 5398 4164 5760 1863 3286 2761 1807 3031
"227" 10 19 18 12 16 0 0 0 0 0 3 12 5 21 26 0 3 2 4 5
"228" 5349 5292 5933 5516 5302 12628 19268 13380 15049 12934 15705 14687 16530 17252 15259 9937 10995 9607 10080 8456
"229" 53 37 111 141 46 10 11 1 3 2 36 39 53 27 47 43 28 23 33 40
"230" 8927 9277 7275 7487 8872 10506 7588 9516 7857 10368 16991 20489 14383 17893 16546 10507 9697 9804 9287 9103
"231" 2306 2920 2741 2271 2890 1823 2374 2461 2308 2309 4864 6073 5785 4224 4692 3168 2914 3216 2895 3119
"232" 102 112 106 113 90 254 122 165 205 174 340 319 268 189 286 188 81 164 261 192
"233" 162 292 180 322 160 244 180 97 365 136 349 261 322 275 257 235 125 161 148 153
"234" 444 474 462 567 751 360 345 332 334 338 1075 1076 1496 889 681 530 515 588 441 402
"235" 1645 1661 1536 1357 1413 1708 1027 1500 1369 1224 2892 2712 2861 2605 2918 1413 1933 1863 1372 1799
"236" 4406 4436 3785 4976 4399 2810 4451 3556 2666 3649 6977 7600 7314 6924 6412 5038 5232 4422 5337 4517
"237" 3259 2942 3565 3551 4062 3317 3069 2702 2780 3239 7829 6977 8134 6705 8476 5018 3785 3446 4819 4219
"238" 158 87 178 186 145 308 187 200 271 234 213 435 347 253 263 224 230 132 188 240
"239" 1119 829 1351 1443 1288 1366 997 879 1281 1385 1683 2015 1564 1871 1785 1263 981 1236 1333 1104
"240" 6307 6727 7097 5919 7235 10504 5164 7189 4649 9821 12331 12259 14361 13696 12956 9345 8034 9688 6192 7095
"241" 2422 2249 3168 1937 3536 2193 1874 2023 2455 2527 4391 4743 5464 4688 4621 3155 2939 3048 3319 2885
"242" 40 34 48 37 60 4 4 11 3 5 28 64 56 43 18 84 24 68 8 52
"243" 1274 1367 1378 1119 1852 1688 2070 1842 1714 1315 1844 2172 2377 2366 3005 1397 1275 1098 1557 1481
"244" 113 288 283 229 240 224 225 138 127 191 383 402 607 559 587 133 308 314 425 409
"245" 424 370 464 473 434 289 356 283 285 132 764 770 767 477 807 598 579 535 510 475
"246" 4361 4768 4408 5034 4032 2968 3854 4140 3939 3601 8202 7757 8648 6638 5380 4498 4656 4393 5251 4313
"247" 4 12 4 31 16 0 0 0 0 0 16 9 8 14 4 11 4 5 2 6
"248" 1 0 1 4 0 0 4 0 4 4 11 6 2 9 2 10 2 2 2 4
"249" 483 556 722 762 474 1336 1182 1586 1601 1310 1625 1924 1827 1922 2194 1410 1140 1473 1321 1055
"250" 3639 3315 3974 3485 3559 2995 2408 2354 2852 2921 6276 5020 6479 5230 4397 4055 4068 3303 4206 3232
"251" 38 35 22 23 20 71 33 96 148 42 285 238 207 215 341 249 183 185 259 183
"252" 5667 7229 5727 6126 5463 6008 4126 4587 6898 4900 30533 34482 30015 37459 28100 22667 17823 16062 22652 21055
"253" 32 55 40 39 45 39 95 83 94 108 690 442 597 604 545 423 351 286 246 317
"254" 5015 6537 5008 4795 6884 3661 2811 3558 4067 4068 27684 34225 21645 25604 32748 15587 16468 18462 17817 15345
