"TP1_1" "TP1_2" "TP1_3" "TP2_1" "TP2_2" "TP2_3" "TP3_1" "TP3_2" "TP3_3" "TP4_1" "TP4_2" "TP4_3" "TP5_1" "TP5_2" "TP5_3" "TP6_1" "TP6_2" "TP6_3" "TP7_1" "TP7_2" "TP7_3" "TP8_1" "TP8_2" "TP8_3"
"gene_80" 8698 10657 9956 9521 13532 8710 5677 8403 5746 7863 7115 7207 2272 3596 2917 1842 1835 1655 1994 1636 1772 1868 1283 2367
"gene_81" 1945 1653 1660 1518 1522 1383 605 468 1567 761 840 1503 263 332 394 287 345 386 290 179 224 219 333 305
"gene_82" 57 51 62 100 45 48 16 31 16 16 33 52 25 22 34 8 13 23 0 0 0 0 0 0
"gene_83" 1583 1199 1520 1505 1448 1271 908 963 905 600 719 768 132 230 194 475 259 353 402 376 425 324 381 394
"gene_84" 8877 8553 8227 8168 7746 7014 5422 5193 4864 6475 5263 6198 1508 1689 1753 1739 1664 1626 1110 1027 970 2033 1473 934
"gene_85" 2276 2877 2530 2611 2535 2173 1614 1436 1415 1360 2203 1864 513 465 427 412 385 422 389 341 468 401 307 429
"gene_86" 1064 1107 1045 1083 1278 1278 628 533 543 563 553 597 136 343 177 248 196 277 239 154 175 160 224 233
"gene_87" 27 26 36 44 32 29 22 45 23 20 32 30 0 0 0 0 0 0 0 0 0 0 0 0
"gene_88" 16837 16174 20986 19246 19177 22488 10347 11388 9630 10841 9558 9110 2704 2204 2142 3215 2556 2046 3666 4235 3135 3392 2940 4229
"gene_89" 266 400 426 365 367 211 140 259 178 243 190 177 65 38 48 70 50 16 114 49 118 157 86 87
"gene_90" 26908 26883 16983 17966 26831 29018 14086 16618 19238 16466 15788 14981 4605 4311 4684 4733 4379 4780 3052 3777 3540 4377 6180 6238
"gene_91" 30747 27617 32893 33028 34115 28378 19707 19190 20104 19409 19426 21527 4650 5297 4739 3705 5494 4390 6872 4954 7057 4767 6878 5808
"gene_92" 22875 22942 18256 21089 19316 14812 11565 13286 12477 12430 12966 12504 4655 4244 4994 4874 4821 4126 3239 3569 3024 3259 3315 3141
"gene_93" 21571 19397 22538 27206 26710 20888 9819 13441 12889 16081 16951 18475 3518 3111 4229 3792 2888 4196 3375 3638 3804 3796 3195 3019
"gene_94" 12 4 15 6 2 10 14 4 9 18 6 2 0 0 0 0 0 0 1 10 7 1 1 7
"gene_95" 51 33 55 36 53 59 42 48 14 11 47 23 0 0 0 0 0 0 44 10 6 20 4 8
"gene_96" 585 602 547 580 620 650 458 354 449 393 345 306 136 87 71 96 157 156 30 31 81 15 35 77
"gene_97" 1116 1881 1878 1347 1192 1656 815 914 658 943 838 801 211 251 234 248 275 375 319 255 329 312 316 275
"gene_98" 4340 4076 3350 5530 4494 3011 2480 1835 1870 1880 1866 1867 427 532 509 525 394 549 691 718 562 587 657 1102
"gene_99" 3836 4323 3875 4387 5474 4093 2040 2432 3033 3132 1903 2114 654 471 462 778 755 935 636 566 575 593 563 550
"gene_100" 3767 2929 3223 3811 3535 2347 1860 2029 2173 1933 2498 1677 628 387 494 627 663 689 252 348 302 311 235 257
"gene_101" 2301 2543 2181 2386 2182 2187 4773 4120 4654 4106 4622 5919 3309 2643 2407 2480 3250 3034 2123 2365 2193 2469 1767 2200
"gene_102" 1998 2415 2143 2232 3115 2794 6382 6216 6555 5804 6845 5256 3665 3761 3440 3976 3623 4067 3443 3203 3901 3140 4176 3190
"gene_103" 4914 4613 4549 3885 4345 4038 5209 6276 5787 5532 6333 6287 3180 3656 3637 3564 3084 3479 2417 2916 2093 2056 2247 3641
"gene_104" 7150 4357 4002 7582 6792 6161 12220 9635 11507 10211 10572 10199 5885 5938 6926 6298 5634 5854 5939 2811 3896 4196 4151 5984
"gene_105" 4256 5409 5519 4540 4839 5325 12407 13856 14323 12326 13425 13104 8876 7270 8953 8359 7396 6108 7445 5688 7480 6867 7679 8252
"gene_106" 1191 1485 1513 1553 1179 1335 3183 2430 2397 2262 2012 2326 1479 1503 1658 1257 1272 1421 1151 862 1013 1035 805 893
"gene_107" 6057 8476 7172 5822 5546 7297 16976 13452 16978 15631 15930 14505 8321 9235 11618 9052 9020 8549 12451 8917 11670 8217 9460 9976
"gene_108" 10 11 11 35 4 2 24 27 12 12 9 20 7 18 19 3 23 5 0 0 0 0 0 0
"gene_109" 10367 7520 8874 7204 10528 10472 19422 25714 22542 15511 17653 19268 12384 12842 14242 14768 12934 12645 15386 11223 10214 14431 10900 15858
"gene_110" 3432 2784 3268 3401 3680 2744 7160 5835 6454 5245 5787 4839 3851 3417 3079 4440 3389 3940 2823 3247 3966 3505 4112 3959
"gene_111" 13 20 20 6 30 33 37 70 23 12 5 66 35 22 12 24 22 14 37 22 10 18 5 13
"gene_112" 11 2 17 14 4 14 6 6 3 4 6 9 5 4 2 1 8 10 0 0 0 0 0 0
"gene_113" 6751 4839 6428 7922 7533 8336 15960 15262 13284 14522 12613 16290 7723 8592 9163 8978 6858 9539 5919 6469 6448 6157 6809 5765
"gene_114" 1585 1416 1435 1393 1604 1498 4229 4381 4104 4022 3853 4357 2099 2438 2339 2589 2553 2859 2564 2033 2279 1656 2244 1414
"gene_115" 3862 4231 4390 3443 4327 3348 4430 7227 6407 7009 5997 6688 4763 3860 4244 4811 4755 2942 3367 3336 3286 3048 2823 2331
"gene_116" 234 194 221 252 208 229 379 384 370 328 301 343 196 276 228 178 168 191 100 74 217 145 81 107
"gene_117" 150 144 256 132 123 233 295 217 175 253 217 160 99 95 158 141 144 158 74 95 86 131 15 57
"gene_118" 1349 1476 1265 1312 1195 1193 2845 2724 2418 3184 2746 3007 1450 1905 1833 1960 1709 1837 2282 2329 2679 2225 2529 1928
"gene_119" 39 11 22 33 29 11 13 56 22 56 34 90 20 34 18 32 24 27 7 8 6 1 2 8
"gene_120" 3133 2674 3328 3576 3298 2961 7659 7911 4979 5175 8649 5128 3874 3800 4714 4279 4362 4086 2716 3212 3278 3316 3340 3526
"gene_121" 1878 1781 1791 1850 1892 1662 3084 3763 3034 3169 2709 2595 2064 1630 1858 1412 1745 1809 1428 1144 1289 1145 1176 1811
"gene_122" 14 18 8 1 15 17 17 17 27 29 14 22 2 6 15 16 35 17 17 24 34 39 26 23
"gene_123" 3145 2890 2821 2795 3198 3003 5990 5221 5297 5312 7386 6377 3248 3822 2364 3061 3742 2381 2895 3433 2912 2480 3283 3345
"gene_124" 587 571 748 610 758 674 1941 1865 2166 1510 1701 1541 1040 1135 937 1174 1194 971 876 470 593 577 654 691
"gene_125" 5619 5845 5638 4801 6188 5932 11875 10211 10074 8478 12764 9429 5446 7237 5917 7888 5594 8885 5065 5997 5458 4530 4619 4985
"gene_126" 7 7 20 15 13 6 62 60 39 76 69 50 35 17 29 22 15 13 14 28 35 26 9 23
"gene_127" 22 6 23 12 8 9 90 49 77 47 34 40 43 28 51 32 25 54 29 21 10 45 53 12
"gene_128" 1095 1117 1625 943 1099 1387 2508 2788 2453 2602 2405 2595 1541 1482 1460 1412 1583 1557 1057 1421 1100 1234 1403 1037
"gene_129" 482 403 375 190 192 302 1006 397 573 403 697 628 496 390 533 307 505 421 219 255 428 311 198 250
"gene_130" 780 943 797 908 1263 868 1720 2382 2236 2204 2300 2162 1414 1510 717 1213 1356 650 348 317 828 535 585 481
"gene_131" 235 246 244 232 237 214 336 291 436 327 362 287 188 170 290 173 266 163 243 267 238 266 178 210
"gene_132" 2483 2611 2495 2393 2776 2593 4731 3614 4114 3316 4344 3889 3070 2708 3367 3533 2724 3632 2390 2559 2377 2378 2359 2286
"gene_133" 1975 2032 2196 2004 2177 2432 3653 3219 3845 3488 3556 4039 2045 2069 1996 1834 2771 2631 1756 1993 1341 1532 1540 1740
"gene_134" 11 29 23 16 30 46 19 21 24 15 10 8 6 11 5 4 14 6 1 1 9 2 2 6
"gene_135" 804 769 1183 939 848 804 989 1081 1170 1380 923 920 899 703 845 433 658 478 239 260 338 342 393 373
"gene_136" 61 114 98 102 78 93 144 118 160 159 129 184 204 119 69 119 87 132 142 136 149 146 98 123
"gene_137" 0 0 0 0 0 0 44 34 21 12 29 14 26 27 16 32 16 22 17 37 20 12 6 24
"gene_138" 39 37 48 35 28 27 34 56 55 40 30 69 15 32 18 54 55 24 1 20 10 12 12 7
"gene_139" 225 312 314 172 262 226 581 725 540 608 712 548 461 291 379 408 358 363 390 503 631 501 624 453
"gene_140" 1799 1404 1180 1680 1296 1714 3216 3213 2929 3133 2981 2557 2186 1885 1949 1926 1937 1524 1261 539 936 1605 883 995
"gene_141" 16635 20487 16874 17286 15014 18209 21996 40657 29210 27873 40958 34616 20461 18570 19262 20139 20790 19023 16116 20232 16992 14076 15571 18737
"gene_142" 1539 1160 1115 1108 1078 1304 3120 2405 2717 3695 2765 2200 1765 1976 1990 1633 1661 1612 903 840 906 1050 1152 1210
"gene_143" 781 776 821 811 828 882 1888 2691 2359 2254 1389 2517 992 1038 1116 1725 842 804 1035 1096 1066 916 844 897
"gene_144" 828 1118 1334 940 1194 1163 2261 2322 2381 1774 1947 2514 1550 1545 1649 1226 1399 1314 1638 1832 2436 2007 2040 1698
"gene_145" 221 184 169 201 233 130 448 224 341 372 218 319 159 212 151 220 192 447 21 67 43 45 51 32
"gene_146" 1199 1297 1232 1575 1303 1302 3721 4502 3391 3377 4492 3521 3489 2147 1858 2319 2201 1943 3032 1865 1569 2191 2144 2312
"gene_147" 40 21 25 37 30 19 48 65 60 88 49 105 59 18 43 25 32 50 53 25 28 25 24 42
"gene_148" 6 5 12 4 0 4 22 12 12 11 19 8 7 18 3 11 8 36 3 3 0 20 13 2
"gene_149" 0 0 0 0 0 0 20 17 22 36 5 21 20 5 11 18 15 3 0 0 0 0 0 0
"gene_150" 1813 1613 1843 1965 1836 2183 4517 3661 2902 4211 4570 3926 2615 2595 2326 2348 2302 1701 1367 1539 1289 1277 1678 1408
"gene_151" 893 1269 1170 1143 912 1324 5148 4973 4543 5332 4382 6068 2527 3770 3113 2814 2368 2330 569 661 757 592 648 642
"gene_152" 293 317 146 297 327 218 954 716 1746 1048 715 1068 385 542 813 533 731 890 93 76 70 100 99 92
"gene_153" 3163 2877 3470 2882 2634 2841 15703 18343 16410 14841 15973 16235 8836 9561 10116 10096 10727 9278 3114 3056 3289 2822 3058 2788
"gene_154" 16 14 45 31 12 22 110 68 93 65 40 143 65 54 45 38 48 51 2 7 28 1 10 20
"gene_155" 3398 3248 3769 3520 2803 2661 17133 9393 18617 17375 14851 11362 8212 7440 6951 7563 7239 7418 2009 1913 1533 2479 1811 2054
"gene_156" 5864 4932 4971 5380 5021 4516 32532 40097 27141 40325 32781 29204 21440 22818 18157 23040 22877 19950 5342 8168 5365 7247 6253 7045
"gene_157" 80 65 134 75 119 66 1454 1348 970 972 1300 1343 559 561 923 596 636 489 213 181 68 140 136 203
"gene_158" 1038 818 745 859 854 1036 4919 5800 5574 5920 6335 5560 3570 3479 2414 3290 3027 3502 1110 1399 1237 1189 922 886
"gene_159" 558 240 448 360 313 424 1325 1277 1458 1518 1917 1230 1184 699 861 1080 636 1023 204 248 112 140 205 119
"gene_160" 18 13 2 18 14 13 594 213 302 312 340 454 250 249 216 202 130 232 126 105 114 77 102 90
"gene_161" 2516 2736 2818 2895 2912 2384 16584 13920 16097 15336 14947 14230 8668 6975 9505 10804 8571 11643 1239 1226 1739 1672 1637 1145
"gene_162" 1161 1427 1241 1073 1177 1205 6067 6925 5678 7816 6615 8051 4150 3003 4370 3876 4084 3984 858 719 767 1192 1321 1125
"gene_163" 1351 1519 1514 1301 1405 1617 11591 14712 10268 9340 14053 13450 5473 7435 6534 6575 4941 7078 1654 2192 2223 1823 1821 2289
"gene_164" 416 616 411 434 636 568 2189 2357 2090 1717 1979 1817 1164 1020 1346 1103 1428 1193 142 226 209 203 125 260
"gene_165" 5796 5235 4997 5263 4953 4833 30449 33728 34475 35240 31041 28372 20789 24141 22336 19735 24873 22940 4503 4858 4465 3845 3650 4230
"gene_166" 4718 6579 5649 4980 5835 4846 28500 32215 29368 29221 30379 28238 15840 18231 14006 17288 17702 17577 6963 4794 5771 5871 4773 5747
"gene_167" 750 555 740 718 689 807 3726 3522 4308 4072 4304 3874 2033 2148 2705 2256 2071 2262 565 557 801 643 804 555
"gene_168" 13 35 21 30 12 20 157 194 208 117 137 104 74 110 130 95 60 47 13 19 39 19 7 30
"gene_169" 147 81 160 186 144 168 1756 1676 1774 1583 1622 1533 1148 1129 914 1043 818 1019 485 488 352 516 588 455
"gene_170" 119 173 76 97 98 143 1227 1218 1384 1503 1023 1528 792 831 770 797 804 709 288 294 396 227 314 210
"gene_171" 332 194 92 194 251 158 1606 1694 1973 1502 1357 1515 816 987 979 882 1143 1135 177 184 147 166 177 209
"gene_172" 681 822 653 439 787 577 5126 3562 4300 3591 3777 2174 2412 2155 2308 2059 2553 2071 546 371 530 597 488 379
"gene_173" 8 12 10 23 12 6 132 85 83 92 66 83 25 56 28 62 20 36 15 4 20 4 10 18
"gene_174" 2481 2952 3489 3205 3006 3955 17298 17888 13061 18843 17350 16289 9758 10623 12775 11921 10830 10870 2548 2928 2627 2534 2136 2053
"gene_175" 1852 1452 1525 2335 1981 2672 9390 10554 9687 12630 9666 9632 5409 6937 5967 4256 6227 5171 1737 2150 2542 1697 1738 1891
"gene_176" 2 1 5 0 2 1 37 89 65 33 92 53 16 20 8 16 30 38 0 2 3 1 2 2
"gene_177" 1084 920 1123 743 1289 912 6021 6124 5525 5852 6443 6031 3544 3892 3466 3786 3295 4096 1639 1462 1328 1366 983 1097
"gene_178" 202 96 39 176 104 136 664 462 506 704 503 607 317 278 244 244 373 295 8 19 20 14 15 17
"gene_179" 2389 1762 2801 2854 2236 2863 9565 12605 14380 13876 12693 11531 6974 6208 8297 6912 8825 6996 2115 1616 1926 1868 2508 1875
"gene_180" 2535 2421 1935 2519 2543 2581 13295 13510 16846 13964 13403 12599 8532 9169 9628 8279 8404 10433 3361 2551 2839 2901 2426 3226
"gene_181" 1533 1716 1601 1306 1616 1454 8236 8259 7383 7751 7099 7834 3772 4227 4118 4405 4176 5051 934 819 1138 1039 1092 1012
"gene_182" 55 94 114 45 48 75 533 456 537 459 603 514 283 338 397 309 262 198 143 119 90 88 93 75
"gene_183" 12 12 10 16 2 8 66 86 85 117 145 77 51 31 60 38 108 12 20 30 25 20 20 31
"gene_184" 431 490 393 368 286 317 2381 2316 2202 2102 2095 2074 1104 1018 832 1069 1146 792 407 678 497 252 408 346
"gene_185" 4116 4161 3845 3756 3695 4224 21950 27093 29019 24963 28675 24215 16014 14392 16711 16251 15547 15489 5134 4382 6557 5101 6185 6761
"gene_186" 826 908 870 736 807 661 9364 9841 6782 7604 6463 6490 3781 3372 4504 4248 3585 4058 1128 1372 1275 1486 1248 1233
"gene_187" 1885 2061 1779 1527 1865 1844 10098 7587 10423 10746 8648 10066 5818 3628 5763 6596 6108 5837 1036 1884 2003 1099 2022 1360
"gene_188" 990 1249 1245 1282 1267 1238 6221 6239 6340 6676 10326 6135 4297 4108 5179 5852 4193 4743 939 947 775 836 949 848
"gene_189" 8851 8550 10302 9594 7692 9546 70202 69376 73045 62578 74349 58227 31233 29135 33713 35506 24562 41867 7738 5860 7277 8601 9576 9422
"gene_190" 50 50 33 47 57 110 715 593 742 1015 811 718 318 318 481 295 535 520 231 272 288 300 211 193
"gene_191" 185 232 167 106 112 196 995 690 847 876 739 659 519 480 425 500 625 552 113 130 130 99 142 70
"gene_192" 2849 2290 2511 2746 2424 2317 17280 15448 17075 16563 19273 20319 9299 12974 9440 10291 9435 10684 2757 2609 3149 3187 3183 3802
"gene_193" 4435 3874 4723 4121 5268 3238 18623 20403 19870 19771 19295 16450 15248 11238 8468 13854 9458 8415 2609 2660 2347 2469 2215 2316
"gene_194" 216 264 224 182 255 220 2283 1847 1569 1520 1521 1714 1093 1012 1022 1027 1028 1143 399 346 394 223 269 479
"gene_195" 540 1114 733 667 1168 856 6006 5078 4054 6192 3843 5558 3124 2362 3740 2506 2199 2981 830 1004 648 603 596 713
"gene_196" 41 27 56 40 54 46 260 174 141 141 157 218 107 68 122 46 88 71 0 0 0 0 0 0
"gene_197" 63 69 76 104 75 80 313 274 373 383 246 176 119 229 196 187 247 196 48 58 41 33 84 42
"gene_198" 4402 4996 5584 5634 4734 5816 23316 24874 23795 26455 21652 20653 16252 15720 13806 16309 13058 15557 3075 3774 3891 3420 4146 3753
"gene_199" 1517 887 1244 1209 915 1218 5844 4789 6370 6380 6285 4262 3972 3449 3081 3311 2813 3132 1455 1067 1111 1292 1168 899
"gene_200" 21 44 22 19 23 19 112 220 240 159 260 263 140 39 254 72 111 175 19 23 5 9 8 24
"gene_201" 9659 9966 8596 7445 9596 9350 9121 12937 10180 7800 8981 10405 17865 19487 20905 24463 20080 19238 13652 11096 15129 12711 11740 11870
"gene_202" 457 490 780 523 420 491 415 543 655 581 601 454 872 1340 1189 940 1190 1262 609 636 689 734 678 377
"gene_203" 167 246 307 170 182 261 246 287 201 180 307 185 862 555 811 557 718 601 330 534 384 478 418 603
