"TP1_1" "TP1_2" "TP1_3" "TP2_1" "TP2_2" "TP2_3" "TP3_1" "TP3_2" "TP3_3" "TP4_1" "TP4_2" "TP4_3" "TP5_1" "TP5_2" "TP5_3" "TP6_1" "TP6_2" "TP6_3" "TP7_1" "TP7_2" "TP7_3" "TP8_1" "TP8_2" "TP8_3"
"gene_28" 1301 1473 1441 1475 1821 1388 1729 2300 2498 1956 2458 2373 1107 901 723 799 877 1108 1737 1665 1694 1483 1553 1703
"gene_29" 5682 4980 4349 4944 4071 5278 7685 5402 5408 7632 7221 6071 7878 8576 9041 7939 8802 9321 6739 7206 6959 6909 6900 7537
"gene_30" 482 545 306 582 568 487 372 539 376 488 535 478 469 443 568 325 376 280 415 424 383 338 338 371
"gene_31" 9 1 1 1 6 5 24 27 21 12 40 19 16 26 11 1 17 20 21 8 10 10 2 6
"gene_32" 670 671 562 900 754 694 428 470 467 316 408 467 524 632 581 958 876 680 348 366 444 474 321 428
"gene_33" 597 548 658 330 396 682 197 176 278 299 430 225 278 195 400 272 165 296 128 182 258 264 171 233
"gene_34" 511 612 509 692 361 475 645 646 477 457 703 729 340 366 303 357 168 274 288 353 611 395 450 560
"gene_35" 80 126 82 74 75 74 183 154 153 213 136 156 125 157 122 141 115 105 35 40 63 48 45 35
"gene_36" 52 55 73 106 107 82 101 241 92 124 142 148 127 177 173 107 76 174 20 49 52 64 37 34
"gene_37" 35 27 22 31 38 27 39 25 61 28 36 59 130 126 136 165 69 144 233 93 175 164 65 208
"gene_38" 2 2 2 1 3 4 0 0 0 0 0 0 10 8 13 8 10 6 13 0 12 4 1 6
"gene_39" 996 656 659 891 879 835 485 739 837 833 326 565 592 862 717 967 807 857 487 569 690 584 770 656
"gene_40" 4829 4868 5971 8188 4780 6089 5157 8263 9300 4697 5491 6652 4122 6290 5530 5776 5029 6451 5844 5844 6393 6246 5751 7898
"gene_41" 112 48 21 55 52 65 121 142 179 134 154 131 85 72 119 94 86 81 42 22 73 59 61 14
"gene_42" 4362 3836 5900 4854 4122 5082 6318 5584 6309 5901 5651 7017 8736 9236 8216 8835 6895 6834 6504 5412 8817 8243 8113 6114
"gene_43" 287 347 362 266 359 216 358 441 350 432 546 432 708 325 425 429 696 805 80 208 178 156 148 198
"gene_44" 1778 1988 1576 1674 1115 1337 1888 1392 1962 1720 1628 1889 1785 2013 3314 2230 2185 2823 1504 2109 1991 1727 2052 2323
"gene_45" 1761 2197 1444 2140 1755 1851 2577 2451 2479 3046 2115 2744 2301 2670 1390 2972 2717 2173 1746 2068 1770 1771 2017 2177
"gene_46" 7418 7128 6751 7570 8126 6342 4270 3892 4211 3528 3975 4665 4595 4547 4630 5704 5023 4197 5984 6581 6266 6944 5008 7792
"gene_47" 715 564 516 361 502 565 394 532 609 379 404 454 881 733 1051 822 956 942 450 675 413 553 574 489
"gene_48" 218 357 200 173 240 389 134 124 276 87 255 267 99 163 165 57 93 77 382 241 189 188 301 301
"gene_49" 6354 6564 6052 7080 6276 5833 5102 4456 4492 4017 3986 4163 4614 4691 4213 4571 5174 5426 4362 4348 3062 3472 4552 3094
"gene_50" 504 406 364 208 337 339 411 241 441 207 366 258 304 288 182 175 200 196 375 651 665 550 391 536
"gene_51" 95 69 75 117 99 58 53 145 190 141 55 235 160 144 137 191 285 116 75 136 135 172 205 141
"gene_52" 5381 6162 4366 4647 5269 5077 6204 7703 7061 6408 6727 7555 6707 5156 7170 5348 4327 7704 5438 4500 4960 4902 5012 4413
"gene_53" 3816 3265 3688 4866 3247 4464 4511 4364 5428 7018 5785 6480 5874 4924 5891 6273 5817 5213 6055 6206 6128 6241 7512 6001
"gene_54" 3963 3835 3655 3948 3613 3505 2162 2484 2948 2288 2314 3098 3112 2952 2453 2884 2736 2993 3254 3001 2695 2822 3187 2499
"gene_55" 105 148 122 78 51 71 51 64 27 38 24 36 199 68 98 83 93 102 56 68 111 111 169 141
"gene_56" 830 796 865 1055 670 750 1353 867 1270 1538 1395 1059 952 810 788 1206 557 1603 237 320 258 202 147 334
"gene_57" 4290 2759 3082 2806 3106 2945 4006 6005 4931 5020 4413 5293 7380 6623 6681 7511 6840 6431 5693 7100 6120 5800 7066 5741
"gene_58" 1912 1791 2018 1720 2149 1983 1956 1727 2052 1774 1700 1934 2615 1568 1836 1770 2257 2439 1899 1037 1749 1479 1406 1775
"gene_59" 488 307 354 298 248 298 545 164 244 350 256 432 315 369 222 351 380 350 421 652 332 364 475 437
"gene_60" 2192 2171 2405 1964 1997 2227 3115 2328 2235 3058 2877 3634 1083 1400 1886 1125 1700 1051 2243 1939 1710 1587 1854 2354
"gene_61" 1408 1350 1664 1449 1312 1572 1085 879 1183 1001 1040 902 1019 1148 1171 1018 1337 1154 1001 1193 1147 1405 1251 1215
"gene_62" 725 632 676 739 616 541 635 451 442 489 390 644 1040 1090 1007 1076 865 1291 847 870 719 941 916 643
"gene_63" 873 857 870 1139 809 890 578 664 690 676 678 643 1035 1444 1200 1209 1066 1010 1218 1597 1172 1132 1329 1340
"gene_64" 7962 7912 7396 7426 7365 8082 10824 10017 8242 8588 10537 9296 8024 8688 4752 6060 5350 8087 5419 6838 5494 5782 5412 4859
"gene_65" 2419 2396 2001 2016 1881 2205 2434 2386 1874 2554 2077 1880 1168 952 803 1108 929 961 4460 3918 3052 3301 3010 3505
"gene_66" 7517 8055 5173 6227 5604 5690 6346 6449 5627 6221 5717 5409 8527 7326 7488 4838 5482 6217 3530 7422 6001 5525 3925 7105
"gene_67" 232 222 270 153 168 145 306 219 271 238 204 250 102 53 23 46 79 33 71 60 64 46 41 38
"gene_68" 546 495 488 465 437 500 146 150 294 225 217 208 116 187 202 232 238 102 613 335 445 627 360 540
"gene_69" 471 435 567 498 601 621 440 456 383 354 549 617 264 412 390 507 371 399 373 338 270 395 312 361
"gene_70" 1330 1365 1396 1510 1582 1455 1159 1382 1693 1809 1371 1615 1555 1523 1773 1886 1796 1639 2127 2063 1854 1755 2309 1300
"gene_71" 1805 1800 1575 2022 1626 1985 2028 1978 2038 1822 1986 1947 2356 2637 1854 1854 1956 1643 1321 1365 1191 1237 1154 1408
"gene_72" 427 658 516 360 425 584 282 213 182 144 263 290 345 310 228 236 341 428 357 352 414 379 296 328
"gene_73" 8886 10017 9952 7901 8695 8623 5772 8693 4154 6008 4935 5741 4424 4862 5287 3943 4465 4935 7143 6686 4756 5845 7881 6641
"gene_74" 10927 11979 11094 14277 11226 10438 12180 9901 9253 13495 9000 10396 9244 8960 11422 9912 12776 10927 12373 9035 12299 16477 10852 14161
"gene_75" 708 1084 865 765 931 1020 1307 1081 1247 900 1251 1013 1156 1604 1541 1902 1093 1480 1061 1414 1372 1399 1330 1346
"gene_76" 116 238 180 140 116 181 145 143 132 167 143 201 57 86 38 69 50 100 130 81 107 80 80 116
"gene_77" 2098 2614 2303 2597 2538 2482 5359 5100 5011 5035 4355 4631 2492 2683 2624 2966 3583 2304 2783 2717 3391 3990 3078 3445
"gene_78" 75 65 60 30 65 87 79 116 106 53 98 59 30 22 35 34 18 38 59 77 80 72 45 81
"gene_79" 8635 15689 11976 10352 10426 11059 11730 14891 11438 10077 9888 14992 8757 9063 8469 9681 9017 10314 13411 12919 10994 11884 8444 8154
"gene_80" 2112 1213 1165 947 1123 1543 1234 1681 1524 1813 1240 1459 2098 2450 2040 3050 2834 2575 2227 1543 1876 1549 1862 1913
"gene_81" 93 123 179 130 115 162 277 286 312 391 533 446 309 399 365 220 255 304 335 351 371 341 292 323
"gene_82" 7 5 0 0 2 7 7 10 8 23 17 17 30 17 5 36 24 10 0 0 0 0 0 0
"gene_83" 120 137 114 101 113 98 159 227 152 218 190 118 240 159 152 268 265 175 454 395 420 401 333 486
"gene_84" 1256 1120 818 1189 1220 1094 1206 1932 1430 1857 1367 1220 1715 1608 1680 1939 1939 1427 1140 1604 1278 820 1971 1511
"gene_85" 306 370 386 451 371 390 539 390 471 207 545 561 492 374 516 342 472 465 419 353 378 462 300 399
"gene_86" 135 115 134 112 179 111 114 90 94 120 115 87 247 192 274 250 415 260 216 87 195 90 223 154
"gene_87" 9 11 30 14 16 9 6 11 8 14 10 5 0 0 0 0 0 0 0 0 0 0 0 0
"gene_88" 3632 3467 3914 3585 3120 3045 2741 2140 2949 2682 3233 2610 2348 2348 2211 2531 2267 1830 3231 3269 3821 3863 3067 3298
"gene_89" 37 66 74 56 72 62 11 29 10 25 20 37 64 18 22 27 41 32 112 136 25 73 139 119
"gene_90" 4773 4364 4465 4249 4338 4413 3543 4882 4428 5503 3846 4766 4197 3979 3619 5282 4476 4582 5433 5392 4733 4444 5290 6556
"gene_91" 5606 6678 6406 4703 4527 5745 5820 6690 6553 6075 6450 5388 3586 4377 4261 6611 5127 5358 7615 6438 5767 5033 5795 6852
"gene_92" 3025 2347 2869 3222 2881 3021 2792 5734 3869 3129 3202 3936 4731 3889 5550 4409 4460 4272 3723 3679 2943 3130 3555 2871
"gene_93" 4202 4617 4075 3979 3669 3782 3016 3461 3805 3227 4964 4378 4722 2684 3473 3277 4430 4039 3922 3710 3781 4816 3261 4622
"gene_94" 0 0 0 0 0 0 18 3 5 0 2 3 0 0 0 0 0 0 1 0 0 17 9 3
"gene_95" 5 3 3 7 0 16 9 4 7 12 1 15 0 0 0 0 0 0 3 20 16 18 82 26
"gene_96" 83 96 99 82 79 126 104 100 60 96 90 91 101 193 153 93 84 141 82 53 26 23 66 60
"gene_97" 95 131 138 180 107 229 165 250 264 245 247 174 250 309 263 138 281 355 385 328 423 347 271 277
"gene_98" 957 444 542 585 706 496 484 424 398 400 886 740 603 476 422 648 564 454 842 586 802 811 618 592
"gene_99" 776 759 803 1144 687 1037 662 461 772 968 709 727 568 532 660 453 919 381 628 563 743 530 607 474
"gene_100" 419 775 599 639 468 926 524 551 615 565 500 656 454 426 603 611 475 489 218 258 351 197 340 289
"gene_101" 2165 2327 2013 2330 2288 2204 3899 2348 2639 2301 3223 2972 1739 1446 1943 1674 1522 1957 2317 2402 1823 2744 2252 2498
"gene_102" 3573 2390 4008 3000 2111 3183 3877 3873 4151 3522 3332 3982 2330 2266 2573 3205 2665 2223 3124 4161 5106 2858 2735 2971
"gene_103" 4579 4775 3707 4532 3863 4812 3022 3273 3294 2628 2991 3544 1884 3110 1851 2632 2509 3472 3205 2563 2630 2550 2495 2095
"gene_104" 7925 5999 5146 5215 5612 5750 2718 3632 3950 4093 4456 3727 4053 4405 3732 3746 4508 3448 5103 5514 5653 6568 3626 5433
"gene_105" 6635 5641 4649 5869 6902 4991 7007 7869 8798 7101 8191 7514 5784 4164 7224 6527 5329 4626 7719 9343 6045 6057 8210 6744
"gene_106" 1560 1288 1637 1315 1167 1512 1582 1233 1549 1481 1474 1015 950 1713 1393 993 1225 1000 730 862 658 884 455 1036
"gene_107" 6370 6734 7094 8693 7556 7372 7655 8341 8536 6441 5972 7194 7220 6241 7807 6742 7321 6941 9388 10397 9194 9165 8614 10908
"gene_108" 20 13 3 9 7 22 13 14 6 7 9 2 16 17 24 17 18 3 0 0 0 0 0 0
"gene_109" 7707 14191 10873 9737 10824 9136 12910 12384 11730 15006 14192 13234 8483 8604 8965 8187 11044 7187 10512 13789 12970 10172 11966 13800
"gene_110" 3321 3543 2897 3014 2477 3394 2466 2489 2607 2661 2739 2785 2956 3150 3591 3508 3062 3038 3228 3650 3583 2927 3187 3456
"gene_111" 42 29 16 12 19 20 0 0 0 0 0 0 29 62 26 47 71 26 3 10 17 8 5 6
"gene_112" 7 9 18 5 6 27 6 4 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gene_113" 8233 6456 6424 5492 8440 7254 7104 6304 7862 7195 6894 7338 7849 6332 6643 6927 8490 6531 5095 5238 6430 5788 5911 6642
"gene_114" 1060 1553 1280 1410 1519 1244 1950 2165 1903 1988 2492 3204 2057 1923 2061 2264 1974 2232 2257 2075 2614 1572 1618 1693
"gene_115" 4285 3706 3344 3627 3321 4013 3040 2753 3616 3426 2710 2797 3062 3062 2782 2866 3332 2692 2816 3856 3265 3396 3679 3961
"gene_116" 173 256 232 194 342 170 265 96 82 131 132 186 163 252 175 126 214 222 135 95 58 131 172 57
"gene_117" 227 103 181 176 158 172 151 124 133 121 186 116 120 101 76 99 47 107 60 62 40 61 42 61
"gene_118" 1184 1224 1246 1186 1292 1337 896 1158 817 829 649 726 1100 988 1303 1141 1250 1315 2499 1962 1907 2092 1976 1858
"gene_119" 34 44 16 22 51 29 28 40 24 57 13 86 15 6 4 2 2 1 6 4 2 6 10 10
"gene_120" 2999 4616 3714 3195 2605 3317 3293 3385 2983 2972 2842 2889 2367 2881 2766 3775 3883 1807 3795 3634 4051 3876 3152 4154
"gene_121" 1549 1563 1929 1934 1832 1721 1443 1364 1091 1129 1036 1437 1513 1534 1439 1742 1630 1376 1577 1403 1410 771 1599 1185
"gene_122" 10 12 4 16 11 12 0 0 0 0 0 0 12 17 21 15 6 37 35 30 38 25 36 15
"gene_123" 3156 2713 3015 2768 2817 2655 3854 5346 3386 5128 4128 3751 2167 2938 2521 2618 2754 2293 2851 3090 3371 3283 3592 2943
"gene_124" 706 705 651 598 812 621 674 1294 1164 869 874 1007 871 874 950 1063 1069 795 942 986 845 620 831 683
"gene_125" 6276 5554 5540 4406 6159 4802 4392 4335 4339 4418 4618 4193 6389 6139 5250 6792 7018 6581 5318 5126 5264 5467 5173 5046
"gene_126" 11 16 21 4 9 13 99 151 70 66 50 19 14 8 10 11 22 9 4 21 20 18 17 32
"gene_127" 10 20 4 23 31 12 26 95 102 82 49 79 27 11 21 25 6 22 16 15 23 17 37 15
"gene_128" 1221 1622 1093 1292 1575 1147 1314 1282 1223 778 1525 976 1195 1184 1068 1111 1201 915 1529 1280 948 1345 1220 2047
"gene_129" 236 271 408 262 897 289 462 427 421 318 443 451 543 291 381 459 407 357 192 192 170 297 138 275
"gene_130" 1041 987 1051 931 588 1172 1255 1293 812 938 1151 1299 763 727 1039 772 1144 925 702 415 735 555 668 1043
"gene_131" 388 196 170 258 222 232 76 127 185 135 52 109 169 176 151 172 210 82 226 268 211 210 246 217
"gene_132" 2833 2606 2844 2571 2518 2246 2595 2310 2433 2486 2457 2018 1991 1389 1602 1836 1864 1745 2208 2497 2536 2365 2014 2070
"gene_133" 1345 1522 2106 2071 2064 2661 1991 1109 1016 1589 1128 1618 2164 1947 2014 1758 1469 1932 1607 1606 1693 1338 1617 1712
"gene_134" 10 17 32 16 16 26 0 0 0 0 0 0 7 2 11 7 17 14 1 2 9 1 0 1
"gene_135" 701 876 999 667 1008 610 450 351 461 606 502 451 761 913 474 596 440 817 379 269 374 443 373 365
"gene_136" 159 134 87 126 34 97 60 28 30 49 73 46 105 76 81 70 168 108 37 140 144 218 111 138
"gene_137" 0 0 0 0 0 0 63 30 52 54 41 45 28 12 10 17 10 10 26 21 23 17 12 9
"gene_138" 34 67 42 70 66 36 22 8 8 30 28 23 27 5 5 46 13 6 23 4 15 28 11 10
"gene_139" 243 205 260 204 170 188 150 116 142 167 89 141 470 355 362 479 422 400 681 405 402 606 317 510
"gene_140" 970 1240 1140 1462 1584 1248 2577 1666 2352 2005 1852 2600 1041 1319 1566 1384 911 1452 1135 1131 1421 1685 578 1120
"gene_141" 17195 16860 15068 15731 18405 16577 16821 14847 18018 16546 16384 14798 16962 22142 17073 17253 15415 15565 15774 16296 18043 18046 18174 18679
"gene_142" 1514 1002 1506 1041 977 1141 1298 1268 1315 1455 1048 966 2151 2413 2304 2517 2482 2657 780 841 803 835 719 865
"gene_143" 766 815 877 873 956 1114 690 675 978 665 465 973 917 854 916 1118 1345 848 1156 1058 1026 1044 1129 941
"gene_144" 919 1449 1822 1000 831 822 1027 1454 1117 944 1148 1127 1160 1126 1226 1448 1332 1111 1869 1447 1919 1824 2141 1611
"gene_145" 95 132 241 154 279 119 268 406 279 498 668 315 146 166 110 178 151 130 58 67 41 71 28 31
"gene_146" 1799 1334 1292 1435 1394 1386 1801 1998 2334 2088 1968 2142 1927 2089 2349 2289 2176 1565 1609 2018 2126 2603 1737 2078
"gene_147" 21 32 28 25 18 27 84 38 55 86 93 51 20 30 36 29 38 35 42 26 20 39 15 6
"gene_148" 2 11 8 8 7 4 10 7 15 17 2 4 14 12 18 17 17 9 7 1 4 3 0 0
"gene_149" 0 0 0 0 0 0 51 78 21 35 14 25 0 0 0 0 0 0 0 0 0 0 0 0
"gene_150" 1487 1850 1471 1887 2252 2321 2476 2323 2071 2386 2510 2707 1878 2468 2114 2288 1816 2502 1669 1268 1255 1645 1246 1553
"gene_151" 1222 1383 1371 995 1282 1199 585 657 640 940 681 653 1104 827 840 1282 1061 844 707 610 747 687 677 642
"gene_152" 255 217 216 144 299 187 184 172 93 164 122 152 102 170 164 143 215 143 85 50 98 54 88 86
"gene_153" 3387 3302 2819 3039 3498 2688 2442 2518 2892 2646 2297 1954 2361 3069 2722 2237 2417 2800 2834 2977 3039 3071 3118 2940
"gene_154" 5 17 28 19 16 19 25 19 16 24 24 55 0 0 0 0 0 0 6 7 9 2 3 30
"gene_155" 3578 3117 3717 3504 3634 3020 1305 1578 1682 1524 1636 1497 2280 1915 2165 2189 2155 2056 2266 1723 1573 1745 2016 1644
"gene_156" 4777 5468 5196 4719 4837 5640 6294 6882 6938 7253 7546 7882 5139 5438 4768 4258 4610 3888 6676 6019 5566 6563 7086 7783
"gene_157" 105 109 90 160 95 108 301 254 480 396 152 446 114 79 123 126 91 159 80 126 209 149 177 179
"gene_158" 900 1063 973 1047 926 1229 1114 1227 1262 1448 1192 1176 766 623 451 306 505 575 1163 1223 657 816 895 637
"gene_159" 556 267 289 551 360 463 195 174 94 163 133 147 287 233 297 175 412 151 143 214 199 147 199 238
"gene_160" 14 32 6 15 20 12 37 57 87 46 57 35 46 47 41 23 35 47 111 115 105 150 162 108
"gene_161" 2760 2749 3098 2160 2555 2762 3317 2144 2875 2490 3819 2504 2303 1896 2498 2098 1797 2218 1469 1487 1685 1324 1434 1464
"gene_162" 1088 1295 1320 1271 977 1231 902 1196 560 1224 834 1172 1056 1220 1336 1028 1575 1341 1278 1277 1853 1264 1000 1132
"gene_163" 1370 1329 1621 1969 1835 1341 2344 2370 1480 2295 1949 1784 2149 1786 1784 1901 1822 1698 2266 2268 2129 2048 1532 1589
"gene_164" 539 700 414 548 684 540 518 498 467 525 454 395 183 386 170 136 267 190 410 136 373 217 407 154
"gene_165" 4609 4926 4799 4376 5642 3572 7066 7776 6929 7434 6677 7541 7287 7610 6180 8014 8689 6406 3214 4484 4455 4570 3458 4256
"gene_166" 5002 4317 6572 7322 5435 5613 3270 3780 3083 1808 3212 2406 5139 3919 5589 4713 5372 4791 5896 6070 4138 5168 5443 3818
"gene_167" 663 621 555 667 677 627 688 838 946 749 651 366 470 461 393 424 715 479 812 601 540 640 520 614
"gene_168" 13 19 31 39 32 11 38 37 31 29 89 36 15 40 33 23 49 22 14 31 9 19 16 31
"gene_169" 147 283 225 162 180 128 202 251 360 276 198 320 327 193 360 279 247 322 347 387 361 380 540 373
"gene_170" 87 79 96 101 120 95 192 135 151 104 221 171 262 359 257 330 278 280 335 269 290 412 344 374
"gene_171" 183 182 123 194 347 237 317 281 258 211 305 323 404 345 468 425 470 483 149 153 159 176 174 183
"gene_172" 668 1067 500 1138 549 857 761 642 501 696 667 848 615 539 414 453 516 950 747 439 372 685 346 358
"gene_173" 4 4 15 13 19 4 10 20 17 36 39 28 26 10 6 13 8 7 2 8 4 4 6 10
"gene_174" 2440 2940 3465 2441 2319 3388 3405 2938 2965 3013 1827 2905 3098 2932 3504 3355 3513 3581 2355 1792 3475 2450 2552 2334
"gene_175" 2120 1909 2001 2346 1813 2577 1287 1122 1125 1420 1087 1123 1430 748 1371 1378 748 1281 2369 1645 2173 2131 2000 2216
"gene_176" 1 5 5 0 6 2 23 14 6 5 16 12 13 22 7 34 11 20 4 3 4 1 8 0
"gene_177" 1159 1408 1097 1149 1500 1356 1068 1060 1104 1302 949 864 498 595 581 674 789 501 1310 1205 1464 894 970 1079
"gene_178" 181 192 65 142 166 141 18 22 34 21 22 38 191 134 174 125 155 145 9 26 20 27 12 23
"gene_179" 2668 2492 2255 2577 2690 2272 2164 2024 2530 2505 2604 2367 1814 1582 1722 1850 2090 1751 2213 1726 1663 1775 2473 1835
"gene_180" 2705 2408 2495 2149 2648 2405 1273 1375 1812 1583 2365 1694 2328 3147 2439 3105 2913 2968 3353 3446 2461 3358 3643 2894
"gene_181" 1511 1633 1550 1343 1476 1377 1188 975 1188 1099 1344 1336 1150 891 1389 1401 1192 1159 1237 1096 944 955 1361 1433
"gene_182" 109 112 74 91 77 85 35 88 77 56 71 59 91 87 97 89 59 76 86 104 153 116 105 79
"gene_183" 6 4 14 4 6 5 13 10 22 35 9 22 7 13 26 2 7 14 18 37 30 35 12 31
"gene_184" 217 324 274 303 294 440 294 291 345 323 247 379 325 216 484 423 491 332 317 404 365 418 496 325
"gene_185" 3312 3717 3804 4465 3145 4022 4118 3566 3818 3297 3357 4097 4280 4789 3611 4729 4422 3599 5215 4898 6233 5207 4520 5279
"gene_186" 979 902 712 878 876 542 1154 1115 992 950 815 937 1566 1394 1288 927 1392 1275 1347 1063 1458 1256 1291 1510
"gene_187" 1583 1587 1540 1836 1921 1818 1504 1596 1389 1653 1671 1082 1826 1477 1064 1211 1772 1565 1929 1743 1586 2184 1217 1957
"gene_188" 1181 950 855 1256 1267 1091 1453 1729 1754 1437 1660 1626 1517 1304 1549 1855 1776 1844 890 621 1015 899 874 938
"gene_189" 12010 10252 7172 9846 9683 7742 12225 14251 13382 13054 13660 14082 11174 9897 10297 10426 10140 9774 8517 9934 7884 6703 8351 9772
"gene_190" 52 21 52 46 53 35 132 119 143 105 85 189 86 205 70 118 100 83 258 391 205 261 216 184
"gene_191" 132 128 165 184 269 155 248 148 174 163 274 150 13 25 38 97 68 56 114 141 131 207 87 270
"gene_192" 2360 2016 2409 2063 1882 1826 2683 3027 2579 2584 2677 2784 3041 3196 3096 3166 2568 3960 2905 3245 3968 2993 3827 2688
"gene_193" 4197 3945 4251 5253 2908 4539 2968 2380 2546 3110 3396 2749 3560 3755 3701 4358 3668 3681 2462 2495 2510 2105 2282 2231
"gene_194" 201 268 259 230 174 168 388 444 456 385 549 575 199 233 162 266 444 339 218 245 361 317 218 283
"gene_195" 746 787 880 654 464 890 688 1220 740 1213 623 759 826 741 647 648 632 491 708 541 972 1170 1227 646
"gene_196" 26 21 31 54 37 38 29 33 15 49 36 37 13 27 24 32 13 23 0 0 0 0 0 0
"gene_197" 114 79 79 28 56 141 40 40 41 27 43 40 19 19 16 36 16 44 61 56 144 58 115 81
"gene_198" 5972 5045 6998 4785 4950 4717 3720 3312 4339 3683 3487 3414 5979 6016 5745 4758 5159 5865 3723 4217 3276 3372 4455 5025
"gene_199" 1603 1255 959 1359 1421 1039 928 889 889 965 872 778 607 586 592 752 402 462 1643 1780 1046 1236 1468 1147
"gene_200" 28 16 14 12 39 13 64 64 58 105 82 46 13 11 26 29 32 26 11 4 14 16 7 9
"gene_201" 11246 9446 8930 10469 11832 11330 7915 10034 8030 9920 9411 9549 10404 10291 9279 7975 8713 9554 11854 15200 13637 15740 12727 11138
"gene_202" 458 462 620 498 634 318 505 380 690 694 613 448 222 306 352 452 449 529 701 528 693 318 517 350
"gene_203" 180 347 245 196 245 347 248 198 164 206 172 219 623 559 622 481 432 608 632 598 669 432 421 570
"gene_204" 156 188 244 172 169 117 395 252 345 320 292 215 189 128 229 206 167 189 133 128 103 96 98 172
"gene_205" 1244 1014 953 942 862 970 1187 861 707 875 1030 1014 936 1397 974 1130 909 872 937 747 674 451 491 602
"gene_206" 1386 1633 1645 1347 1574 1428 3100 2552 2013 2566 2319 2231 3508 2892 3130 2854 2854 3155 2506 2373 2070 1381 1743 2132
"gene_207" 1698 994 807 660 1361 954 1388 1049 1397 1188 1105 1390 742 724 1005 1174 1267 717 1465 1678 1706 1544 1800 1840
"gene_208" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 7 1 0 8 2
"gene_209" 282 396 274 211 201 269 226 239 283 191 247 236 188 88 141 178 140 176 414 272 397 368 207 286
"gene_210" 55 75 68 98 56 110 57 98 47 23 71 14 69 22 23 91 56 31 24 15 21 10 11 29
