"V1" "V2" "V11" "V12" "V21" "V22" "V31" "V32"
"45" 9501 14146 6445 6339 5530 6488 5551 7509
"46" 67 102 17 46 56 51 13 17
"47" 3700 3731 2391 2394 1813 1992 1620 1624
"48" 141 100 28 77 39 27 70 56
"49" 792 893 539 550 680 545 333 366
"50" 2027 1342 1002 926 668 848 693 1145
"51" 7143 7531 3788 4857 981 1262 1749 1488
"52" 945 793 693 629 145 81 179 136
"53" 100 65 133 105 29 10 16 15
"54" 1587 2368 1130 987 383 351 255 386
"55" 11981 15672 5313 7045 1186 1958 1635 1592
"56" 14276 11848 7964 7162 2172 2536 2330 1816
"57" 279 369 122 234 82 63 42 52
"58" 3982 3979 1967 1973 726 857 678 537
"59" 42 30 2 33 5 6 5 8
"60" 1647 1398 852 1103 184 208 271 239
"61" 1048 1134 932 825 320 446 92 93
"62" 5344 3542 2795 2001 563 512 826 967
"63" 9216 9596 5652 5359 1152 1239 1259 1055
"64" 19264 24145 12552 12309 1664 2371 4115 3716
"65" 19283 16719 11516 9307 2677 3034 3364 2225
"66" 52251 52715 28976 36980 10783 8152 7983 8580
"67" 3567 2890 1916 2139 588 585 829 715
"68" 29581 41387 19667 18956 4101 4364 7231 5365
"69" 9006 11208 5298 5500 1379 1318 1774 1366
"70" 14765 15840 10108 9034 2203 2631 3272 2943
"71" 1276 1223 1066 792 113 114 359 313
"72" 1008 997 553 896 222 211 272 187
"73" 2565 2199 1758 1698 460 449 489 356
"74" 236 213 126 193 17 25 32 90
"75" 12102 11199 5756 8705 1586 1509 1471 2463
"76" 12276 12342 8217 7178 2001 1804 1507 1847
"77" 880 726 431 286 38 48 140 136
"78" 2074 2402 1452 2652 651 390 415 474
"79" 220 193 144 57 121 85 32 13
"80" 704 775 352 346 129 155 124 83
"81" 231 456 183 263 66 49 9 10
"82" 6199 4823 3616 3119 710 1274 1019 990
"83" 7094 6423 4373 2719 910 1016 1482 1089
"84" 2200 3093 1288 1552 343 418 365 510
"85" 8252 10858 4812 4640 1652 1255 1651 1659
"86" 865 489 497 476 65 51 216 214
"87" 9584 8687 5794 7625 2135 1730 1080 1164
"88" 22721 32246 14355 18459 4099 4315 4965 4268
"89" 2058 1474 1011 1093 78 259 79 78
"90" 27305 27510 16629 14283 4107 4531 4053 4113
"91" 6327 8235 3388 3544 1481 1680 1145 1275
"92" 2181 2514 1566 1390 151 345 773 521
"93" 23630 25928 13381 12891 4189 3009 3680 3789
"94" 6596 6672 3614 3744 1153 1079 691 720
"95" 346 451 193 231 43 16 80 117
"96" 18122 15012 7681 8436 2019 1986 2034 2101
"97" 13816 10479 7166 6534 2366 2366 2546 2537
"98" 3423 3874 2333 1935 631 282 785 957
"99" 1644 2043 1223 1350 324 285 407 305
"100" 25713 32967 15856 16565 4629 6331 5301 5116
"101" 1532 1279 3084 2517 1373 1469 1275 818
"102" 10841 15289 31526 33474 20190 17940 15319 14109
"103" 1350 1282 2605 3399 1530 1716 1099 1342
"104" 8289 7805 12994 9479 8681 7228 6596 5960
"105" 516 325 801 464 333 381 502 423
"106" 2605 3273 4085 4273 2289 3311 2509 2606
"107" 7663 5615 11276 13918 10824 6828 7095 5665
"108" 125 218 511 483 401 192 155 235
"109" 83 23 317 152 136 112 83 113
"110" 293 313 1079 769 792 680 359 296
"111" 8 1 20 25 21 5 3 9
"112" 545 536 1102 850 660 482 309 611
"113" 446 601 1807 1410 734 451 905 696
"114" 1919 1826 4391 2912 2639 2115 1226 1594
"115" 0 0 2 1 1 3 0 0
"116" 572 542 1136 1218 668 599 764 770
"117" 4392 6268 10912 10470 5613 6462 3820 4413
"118" 7960 9311 19278 20561 13411 14112 9572 9670
"119" 2196 2028 4429 4771 2516 3273 1868 2197
"120" 3778 3176 6253 7293 4605 4833 5270 4615
"121" 7318 7698 14073 12885 8167 8473 6319 6335
"122" 1926 2406 4733 5287 2879 3069 1446 2658
"123" 744 475 1341 1165 569 685 618 368
"124" 0 0 23 27 3 4 27 18
"125" 69 171 457 389 193 287 200 133
"126" 274 226 1049 725 535 374 385 496
"127" 29 25 12 36 20 22 53 72
"128" 5346 6414 12361 12350 7562 8351 8732 6856
"129" 6053 5257 14083 15807 7088 7624 6882 8230
"130" 862 1229 2375 2805 1135 1679 1084 1172
"131" 217 170 762 621 378 558 348 290
"132" 0 0 79 53 18 43 0 2
"133" 6880 6399 13779 13814 8120 6899 3542 5113
"134" 89 74 257 251 112 160 51 18
"135" 1493 1238 2333 1886 1587 1147 884 465
"136" 35 9 68 106 24 45 32 65
"137" 210 103 187 235 191 159 15 9
"138" 1185 1414 2938 2504 1799 1717 2240 1944
"139" 15 27 70 56 32 77 16 42
"140" 1605 1271 3240 3789 1803 1652 1382 1726
"141" 13005 13748 31000 35465 20679 22716 15169 15771
"142" 815 475 1047 1572 749 741 484 419
"143" 2682 2321 4922 5481 2934 2593 2874 3251
"144" 2690 3127 6816 5643 3078 3484 3119 2945
"145" 1372 670 1203 1513 670 1128 1030 1015
"146" 570 369 1079 688 268 549 531 270
"147" 1242 1139 2920 2842 1952 1398 1452 1501
"148" 747 869 2373 1833 1045 1345 756 612
"149" 330 327 474 662 374 476 279 344
"150" 875 831 1064 1699 622 782 368 463
"151" 247 335 1303 1481 1223 952 402 277
"152" 8491 9233 53488 56388 33364 31071 9731 5871
"153" 325 418 4599 3416 3342 1973 616 490
"154" 557 476 5507 4484 3187 2918 1053 1067
"155" 2 7 44 128 38 42 33 29
"156" 3250 2819 16646 19213 17238 12060 2591 2760
"157" 676 729 4718 3938 3567 2606 1096 1129
"158" 1080 967 4898 5773 3293 3253 868 970
"159" 10021 9073 62564 60241 22812 32672 11408 14140
"160" 152 55 895 1592 680 888 103 165
"161" 286 334 1560 1676 1052 865 175 223
"162" 76 200 920 799 463 390 153 128
"163" 1447 2562 14554 12250 7646 8700 2865 3046
"164" 1182 1260 10434 10416 6309 5149 2080 2650
"165" 5834 5534 50265 35882 18941 24033 4996 7669
"166" 1831 1528 10819 10851 6174 5776 1231 1285
"167" 0 19 31 29 14 20 19 16
"168" 30 20 150 140 175 88 4 4
"169" 595 771 2228 2740 1899 1580 594 602
"170" 4 4 189 199 142 101 18 5
"171" 5102 4663 24948 32171 20275 17670 4618 3869
"172" 2438 2222 11640 14538 10216 8884 1636 1398
"173" 12 11 197 224 112 105 5 18
"174" 177 227 1275 1536 738 787 200 228
"175" 3912 4769 18398 17084 10063 12242 3726 3215
"176" 51 28 114 118 110 91 8 23
"177" 4643 3020 28086 27352 22787 20583 5168 3856
"178" 1201 1488 10084 8470 4467 6061 1320 1516
"179" 2743 3528 18263 18206 14151 11249 2500 2373
"180" 369 377 2195 2654 1277 1345 484 457
"181" 919 598 2335 3123 1214 1553 365 475
"182" 812 642 3770 3866 2160 2037 592 691
"183" 185 112 1185 1202 679 656 332 305
"184" 923 1234 5614 4906 3001 3605 397 290
"185" 14 0 23 76 15 8 8 4
"186" 16 20 39 37 28 28 0 0
"187" 1 2 31 53 12 14 3 0
"188" 30 8 74 52 22 16 13 17
"189" 3108 2580 14874 15010 10898 9343 2636 1853
"190" 931 1046 5421 6610 4128 3724 1202 756
"191" 12 6 38 62 17 27 7 10
"192" 1942 1955 12893 12286 8022 6500 1571 1747
"193" 23 36 77 85 36 62 0 0
"194" 384 482 2587 2407 1414 1438 309 308
"195" 6 2 56 33 51 58 23 27
"196" 161 133 539 1154 337 351 182 123
"197" 3322 3676 24109 16514 13885 13109 3749 4591
"198" 297 454 1486 1590 879 943 156 161
"199" 1256 1531 4791 4666 3646 4024 973 1341
"200" 4357 3789 28020 26130 16074 16762 4917 4743
"201" 582 793 1112 526 1800 1606 1024 1019
"202" 21 12 12 6 20 38 27 7
"203" 399 462 407 509 607 585 598 710
"204" 516 552 879 784 1233 1233 682 892
"205" 918 807 643 1131 1626 1626 1803 1074
"206" 3699 3054 2164 2185 5853 5410 3006 2597
"207" 2506 2714 2293 1980 5422 4808 3039 3763
"208" 7537 9497 9075 14025 20072 19093 13407 10389
"209" 3 2 108 96 167 140 58 69
"210" 665 651 1315 919 1618 1717 1221 791
"211" 59 16 45 63 171 71 55 39
"212" 101 91 42 76 122 184 156 131
"213" 2 1 7 2 12 4 14 0
"214" 0 6 30 50 57 47 44 48
"215" 26 62 119 113 122 162 70 158
"216" 169 125 145 83 414 398 237 242
"217" 673 673 330 391 954 733 608 894
"218" 4207 4136 4748 4578 8292 6693 4539 3871
"219" 5544 6095 4409 4581 11524 11480 8649 6279
"220" 40 30 10 12 12 11 23 20
"221" 390 626 243 159 1029 1470 674 762
"222" 2 12 9 10 38 22 7 49
"223" 6 5 0 0 0 7 7 0
"224" 81 62 121 50 183 176 166 131
"225" 1880 1765 1055 1747 3682 3596 2023 1683
"226" 1921 2006 2134 2877 4461 6367 1863 3286
"227" 10 19 0 0 3 12 0 3
"228" 5349 5292 12628 19268 15705 14687 9937 10995
"229" 53 37 10 11 36 39 43 28
"230" 8927 9277 10506 7588 16991 20489 10507 9697
"231" 2306 2920 1823 2374 4864 6073 3168 2914
"232" 102 112 254 122 340 319 188 81
"233" 162 292 244 180 349 261 235 125
"234" 444 474 360 345 1075 1076 530 515
"235" 1645 1661 1708 1027 2892 2712 1413 1933
"236" 4406 4436 2810 4451 6977 7600 5038 5232
"237" 3259 2942 3317 3069 7829 6977 5018 3785
"238" 158 87 308 187 213 435 224 230
"239" 1119 829 1366 997 1683 2015 1263 981
"240" 6307 6727 10504 5164 12331 12259 9345 8034
"241" 2422 2249 2193 1874 4391 4743 3155 2939
"242" 40 34 4 4 28 64 84 24
"243" 1274 1367 1688 2070 1844 2172 1397 1275
"244" 113 288 224 225 383 402 133 308
"245" 424 370 289 356 764 770 598 579
"246" 4361 4768 2968 3854 8202 7757 4498 4656
"247" 4 12 0 0 16 9 11 4
"248" 1 0 0 4 11 6 10 2
"249" 483 556 1336 1182 1625 1924 1410 1140
"250" 3639 3315 2995 2408 6276 5020 4055 4068
"251" 38 35 71 33 285 238 249 183
"252" 5667 7229 6008 4126 30533 34482 22667 17823
"253" 32 55 39 95 690 442 423 351
"254" 5015 6537 3661 2811 27684 34225 15587 16468
"255" 2517 2965 2806 2110 17816 16725 7719 8230
"256" 1102 1392 1505 1018 8157 9640 5832 4874
"257" 981 1055 1147 1423 7773 7155 4355 4850
"258" 2011 2176 1397 1319 9620 12512 4521 4408
"259" 1605 1449 938 1357 6951 5977 4952 4433
"260" 5202 5417 4124 4938 33425 26329 20058 16217
"261" 418 482 601 396 3322 3595 1746 1342
"262" 15 34 66 92 310 566 194 164
"263" 1401 1918 1612 1558 8388 9961 4274 4716
"264" 226 165 205 195 1334 1020 674 632
"265" 2118 1984 1032 1211 8682 12626 5458 4899
"266" 59 81 20 14 151 128 73 63
"267" 7690 5344 5288 4516 36627 47335 20141 17501
"268" 623 654 607 409 4216 3488 2960 2172
"269" 3163 2295 3990 3899 18375 22791 11845 12814
"270" 477 487 265 305 3007 2474 1664 2155
"271" 1484 1698 1972 860 7934 7423 4903 4792
"272" 14 4 7 3 23 33 16 8
"273" 7954 8231 6951 5366 32520 20184 19968 24351
"274" 11872 12922 12103 10262 54255 53423 51089 39374
"275" 0 0 68 36 133 84 70 43
"276" 637 669 247 238 2060 2377 1071 1404
"277" 330 176 218 312 1235 1360 407 704
"278" 137 262 673 522 2933 2671 1626 1267
"279" 1730 1681 1811 1881 10872 10631 5307 6492
"280" 1638 1964 1776 2175 14716 11730 6720 8055
"281" 26 54 239 170 558 570 283 375
"282" 6 8 11 5 208 261 128 104
"283" 153 113 222 207 1051 613 635 421
"284" 1531 1321 1047 922 6469 5705 3935 3723
"285" 1592 1494 1044 1166 8873 7080 4390 5007
"286" 427 519 350 494 1883 3594 1389 1540
"287" 219 182 213 212 1487 1514 753 863
"288" 37 42 22 10 158 178 92 123
"289" 188 169 124 132 757 988 397 407
"290" 2834 3459 3544 3175 18896 16630 11032 12758
"291" 11067 10597 10067 14036 56393 59467 30493 33448
"292" 447 738 687 1071 4708 3544 1899 2018
"293" 3624 2201 3239 4370 18874 30569 13544 12422
"294" 2 13 18 13 130 139 167 30
"295" 8 11 0 0 76 45 33 46
"296" 2582 2124 1802 2074 12670 14311 9871 10257
"297" 896 1195 406 463 3820 5619 2550 3022
"298" 54 40 16 11 158 224 90 128
"299" 676 804 1369 1161 5215 7740 2513 3809
"300" 486 538 928 1025 3615 4387 1732 1910
"301" 288 240 463 423 318 714 484 459
"302" 701 651 1431 1566 1715 1954 1833 1627
"303" 3566 3906 6715 6229 8374 8016 7967 9140
"304" 1145 1119 1867 1571 815 870 3172 3332
"305" 4 1 5 2 8 10 2 28
"306" 2448 1902 3938 3656 4260 5445 4987 5706
"307" 187 211 382 400 166 209 262 193
"308" 464 365 968 919 932 1193 1111 1155
"309" 27 9 100 22 64 76 38 14
"310" 427 677 993 1057 1067 1103 1647 1500
"311" 155 105 140 252 361 348 130 130
"312" 221 262 396 296 595 397 717 430
"313" 580 894 1063 1150 980 1362 705 1263
"314" 661 365 1105 823 761 789 1126 1242
"315" 6612 3865 7875 8910 9420 8999 16200 11293
"316" 72 46 45 80 66 60 64 15
"317" 1182 1018 1353 1390 2235 2506 1294 1254
"318" 203 228 333 292 149 158 276 317
"319" 2762 2689 5298 5074 5098 4679 5649 6286
"320" 199 161 233 238 517 430 550 644
"321" 7705 4557 9540 8477 8850 9285 10620 9852
"322" 1822 1663 2109 2893 3170 2880 2521 4286
"323" 282 272 352 399 222 358 871 575
"324" 2 0 0 0 20 14 0 0
"325" 752 1179 1399 1316 2122 1637 837 644
"326" 8 16 48 40 62 24 28 47
"327" 494 682 928 884 811 581 1237 1186
"328" 314 86 561 560 395 453 843 737
"329" 94 110 251 248 257 149 303 215
"330" 2602 2914 5204 5379 6954 7121 4902 3971
"331" 5 0 3 2 0 11 0 0
"332" 31 47 44 79 103 79 94 67
"333" 829 1063 1602 1703 1643 1427 1789 2031
"334" 225 401 435 434 335 246 576 897
"335" 20 10 44 18 14 16 28 21
"336" 37 107 227 200 192 58 211 305
"337" 2 4 5 6 2 15 27 26
"338" 699 919 1341 1072 1450 1598 1642 2443
"339" 795 696 1072 1127 1309 768 1678 2252
"340" 1 3 0 3 0 2 4 14
"341" 5032 7119 9564 10583 12446 12345 11324 9979
"342" 1 4 2 2 0 0 19 12
"343" 1708 1610 2787 4247 3365 2966 5353 3863
"344" 57 88 138 212 185 67 99 185
"345" 2293 1942 3583 3250 3496 3689 3566 3835
"346" 12 14 15 4 103 47 6 12
"347" 29 7 13 11 25 46 18 22
"348" 1739 1874 2972 3422 4312 4382 4344 3897
"349" 1338 1355 1715 2250 2234 2453 1897 2109
"350" 1147 1206 1771 1627 2018 2074 1707 1783
"351" 458 455 898 1152 2226 3518 4063 4249
"352" 1276 1135 2231 1962 5516 6291 7003 8732
"353" 83 100 80 213 465 579 348 417
"354" 0 2 0 4 1 9 10 8
"355" 1163 807 1400 1624 4074 4428 4547 4596
"356" 182 158 167 167 917 769 1181 912
"357" 1761 1687 2628 3441 8030 9988 9697 9403
"358" 104 157 271 393 549 569 1454 1437
"359" 30 64 93 105 401 295 217 191
"360" 11 27 42 41 221 229 20 54
"361" 5 2 5 6 18 12 23 22
"362" 5 2 5 1 0 0 12 22
"363" 2 3 2 2 0 0 20 35
"364" 20 7 14 10 36 68 80 58
"365" 195 445 758 859 1803 1600 1245 1378
"366" 39 65 136 117 186 318 410 205
"367" 142 260 161 263 721 604 897 639
"368" 376 271 682 620 2317 2496 2101 1776
"369" 107 138 151 152 429 328 807 1185
"370" 27 33 157 61 284 299 159 311
"371" 807 912 1512 1418 3614 4158 4038 4380
"372" 80 88 60 304 1698 1819 583 1082
"373" 146 171 254 221 807 897 959 1137
"374" 166 169 314 433 827 580 1469 1324
"375" 116 195 382 368 1560 1729 1853 1618
"376" 1327 1211 1487 2039 5755 6181 7242 6420
"377" 0 0 1 0 31 8 0 0
"378" 8 8 10 26 104 23 8 13
"379" 218 298 443 383 1389 1393 1886 1859
"380" 71 34 90 85 808 457 178 228
"381" 81 42 143 47 391 292 409 575
"382" 250 226 423 458 1333 1076 1464 1321
"383" 302 331 404 489 1160 1839 2202 2235
"384" 614 464 993 733 3353 3949 3381 2592
"385" 0 0 0 4 10 12 0 0
"386" 45 30 92 40 130 195 256 164
"387" 235 236 364 407 1425 1054 1229 1659
"388" 256 235 620 338 2241 2082 1347 1566
"389" 356 344 342 398 1099 1131 1355 1623
"390" 768 663 635 890 2289 2865 2905 2883
"391" 1191 1184 1926 1677 6719 6344 6625 4192
"392" 2 0 1 0 0 0 6 0
"393" 55 55 35 77 101 168 252 245
"394" 37 12 50 29 116 89 75 105
"395" 0 0 0 2 4 6 0 0
"396" 20 18 38 33 116 183 191 155
"397" 138 105 415 254 1067 964 1626 1214
"398" 94 58 69 105 236 259 497 461
"399" 1370 1441 1363 2081 6040 6667 7075 7999
"400" 1621 1338 2939 1699 7410 7354 11794 10362
"401" 52 146 22 54 76 87 19 23
"402" 715 497 323 301 442 330 528 725
"403" 33 31 23 15 41 16 4 10
"404" 816 892 234 750 832 694 836 296
"405" 9243 8003 4932 4673 6656 7383 9333 9721
"406" 703 1059 419 388 634 486 770 604
"407" 259 199 101 82 128 117 235 265
"408" 156 176 103 102 110 124 225 291
"409" 1752 1542 1152 795 1329 1096 1786 1674
"410" 1080 1352 370 389 857 848 585 1113
"411" 1897 1946 976 972 1382 949 1843 2053
"412" 2771 2350 1046 1058 1600 1836 2261 2014
"413" 44 37 11 18 30 37 20 56
"414" 1549 1645 545 795 810 1326 1270 2174
"415" 16 11 28 13 19 48 44 62
"416" 21822 22771 11053 9248 12191 16073 18055 19792
"417" 2433 2015 780 1298 1478 2074 1278 1460
"418" 800 1085 503 679 1338 588 696 1234
"419" 3 8 7 8 6 9 36 19
"420" 190 267 151 139 127 240 93 100
"421" 867 728 367 432 589 443 785 956
"422" 33 87 17 6 7 13 3 10
"423" 2043 2072 898 626 1385 1429 1711 1565
"424" 151 158 90 51 89 99 103 57
"425" 0 0 3 0 3 0 0 0
"426" 511 605 204 230 394 409 672 708
"427" 1023 997 349 455 600 588 1159 1443
"428" 665 296 187 217 385 398 514 585
"429" 1856 1741 990 883 1696 1661 2347 2382
"430" 1462 2050 793 797 1363 1374 1686 1800
"431" 1006 979 307 350 579 685 661 546
"432" 2225 1660 1197 1125 1637 2267 3332 3031
"433" 1340 1671 860 853 1454 1365 1728 1626
"434" 2083 3664 1590 2254 3468 3401 6394 5627
"435" 1561 1311 788 826 1546 1523 2014 1834
"436" 4633 3973 2717 1953 4046 3757 4922 5016
"437" 28 27 15 32 36 16 15 50
"438" 2000 1685 704 920 1448 1622 1757 1391
"439" 224 256 447 368 540 391 452 663
"440" 2240 2745 1270 1108 1753 1775 2514 2097
"441" 2272 2636 1600 1266 1981 1933 2805 2686
"442" 259 193 122 106 181 158 209 227
"443" 1627 2240 990 752 2125 1422 1967 1849
"444" 90 107 129 144 182 168 221 228
"445" 4526 4037 2955 2169 5873 5321 8463 8841
"446" 321 277 97 120 79 122 122 68
"447" 6244 6429 3146 2908 4414 4377 5151 5043
"448" 2261 1673 1106 1359 1824 2174 2235 2535
"449" 958 1270 730 784 890 1293 1570 1543
"450" 12 6 8 4 4 6 24 19
"451" 2333 2803 418 404 1052 964 1924 2199
"452" 8 5 5 1 2 3 6 1
"453" 193 321 22 54 114 74 434 356
"454" 435 451 47 51 39 112 90 110
"455" 21 2 4 8 11 27 36 62
"456" 2158 1761 379 427 657 797 3577 3990
"457" 797 1120 122 82 330 277 952 1085
"458" 2325 2878 252 354 614 632 1257 2197
"459" 804 1625 190 172 224 469 1031 998
"460" 2083 1848 499 605 1029 1091 6110 4480
"461" 101 111 15 33 51 54 173 176
"462" 379 438 143 152 337 138 1289 1108
"463" 861 1510 212 167 418 297 629 760
"464" 1707 1260 234 280 379 476 1256 999
"465" 880 816 223 44 229 252 470 619
"466" 19 22 5 0 6 2 10 12
"467" 0 0 4 1 0 1 5 3
"468" 0 0 1 1 1 7 4 6
"469" 631 588 249 157 216 190 714 776
"470" 6400 7237 1046 1661 2828 3149 12574 10422
"471" 67 43 4 3 6 28 26 86
"472" 57 106 10 8 35 32 47 22
"473" 591 787 101 120 311 216 794 953
"474" 61 134 31 44 35 40 143 156
"475" 7 12 7 10 18 12 20 105
"476" 0 0 0 0 2 0 2 2
"477" 19 17 14 3 32 13 131 123
"478" 1737 1285 222 212 413 453 923 1816
"479" 1222 434 164 162 270 436 1133 1527
"480" 4752 3955 698 609 1158 825 4718 5053
"481" 4 7 1 1 1 4 1 5
"482" 187 217 96 53 109 111 229 311
"483" 53 44 17 12 28 25 43 67
"484" 333 319 27 27 26 75 180 132
"485" 289 286 95 22 130 73 473 386
"486" 113 214 12 32 32 59 143 172
"487" 694 942 104 88 72 168 272 586
"488" 52 60 18 4 64 37 70 53
"489" 1580 1266 297 195 346 312 1701 1213
"490" 688 419 77 73 131 243 468 676
"491" 38 66 7 7 11 16 38 68
"492" 4337 3460 688 619 773 887 3314 3258
"493" 1648 2126 182 168 243 278 862 1218
"494" 121 114 27 10 20 22 98 87
"495" 838 424 60 49 99 95 189 169
"496" 106 89 23 32 15 50 111 145
"497" 1650 1307 408 217 466 436 1169 1142
"498" 5 31 4 5 4 22 133 49
"499" 658 613 202 128 196 187 495 632
"500" 2 0 6 0 7 4 0 0
"501" 2352 2063 1811 1780 1039 1415 2052 2116
"502" 547 563 388 386 233 356 410 305
"503" 3748 4808 4499 4515 1540 1912 3311 2545
"504" 130 84 73 92 51 61 104 133
"505" 7383 8968 9448 8120 3608 3534 6406 5636
"506" 2 2 0 0 2 2 4 5
"507" 829 770 1207 960 328 462 548 865
"508" 2 6 7 7 1 1 2 7
"509" 3866 3484 4545 5531 2899 2605 5204 4200
"510" 7034 8598 4824 5053 3124 2487 4766 5036
"511" 260 303 441 560 105 170 238 208
"512" 1 10 5 28 4 2 9 40
"513" 5 6 8 14 2 7 24 10
"514" 1058 1112 1178 846 459 440 710 673
"515" 4142 3622 4327 5457 1762 1790 4149 3832
"516" 697 1234 888 657 505 507 461 548
"517" 49 53 92 23 6 14 28 27
"518" 6929 6630 5783 6421 3676 3385 5936 5778
"519" 1074 957 1621 767 575 702 1295 1083
"520" 4 4 0 0 0 0 16 26
"521" 9677 7842 5255 4959 3251 3361 4492 4721
"522" 9 21 3 0 4 10 11 15
"523" 0 0 1 9 0 0 1 1
"524" 126 187 30 17 104 81 99 82
"525" 22924 17152 24914 33023 10546 9599 18062 21272
"526" 2283 2209 893 616 691 489 1018 1184
"527" 14 22 1 3 4 1 10 12
"528" 39 40 1 14 7 22 16 24
"529" 3 0 0 0 0 3 2 3
"530" 81 108 82 109 57 43 59 76
"531" 131 66 12 1 31 15 44 29
"532" 863 761 756 800 428 508 847 670
"533" 1107 927 1035 2128 579 751 946 1067
"534" 59 71 90 167 86 98 137 145
"535" 20 28 17 10 5 4 23 19
"536" 352 257 253 250 93 71 244 214
"537" 2 10 0 0 7 1 9 2
"538" 453 613 746 634 300 278 495 542
"539" 209 245 607 433 261 269 310 449
"540" 413 371 202 153 226 126 262 267
"541" 3733 3843 4340 4167 2253 2186 3288 3234
"542" 104 79 11 12 41 32 51 75
"543" 45 26 33 31 4 26 31 19
"544" 2181 2368 1664 1565 1568 1328 1898 1928
"545" 596 445 289 336 156 209 320 575
"546" 695 1189 790 1114 301 388 924 762
"547" 151 165 70 83 76 66 81 133
"548" 1118 1206 704 950 507 504 594 1182
"549" 357 192 562 303 173 196 463 346
"550" 22 9 23 21 25 31 32 17
"551" 2266 2801 3300 2122 393 360 577 496
"552" 110 167 67 80 6 16 28 24
"553" 221 305 87 89 56 38 51 60
"554" 3364 4153 3851 3709 389 512 999 924
"555" 1524 935 1787 1352 310 291 458 580
"556" 1702 1438 1416 1522 140 204 557 359
"557" 1581 2045 1602 973 136 384 389 377
"558" 178 193 360 101 25 23 99 92
"559" 45 24 8 16 2 8 11 4
"560" 153 171 140 233 17 5 54 52
"561" 892 653 590 801 192 196 270 224
"562" 220 236 48 29 0 19 14 46
"563" 3547 2978 3029 2461 492 478 1053 919
"564" 1813 1493 1788 1589 296 352 462 670
"565" 2700 2534 1604 1306 309 322 480 422
"566" 2172 1881 1371 1813 215 235 469 486
"567" 10884 8647 10791 10918 2085 1612 3426 3381
"568" 499 450 721 831 127 87 172 201
"569" 91 137 89 117 11 7 25 12
"570" 504 733 1291 1020 178 143 229 265
"571" 3 2 2 4 0 0 0 2
"572" 3169 3788 2432 3393 487 756 944 912
"573" 1633 1688 1622 1593 318 252 463 455
"574" 105 207 3 20 1 0 14 12
"575" 292 390 354 336 131 67 140 111
"576" 14 10 4 3 0 1 5 0
"577" 1105 1654 1692 987 161 317 361 383
"578" 4521 5203 6928 5395 1020 920 1396 2310
"579" 440 464 225 169 41 54 74 102
"580" 37 49 22 10 14 14 6 21
"581" 2405 2171 1705 1355 246 221 442 345
"582" 1838 1700 1454 1417 257 284 321 642
"583" 1937 853 995 945 231 229 455 230
"584" 8044 8995 6971 6486 1552 1289 2218 2365
"585" 7750 7063 7276 6644 1293 1216 2345 2647
"586" 2618 3075 4660 3748 532 717 1306 723
"587" 616 655 676 717 216 150 337 225
"588" 1802 1613 1839 1323 224 148 419 506
"589" 1148 1393 1731 1515 239 207 299 327
"590" 25 32 23 26 13 3 7 10
"591" 2485 2953 2218 2277 436 408 748 528
"592" 0 0 6 2 0 1 1 1
"593" 1534 1805 1553 1758 277 350 569 378
"594" 151 276 209 195 22 36 47 75
"595" 5765 7655 9046 11413 1452 1445 2143 2838
