"TP1_1" "TP1_2" "TP1_3" "TP1_4" "TP1_5" "TP2_1" "TP2_2" "TP2_3" "TP2_4" "TP2_5" "TP3_1" "TP3_2" "TP3_3" "TP3_4" "TP3_5" "TP4_1" "TP4_2" "TP4_3" "TP4_4" "TP4_5"
"gene_187" 2 1 12 14 11 8 6 17 10 12 8 1 3 1 1 0 2 2 0 1
"gene_188" 7 8 6 12 24 0 0 0 0 0 2 2 3 1 0 22 8 20 22 26
"gene_189" 2926 3030 2967 3354 3331 3029 3562 3719 2942 2642 2439 2018 2500 2431 2152 2304 2367 2257 2137 1976
"gene_190" 1023 1062 967 1045 1004 861 1058 1053 882 808 1236 1397 1204 1337 955 1417 950 1235 885 1119
"gene_191" 2 6 6 10 7 5 19 4 10 24 3 3 5 0 15 14 2 10 5 2
"gene_192" 2294 1684 2690 2240 1571 1295 1057 1424 1223 1398 3062 2691 2891 3404 3797 1482 1663 1302 1800 1827
"gene_193" 33 27 10 18 19 22 26 19 12 6 21 33 19 15 15 0 0 0 0 0
"gene_194" 368 461 367 382 335 338 322 498 418 412 524 257 386 359 349 395 400 462 362 345
"gene_195" 1 0 9 1 8 12 21 7 20 3 0 0 0 0 0 23 25 40 29 14
"gene_196" 185 71 203 174 112 58 87 89 81 59 97 100 81 60 60 88 170 133 138 78
"gene_197" 3200 3259 3476 3397 3321 3827 4327 3680 3041 3804 4009 3616 3967 3909 4192 3837 3801 3778 4329 3749
"gene_198" 430 364 435 285 280 443 310 308 412 207 78 103 112 86 96 184 119 77 79 159
"gene_199" 1369 1399 1413 1445 1389 1053 1210 1169 1090 1167 863 872 1203 1262 811 867 818 1084 830 1030
"gene_200" 5207 4436 4715 3711 5221 3622 3496 3197 2356 3872 6310 7147 6714 7110 6954 5341 4106 3196 3976 6822
"gene_201" 926 516 705 518 614 507 727 753 667 953 787 953 1058 944 1161 625 865 653 815 527
"gene_202" 20 19 31 14 8 10 12 17 5 26 30 18 28 11 15 21 21 9 15 20
"gene_203" 463 459 418 394 447 641 524 566 506 590 484 581 467 722 842 319 323 405 367 360
"gene_204" 658 460 523 530 717 1175 958 786 974 748 523 568 349 364 506 900 620 775 589 567
"gene_205" 1129 1230 908 685 851 778 856 798 830 710 938 939 799 1048 1018 1196 1546 1158 1179 1140
"gene_206" 2567 3309 3052 2839 3356 2604 2140 2039 2460 2111 1971 2805 2485 2160 2488 2657 1877 2238 1878 1709
"gene_207" 2518 2883 1955 2624 2212 2068 1842 1377 2465 2238 3639 3372 3688 3509 3183 1733 2101 2395 1950 2269
"gene_208" 7843 8208 9200 8562 8257 12023 13796 11633 9488 9148 13416 14886 11248 10349 11152 9584 9761 9224 10728 9041
"gene_209" 2 1 2 2 1 137 236 108 131 126 102 47 86 44 95 19 24 30 20 13
"gene_210" 710 738 761 685 622 1228 1451 1388 1018 1549 658 608 822 1093 873 252 241 354 351 318
"gene_211" 21 29 21 37 12 82 94 66 53 36 14 38 49 21 13 36 40 72 42 34
"gene_212" 100 132 116 98 80 53 40 90 25 60 127 78 100 159 143 78 118 82 111 100
"gene_213" 0 4 1 13 8 12 21 28 11 18 0 0 0 0 0 14 15 8 3 6
"gene_214" 12 10 14 9 8 61 23 35 15 32 19 18 17 10 16 58 42 40 32 67
"gene_215" 84 29 58 45 60 126 121 82 141 83 71 55 43 38 52 74 54 76 100 66
"gene_216" 166 211 164 208 183 104 101 154 68 56 55 314 207 210 235 94 108 166 196 109
"gene_217" 616 627 601 617 758 548 396 434 375 428 444 509 537 503 600 765 572 1001 791 1107
"gene_218" 3736 4132 3734 3639 3161 6316 4952 4070 4366 4840 3127 3269 3338 2738 2786 4900 7142 4750 4829 4713
"gene_219" 5852 6334 7129 6944 5107 5012 5658 4993 5609 4205 9257 6449 6295 9210 8139 6568 6850 5977 5325 4887
"gene_220" 22 26 22 21 36 18 5 17 43 25 1 1 0 2 5 13 4 11 1 1
"gene_221" 772 571 738 799 495 343 318 138 264 265 673 551 939 948 379 952 743 670 783 662
"gene_222" 0 18 1 2 2 4 4 2 4 14 4 13 4 11 4 42 22 38 27 36
"gene_223" 7 12 11 24 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gene_224" 32 47 31 66 34 89 77 138 96 123 22 75 93 64 55 142 103 77 100 106
"gene_225" 1881 1764 1542 1745 1921 1818 1145 1387 1120 1417 1885 1636 1677 1381 1700 1894 1783 1885 1429 1537
"gene_226" 1430 1884 2068 1450 2070 2501 2477 2198 2363 2211 2443 2334 2639 2557 2531 2535 3138 2536 2121 2396
"gene_227" 10 9 9 5 7 0 0 0 0 0 6 4 19 12 5 2 9 5 0 7
"gene_228" 4476 4712 5110 5459 6000 15000 16262 12540 19195 15622 5565 6322 5768 5716 6678 6028 5148 6549 7495 7108
"gene_229" 31 75 41 29 102 3 10 1 0 4 13 8 14 21 2 16 8 28 2 9
"gene_230" 8523 10392 6977 7685 7608 10096 7756 6398 10905 9814 8673 8217 8676 9509 7796 9452 8235 7234 7767 7507
"gene_231" 2307 3153 3338 2300 2545 2945 2296 1537 2429 2197 3036 2572 2762 2877 2792 2688 2496 1965 2526 2948
"gene_232" 151 76 113 88 114 128 142 154 176 102 154 173 163 227 154 87 154 172 105 105
"gene_233" 205 256 221 255 155 92 145 225 148 182 160 119 186 169 149 52 137 46 81 23
"gene_234" 437 520 484 482 551 347 321 286 314 398 400 554 464 313 317 850 563 785 426 881
"gene_235" 1497 1482 1423 1715 1299 1456 2016 824 1640 1234 1048 931 1008 854 778 1752 1574 1693 1507 1621
"gene_236" 3208 4537 3812 4053 4142 2896 3184 4046 3985 3121 4045 3537 3481 3982 3535 3211 4364 3772 4388 3807
"gene_237" 4037 3932 4486 3935 3559 3299 3557 4047 2525 2748 3723 3327 3360 3337 4377 3176 4024 3090 3454 3527
"gene_238" 164 161 132 167 136 281 246 336 249 296 189 269 224 258 242 105 201 177 158 171
"gene_239" 1358 1562 1088 1505 1349 1229 877 944 1552 908 934 786 443 757 536 657 954 620 676 756
"gene_240" 4348 5198 8013 5944 7611 6244 6270 7438 6103 7254 5870 4272 4891 5602 3757 6130 5251 6385 7808 7318
"gene_241" 2636 2442 3319 2174 2827 2288 2352 1649 1832 2199 2745 2717 2370 2676 2300 2270 2886 2304 3171 2718
"gene_242" 68 68 28 99 51 14 13 7 15 18 23 39 50 32 60 12 25 4 11 5
"gene_243" 1416 1359 1140 1254 1229 1524 1283 2862 1425 2377 618 782 623 629 617 677 803 764 801 634
"gene_244" 172 208 180 309 208 230 102 164 217 207 429 364 321 291 342 216 226 215 193 157
"gene_245" 287 370 463 276 357 298 301 188 255 230 713 544 645 572 692 393 591 664 732 360
"gene_246" 5913 3937 3933 5234 5295 3986 3388 3900 4293 3786 2856 2731 3579 3489 3999 4425 3251 3409 3656 3875
"gene_247" 4 3 4 16 1 0 0 0 0 0 0 0 0 0 0 4 13 19 4 17
