"TP1_1" "TP1_2" "TP2_1" "TP2_2" "TP3_1" "TP3_2" "TP4_1" "TP4_2"
"gene_70" 2688 2294 2249 2351 2769 2874 3505 4998
"gene_71" 159 180 319 245 144 176 324 288
"gene_72" 259 164 127 116 224 212 187 221
"gene_73" 333 412 339 443 431 438 464 451
"gene_74" 31 47 106 96 23 15 62 86
"gene_75" 1967 1834 1511 1648 1620 1572 2270 2063
"gene_76" 2020 2135 2117 2034 1866 2205 2010 1893
"gene_77" 215 155 83 100 35 33 208 84
"gene_78" 490 491 370 259 493 418 341 410
"gene_79" 22 20 16 17 90 94 24 27
"gene_80" 183 69 138 49 191 151 74 51
"gene_81" 42 75 64 48 152 90 8 5
"gene_82" 1027 960 908 1014 576 683 794 1430
"gene_83" 1577 1596 1357 1229 1014 1032 1057 951
"gene_84" 335 350 481 361 331 343 518 466
"gene_85" 924 1237 1740 1562 903 929 1281 1249
"gene_86" 231 172 62 99 62 134 166 136
"gene_87" 2511 1771 1544 1965 1627 2012 1556 1909
"gene_88" 4908 5866 6314 4441 4931 4304 4047 4531
"gene_89" 719 649 387 288 186 219 172 126
"gene_90" 2641 2679 4401 3681 3590 4060 4659 4132
"gene_91" 1152 938 1085 1136 1490 1328 1044 1064
"gene_92" 316 313 435 356 190 256 568 651
"gene_93" 3955 5238 3000 3362 3350 3465 3650 3994
"gene_94" 1075 690 1980 1712 1030 1168 858 772
"gene_95" 18 11 76 61 98 60 100 103
"gene_96" 2920 3497 2342 2199 2178 1834 1817 2636
"gene_97" 1769 1713 1969 1827 2454 2309 2547 2645
"gene_98" 572 979 339 448 508 332 1083 742
"gene_99" 235 241 194 253 233 160 256 339
"gene_100" 5003 3770 3720 4516 4977 4212 4542 4452
"gene_101" 1379 1452 1048 1056 1345 1492 1298 1276
"gene_102" 15121 11823 12830 10617 18190 22054 12542 12327
"gene_103" 1510 1271 1204 1480 1543 1707 1527 1415
"gene_104" 6286 6188 4723 7388 7291 5837 6341 5777
"gene_105" 426 340 152 116 443 276 544 317
"gene_106" 2719 3257 1547 1803 2357 2115 3090 2404
"gene_107" 5709 6960 7863 7443 5876 5282 5153 6650
"gene_108" 128 122 439 284 382 161 168 102
"gene_109" 63 33 271 227 112 118 97 136
"gene_110" 282 308 501 311 1063 741 344 361
"gene_111" 4 2 14 20 21 16 1 5
"gene_112" 403 370 652 507 633 514 551 493
"gene_113" 642 760 585 531 332 425 848 931
"gene_114" 1733 2041 2529 2555 1378 1803 1538 2057
"gene_115" 0 0 0 6 0 0 0 0
"gene_116" 492 414 343 549 625 478 716 723
"gene_117" 4369 5038 6949 5741 4036 4612 3334 3918
"gene_118" 8326 10595 8991 8316 13095 11710 10220 11051
"gene_119" 2444 2549 1439 1795 3006 2691 1708 1961
"gene_120" 2803 3255 3587 3107 3894 2898 4991 4249
"gene_121" 7120 7254 8040 7580 4771 6438 6460 7865
"gene_122" 2503 2480 1682 1344 3008 3108 2277 1749
"gene_123" 438 407 492 189 505 757 541 499
"gene_124" 0 0 0 0 13 26 23 24
"gene_125" 155 241 166 171 238 216 145 125
"gene_126" 316 361 520 382 385 417 438 278
"gene_127" 24 34 12 14 12 5 42 29
"gene_128" 7383 7651 6010 5179 5224 9242 7383 6773
"gene_129" 4847 5648 5792 4845 8597 7708 7214 7044
"gene_130" 1151 782 1573 1613 2240 1201 975 925
"gene_131" 283 135 569 530 266 262 311 302
"gene_132" 0 0 18 33 99 114 2 1
"gene_133" 7898 7218 6428 6162 5577 5463 3899 4430
"gene_134" 89 60 146 86 124 118 51 81
"gene_135" 1271 1195 1194 1354 721 418 831 851
"gene_136" 18 12 47 81 106 66 78 26
"gene_137" 339 162 56 136 402 393 14 18
"gene_138" 998 1352 1265 1808 1324 1670 1619 2243
"gene_139" 44 54 83 47 61 28 17 37
"gene_140" 1385 1230 1391 1915 1902 1500 1389 1580
"gene_141" 12079 14641 17742 19234 19169 17197 14297 13235
"gene_142" 497 666 525 536 626 554 553 692
"gene_143" 1561 1936 1762 1755 2418 2651 2768 2991
"gene_144" 2392 2720 4276 5029 2956 2812 2913 2926
"gene_145" 1081 1261 530 744 826 471 1011 976
"gene_146" 488 465 612 702 431 447 370 386
"gene_147" 1259 1344 1834 1452 1825 1129 1329 1190
"gene_148" 942 734 1052 1611 1088 1124 1145 837
"gene_149" 422 236 399 554 312 327 165 263
"gene_150" 850 869 653 379 366 353 405 267
"gene_151" 231 201 191 183 253 301 557 549
"gene_152" 7466 6115 8313 7563 8125 8168 8482 6269
"gene_153" 291 424 741 1151 611 477 690 428
"gene_154" 585 432 898 1033 1178 1669 654 1145
"gene_155" 14 11 10 14 16 6 15 24
"gene_156" 3385 3192 1774 2753 4884 3786 2228 2889
"gene_157" 975 842 642 944 571 541 1637 1756
"gene_158" 825 1064 775 813 1088 859 743 1281
"gene_159" 10334 8989 8843 8330 7969 6827 13408 11661
"gene_160" 106 90 154 84 191 252 139 157
"gene_161" 396 408 516 540 300 296 162 213
"gene_162" 254 209 55 110 153 190 124 146
"gene_163" 2016 2415 2538 3101 2063 2339 2436 2661
"gene_164" 1046 1180 2221 2124 1899 1672 2401 1648
"gene_165" 6293 6062 7624 6853 7963 6756 5725 5326
"gene_166" 1479 1835 2072 2392 864 973 1230 1188
"gene_167" 0 10 0 0 0 0 16 16
"gene_168" 52 28 2 13 74 74 4 4
"gene_169" 665 825 233 664 666 295 437 507
"gene_170" 15 5 1 10 16 92 29 5
"gene_171" 4484 5048 6153 6449 2340 3241 4616 4416
"gene_172" 2001 2564 2589 3030 2032 2441 1956 1540
"gene_173" 20 33 31 20 64 18 10 18
"gene_174" 211 67 308 274 201 218 257 209
"gene_175" 4711 3750 2802 2521 2493 4268 3220 3322
"gene_176" 22 32 39 24 18 39 18 10
"gene_177" 4618 3617 5665 5040 6113 6630 5368 4694
"gene_178" 1580 1908 1612 1671 841 899 1482 1218
"gene_179" 3035 2679 4642 5249 2229 2393 2483 2207
"gene_180" 381 394 232 259 365 373 467 431
"gene_181" 1040 1057 239 248 189 238 313 364
"gene_182" 559 532 652 768 520 465 572 547
"gene_183" 155 116 137 204 300 198 317 297
"gene_184" 1268 1458 770 574 827 1077 241 385
"gene_185" 4 0 0 0 0 0 6 6
"gene_186" 6 16 13 12 12 3 0 0
"gene_187" 2 1 8 6 8 1 0 2
"gene_188" 7 8 0 0 2 2 22 8
"gene_189" 2926 3030 3029 3562 2439 2018 2304 2367
"gene_190" 1023 1062 861 1058 1236 1397 1417 950
"gene_191" 2 6 5 19 3 3 14 2
"gene_192" 2294 1684 1295 1057 3062 2691 1482 1663
"gene_193" 33 27 22 26 21 33 0 0
"gene_194" 368 461 338 322 524 257 395 400
"gene_195" 1 0 12 21 0 0 23 25
"gene_196" 185 71 58 87 97 100 88 170
"gene_197" 3200 3259 3827 4327 4009 3616 3837 3801
"gene_198" 430 364 443 310 78 103 184 119
"gene_199" 1369 1399 1053 1210 863 872 867 818
"gene_200" 5207 4436 3622 3496 6310 7147 5341 4106
"gene_201" 926 516 507 727 787 953 625 865
"gene_202" 20 19 10 12 30 18 21 21
"gene_203" 463 459 641 524 484 581 319 323
"gene_204" 658 460 1175 958 523 568 900 620
"gene_205" 1129 1230 778 856 938 939 1196 1546
"gene_206" 2567 3309 2604 2140 1971 2805 2657 1877
"gene_207" 2518 2883 2068 1842 3639 3372 1733 2101
"gene_208" 7843 8208 12023 13796 13416 14886 9584 9761
"gene_209" 2 1 137 236 102 47 19 24
"gene_210" 710 738 1228 1451 658 608 252 241
"gene_211" 21 29 82 94 14 38 36 40
"gene_212" 100 132 53 40 127 78 78 118
"gene_213" 0 4 12 21 0 0 14 15
"gene_214" 12 10 61 23 19 18 58 42
"gene_215" 84 29 126 121 71 55 74 54
"gene_216" 166 211 104 101 55 314 94 108
"gene_217" 616 627 548 396 444 509 765 572
"gene_218" 3736 4132 6316 4952 3127 3269 4900 7142
"gene_219" 5852 6334 5012 5658 9257 6449 6568 6850
"gene_220" 22 26 18 5 1 1 13 4
"gene_221" 772 571 343 318 673 551 952 743
"gene_222" 0 18 4 4 4 13 42 22
"gene_223" 7 12 0 0 0 0 0 0
"gene_224" 32 47 89 77 22 75 142 103
"gene_225" 1881 1764 1818 1145 1885 1636 1894 1783
"gene_226" 1430 1884 2501 2477 2443 2334 2535 3138
"gene_227" 10 9 0 0 6 4 2 9
"gene_228" 4476 4712 15000 16262 5565 6322 6028 5148
"gene_229" 31 75 3 10 13 8 16 8
"gene_230" 8523 10392 10096 7756 8673 8217 9452 8235
"gene_231" 2307 3153 2945 2296 3036 2572 2688 2496
"gene_232" 151 76 128 142 154 173 87 154
"gene_233" 205 256 92 145 160 119 52 137
"gene_234" 437 520 347 321 400 554 850 563
"gene_235" 1497 1482 1456 2016 1048 931 1752 1574
"gene_236" 3208 4537 2896 3184 4045 3537 3211 4364
"gene_237" 4037 3932 3299 3557 3723 3327 3176 4024
"gene_238" 164 161 281 246 189 269 105 201
"gene_239" 1358 1562 1229 877 934 786 657 954
"gene_240" 4348 5198 6244 6270 5870 4272 6130 5251
"gene_241" 2636 2442 2288 2352 2745 2717 2270 2886
"gene_242" 68 68 14 13 23 39 12 25
"gene_243" 1416 1359 1524 1283 618 782 677 803
"gene_244" 172 208 230 102 429 364 216 226
"gene_245" 287 370 298 301 713 544 393 591
"gene_246" 5913 3937 3986 3388 2856 2731 4425 3251
"gene_247" 4 3 0 0 0 0 4 13
"gene_248" 5 1 0 7 4 4 0 0
"gene_249" 514 472 795 1676 1210 1030 1044 1343
"gene_250" 3751 3514 2599 2565 2647 1958 2362 2805
"gene_251" 25 26 44 111 47 38 41 97
"gene_252" 6063 4930 5475 3516 7399 5357 5695 5179
"gene_253" 42 64 108 65 119 177 134 141
"gene_254" 6062 4959 3121 3321 3724 5880 6329 5449
"gene_255" 3056 2623 2326 2869 1694 1899 2656 2576
"gene_256" 1219 1197 1172 1542 1692 1939 841 1260
"gene_257" 1154 1163 1313 1357 1422 1311 432 610
"gene_258" 1823 1786 1555 1855 1167 1280 1234 1061
"gene_259" 1269 1251 1515 1262 792 713 1898 1397
"gene_260" 6088 5804 4679 4915 3996 5251 5028 4751
"gene_261" 330 270 507 699 397 649 552 441
"gene_262" 25 26 50 124 52 78 56 57
"gene_263" 1861 1897 1221 1180 1433 1374 1431 1540
"gene_264" 188 176 225 177 156 227 188 186
"gene_265" 1644 1916 1328 914 1413 1709 975 1104
"gene_266" 86 58 15 4 2 8 6 21
"gene_267" 7110 5439 3942 3903 4662 5767 6319 6152
"gene_268" 741 756 432 472 755 793 675 570
"gene_269" 2513 3290 3272 3947 2854 3916 2895 4117
"gene_270" 760 514 195 363 677 449 665 637
"gene_271" 1267 1626 1058 1277 1124 1163 1833 2154
"gene_272" 7 3 10 7 0 0 0 14
"gene_273" 6666 6488 7323 6935 7067 6168 5328 6612
"gene_274" 9080 12678 11248 12524 9907 7900 8001 6560
"gene_275" 0 0 48 49 5 29 4 21
"gene_276" 458 506 179 220 486 489 320 320
"gene_277" 113 270 449 334 99 79 206 247
"gene_278" 172 147 856 652 451 348 616 356
"gene_279" 1975 1514 1599 1809 1278 1489 2248 2029
"gene_280" 1952 2321 2275 2483 2444 1833 2315 1667
"gene_281" 34 39 199 189 116 130 36 52
"gene_282" 16 4 9 13 100 122 6 1
"gene_283" 140 86 254 147 159 106 211 223
"gene_284" 1668 1276 896 884 842 773 1377 1497
"gene_285" 1498 1362 1032 1177 1645 1745 1168 1263
"gene_286" 566 401 575 710 885 654 211 531
"gene_287" 200 321 180 292 34 52 296 362
"gene_288" 32 32 10 6 62 60 8 7
"gene_289" 189 188 88 59 142 207 250 159
"gene_290" 2611 2860 2859 3046 2438 3411 3595 3361
"gene_291" 11141 9515 10290 8631 7990 7931 5910 5833
"gene_292" 1000 685 781 740 479 289 723 919
"gene_293" 3226 2671 3802 3654 2214 2212 4711 3859
"gene_294" 5 6 19 7 26 21 82 76
"gene_295" 5 10 0 0 15 41 7 16
"gene_296" 2777 1631 1564 2138 2856 3128 2363 2514
"gene_297" 979 1281 461 459 456 497 998 888
"gene_298" 34 56 21 24 68 60 39 27
"gene_299" 798 1105 1003 1403 1451 1326 780 1151
"gene_300" 425 698 583 625 681 1147 711 768
"gene_301" 442 644 1047 925 492 472 462 399
"gene_302" 1369 1411 1673 2192 1728 2028 1638 1703
"gene_303" 6679 6537 7029 8005 7515 8405 5776 11584
"gene_304" 1279 1266 2855 2376 1006 1008 2659 3149
"gene_305" 2 1 0 0 2 14 10 8
"gene_306" 4503 5058 2812 3197 5431 4567 5415 4779
"gene_307" 486 396 290 280 150 122 318 316
"gene_308" 792 947 1173 1575 892 1398 904 770
"gene_309" 71 82 63 74 44 50 19 27
"gene_310" 1447 1345 928 1033 1036 1077 1212 1503
"gene_311" 156 122 269 337 239 237 81 166
"gene_312" 482 436 340 350 590 487 637 404
"gene_313" 1044 1404 1947 1574 1240 1205 955 1466
"gene_314" 1145 1231 852 1069 813 876 1039 1138
"gene_315" 11348 12504 8767 11759 8401 10553 13519 10735
"gene_316" 70 100 229 130 71 51 12 33
"gene_317" 2314 2672 1869 2256 3520 1875 1311 984
"gene_318" 497 516 646 319 260 244 304 364
"gene_319" 6520 6667 5750 6758 6794 4874 3709 5324
"gene_320" 325 485 315 431 379 466 319 471
"gene_321" 9102 10270 10084 12013 11060 10027 12276 14569
"gene_322" 2999 2766 2417 3071 3181 3384 2554 2547
"gene_323" 481 474 414 639 432 257 1329 1234
"gene_324" 0 7 0 0 6 2 0 0
"gene_325" 1897 1854 4066 3029 1839 2419 552 461
"gene_326" 56 46 27 19 28 35 22 10
"gene_327" 988 1085 1884 1385 972 955 1459 1462
"gene_328" 559 678 965 669 340 429 574 1033
"gene_329" 378 527 246 189 146 115 384 315
"gene_330" 7549 7485 4373 5570 6240 6305 4067 4819
"gene_331" 0 6 2 8 7 8 0 0
"gene_332" 102 151 46 35 70 76 66 143
"gene_333" 1819 1999 2168 2533 1628 1582 1818 1838
"gene_334" 423 468 1052 686 255 360 850 621
"gene_335" 25 41 44 37 9 8 8 28
"gene_336" 131 254 321 212 144 141 301 230
"gene_337" 2 4 3 2 4 4 46 43
"gene_338" 2150 1733 1257 1034 1371 1342 2413 1978
"gene_339" 1383 1128 1246 1311 1148 1029 2242 2216
"gene_340" 0 0 27 15 7 3 4 12
"gene_341" 11242 9258 12404 15025 12957 14976 10934 13400
"gene_342" 0 0 1 2 0 0 3 6
"gene_343" 3154 3727 4082 3452 3030 3757 4643 3504
"gene_344" 238 134 98 68 142 223 157 263
"gene_345" 4103 4552 5121 5413 4588 3803 3522 3271
"gene_346" 0 0 0 0 91 65 13 14
"gene_347" 17 47 11 15 35 13 47 17
"gene_348" 5086 3558 3738 3240 3790 4454 3824 4105
"gene_349" 2003 1860 3020 2813 1962 1732 1842 2481
"gene_350" 1864 1993 2042 2245 2280 2458 1726 1531
"gene_351" 3863 2829 4340 2825 2470 3051 4342 3642
"gene_352" 8739 5148 5112 6055 7455 7869 5847 7242
"gene_353" 596 528 429 304 560 455 492 347
"gene_354" 0 0 1 16 2 1 4 6
"gene_355" 4194 5938 6050 5215 4730 4237 4708 6271
"gene_356" 731 697 1742 1266 838 881 872 763
"gene_357" 9446 10260 9569 12936 9517 12783 9849 8677
"gene_358" 1080 816 908 617 623 769 1143 1400
"gene_359" 356 334 421 429 347 301 198 151
"gene_360" 132 96 278 268 121 168 36 46
"gene_361" 103 72 55 41 24 21 33 19
"gene_362" 45 40 0 0 0 0 17 21
"gene_363" 2 0 18 2 0 0 35 48
"gene_364" 114 139 22 32 69 39 53 52
"gene_365" 2816 2554 2745 2650 2010 2240 1494 1508
"gene_366" 427 328 470 523 179 262 297 235
"gene_367" 622 949 1046 918 592 470 946 837
"gene_368" 2750 2904 1930 1496 2586 1904 1880 1834
"gene_369" 790 719 850 919 404 470 1037 858
"gene_370" 69 135 489 186 244 374 181 192
"gene_371" 4035 4688 6067 5391 4842 6210 4694 5470
"gene_372" 746 683 730 914 1413 1260 710 896
"gene_373" 767 821 728 876 740 800 970 917
"gene_374" 903 783 1314 1434 854 872 909 1375
"gene_375" 1480 1305 1656 1571 1330 1560 1404 1539
"gene_376" 7206 10398 8225 8657 5241 7714 6844 6658
"gene_377" 1 1 0 0 16 5 0 0
"gene_378" 30 21 19 65 171 85 40 14
"gene_379" 1471 1342 1425 1938 1320 1374 1655 2060
"gene_380" 439 374 333 378 406 511 104 236
"gene_381" 238 279 349 281 286 258 464 461
"gene_382" 1237 1383 1642 1785 1105 1019 1511 1378
"gene_383" 1498 1655 2342 2245 1855 1775 2185 2380
"gene_384" 2757 2520 2858 3598 4042 3334 4867 2938
"gene_385" 0 0 10 14 19 13 0 0
"gene_386" 314 283 239 222 210 219 148 165
"gene_387" 852 956 1140 1219 1336 1269 1215 1351
"gene_388" 1450 1758 1787 1757 2052 1733 1269 940
"gene_389" 1051 892 1683 1463 1250 1503 1417 1127
"gene_390" 2778 3583 2432 3185 2403 2598 2110 2365
"gene_391" 6661 7954 6514 6557 7946 5702 4570 5026
"gene_392" 13 3 2 10 0 0 6 16
"gene_393" 184 184 269 314 139 148 203 304
"gene_394" 217 112 162 168 107 143 69 57
"gene_395" 0 0 0 0 8 5 0 0
"gene_396" 123 194 180 273 161 236 185 190
"gene_397" 1127 833 924 1100 1126 1169 1326 1577
"gene_398" 396 251 298 397 241 162 442 637
"gene_399" 9380 8754 3745 5112 5098 7735 8470 8135
"gene_400" 9961 7819 10343 12105 8598 7779 11681 7163
"gene_401" 113 78 117 105 81 114 22 41
"gene_402" 468 434 370 509 807 790 641 406
"gene_403" 12 18 75 44 24 55 8 21
"gene_404" 900 786 1259 1253 2042 1006 469 812
"gene_405" 9534 7658 4872 8274 10325 9507 8528 8060
"gene_406" 756 1022 983 1295 791 618 678 643
"gene_407" 297 131 76 111 148 156 211 94
"gene_408" 193 182 124 62 128 74 245 246
"gene_409" 1544 1490 1699 1495 1509 1458 1412 1628
"gene_410" 1183 1247 435 714 636 640 924 523
"gene_411" 2120 1958 1242 1093 973 1481 2068 1641
"gene_412" 1744 2584 1841 1595 1763 1950 2919 2510
"gene_413" 47 32 34 19 39 22 20 24
"gene_414" 1618 1571 960 824 1003 972 1537 2629
"gene_415" 14 27 88 95 96 76 46 80
"gene_416" 23377 24276 19733 22465 18681 17004 17136 15815
"gene_417" 1770 1921 3254 3187 2150 2084 1535 1595
"gene_418" 606 920 1144 1094 1821 1249 1304 1058
"gene_419" 10 12 8 1 2 14 46 8
"gene_420" 525 258 296 209 117 175 103 79
"gene_421" 845 909 752 504 654 645 783 721
"gene_422" 40 77 11 3 27 40 6 10
"gene_423" 1591 1707 1447 1947 1869 1712 1470 1682
"gene_424" 144 59 81 78 112 188 91 199
"gene_425" 0 0 12 12 0 7 0 0
"gene_426" 454 463 399 642 657 593 551 434
"gene_427" 1275 941 440 322 345 520 1847 1127
"gene_428" 317 412 314 300 314 248 554 518
"gene_429" 1382 1966 1562 1815 1817 1984 2064 2066
"gene_430" 2053 2522 1468 1504 2012 2078 1855 1972
"gene_431" 787 871 927 615 1089 766 638 601
"gene_432" 1709 2375 996 1363 2506 2779 2285 2466
"gene_433" 1540 2034 975 1065 2069 1678 2033 1602
"gene_434" 4438 4168 5558 4099 3343 3756 5430 4897
"gene_435" 1034 1110 2387 2189 991 1075 1746 1834
"gene_436" 3147 3418 5546 6157 4194 5187 5172 3281
"gene_437" 31 36 19 30 81 55 30 26
"gene_438" 2510 2215 1923 2045 1669 1082 1583 2042
"gene_439" 377 303 681 974 518 512 611 546
"gene_440" 2717 2604 2757 2494 1481 1732 2987 3247
"gene_441" 2426 2302 1779 1576 1840 2389 3015 3102
"gene_442" 279 247 58 100 79 231 182 240
"gene_443" 2261 2331 2105 1754 1663 1543 1829 2579
"gene_444" 52 136 292 297 325 282 302 293
"gene_445" 3701 4069 6597 6694 7773 7026 8688 10426
"gene_446" 434 402 103 136 130 196 142 96
"gene_447" 8354 6937 6420 5860 5477 5194 5111 4049
"gene_448" 1705 2754 2812 2612 2795 1711 2323 2077
"gene_449" 1543 1464 909 511 1018 1087 1390 1648
"gene_450" 9 10 40 37 0 0 15 13
"gene_451" 2492 2931 2449 1987 3208 2055 2350 2141
"gene_452" 8 2 0 0 26 4 6 7
"gene_453" 291 230 298 344 439 476 324 365
"gene_454" 367 412 239 173 373 274 98 63
"gene_455" 18 8 29 164 22 26 70 44
"gene_456" 1786 1835 2550 2534 3234 2761 3671 4313
"gene_457" 733 715 755 566 648 557 1067 1165
"gene_458" 2482 2051 2098 1758 1194 1095 2076 1448
"gene_459" 1473 1515 1104 1019 791 865 722 1090
"gene_460" 2170 1647 2797 2609 4382 4252 4192 4858
"gene_461" 76 160 182 309 120 185 68 123
"gene_462" 557 804 528 379 345 440 931 908
"gene_463" 1060 1174 845 978 877 1290 637 766
"gene_464" 1572 1428 1122 1271 2202 1977 741 794
"gene_465" 864 1116 545 681 743 886 541 503
"gene_466" 10 19 15 15 88 94 12 16
"gene_467" 0 0 5 7 7 33 1 2
"gene_468" 0 0 18 18 9 5 0 4
"gene_469" 477 665 800 1064 1156 1122 856 847
"gene_470" 6841 7255 12030 9570 6696 6580 8557 13549
"gene_471" 80 91 41 20 16 24 41 47
"gene_472" 85 42 132 70 90 118 63 18
"gene_473" 805 667 671 609 967 675 835 936
"gene_474" 60 93 208 236 355 278 152 157
"gene_475" 5 7 25 32 34 22 54 84
"gene_476" 0 0 5 2 3 5 1 2
"gene_477" 13 24 33 31 92 92 153 151
"gene_478" 2032 1237 883 1075 1210 1290 921 1447
"gene_479" 572 997 1566 1782 856 838 1441 1025
"gene_480" 4143 3676 3960 3063 4109 3280 5054 4745
"gene_481" 6 2 0 0 2 2 10 11
"gene_482" 173 123 565 482 424 233 305 348
"gene_483" 152 59 33 44 92 74 42 38
"gene_484" 417 289 81 137 151 178 142 140
"gene_485" 263 336 243 290 424 264 450 474
"gene_486" 135 199 74 70 158 170 93 145
"gene_487" 800 803 475 208 306 358 477 295
"gene_488" 58 93 108 55 80 151 79 31
"gene_489" 1437 1054 1282 1776 1278 1036 1150 1513
"gene_490" 676 713 449 490 776 725 633 357
"gene_491" 68 37 54 19 65 52 79 40
"gene_492" 3555 3135 4052 3696 3657 3961 2847 2843
"gene_493" 1286 1644 1325 1310 1185 1200 975 1053
"gene_494" 165 74 133 103 164 167 109 112
"gene_495" 744 687 232 164 367 273 217 234
"gene_496" 85 48 59 20 124 94 142 107
"gene_497" 1584 1444 2294 2156 1336 1738 1288 1415
"gene_498" 11 22 15 30 77 38 31 54
"gene_499" 632 503 526 585 1080 1082 364 680
"gene_500" 1 4 13 14 0 6 0 0
"gene_501" 1953 2124 1392 1626 2845 2845 2890 3367
"gene_502" 563 677 417 322 609 1172 486 304
"gene_503" 4509 3518 4581 4624 4771 5216 3354 3891
"gene_504" 115 53 164 108 36 41 151 99
"gene_505" 6808 7489 7865 10606 5157 5256 9585 10454
"gene_506" 5 1 0 0 23 23 0 0
"gene_507" 685 707 945 1221 905 859 1931 1404
"gene_508" 6 1 12 12 1 3 0 0
"gene_509" 2705 3866 3946 4599 4135 4162 6928 6053
"gene_510" 7500 5500 4474 6097 5667 5169 6254 6882
"gene_511" 419 345 431 463 246 224 257 280
"gene_512" 13 19 14 11 21 10 20 14
"gene_513" 7 3 16 9 5 39 0 0
"gene_514" 728 1064 1136 1078 802 880 835 822
"gene_515" 4329 5066 3541 4741 4492 3653 2589 2721
"gene_516" 921 807 788 523 473 645 743 653
"gene_517" 73 53 81 79 31 8 75 15
"gene_518" 7141 5671 6717 5757 9730 9486 8345 7284
"gene_519" 1262 1293 971 1149 1108 1226 862 1044
"gene_520" 2 10 0 0 8 22 3 0
"gene_521" 8054 6177 3631 5204 4641 4404 6411 6782
"gene_522" 15 5 1 1 7 19 8 15
"gene_523" 0 0 4 12 4 27 0 0
"gene_524" 162 147 16 12 157 232 211 160
"gene_525" 16562 30464 27920 22934 17100 16982 23179 27543
